bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,roof_support_cov,wall_support_cov,ground_support_cov,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason,patch_branch,patch_status,patch_reason,ground_y_strategy
B0,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,23,10,12,1,0.4023333333333333,0.9523333333333334,1.0,0.9233333333333333,1.865487181730847e-15,9.821561306426032e-15,0.6890000000000001,0.321,0.897,0.843,0.898903680355984,0.9023333333333333,0.8955,0.0,2.1983548431372038,2.3536110253692644,0.27208658091630067,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B0,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B1,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,11,4,6,1,1.0,0.949,1.0,0.9846666666666667,2.5046056235719502e-15,8.267055103640565e-15,0.8689999999999999,0.861,0.885,0.848,0.9899164912871453,0.9895,0.9903333333333333,0.0,1.0000097547675861,0.6848885227301452,0.21001457921437408,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B1,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B2,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,11,4,6,1,1.0,0.984,1.0,0.9835,1.2372254050560922e-15,6.69808929350998e-15,0.8476666666666667,0.846,0.886,0.844,0.9989161035566309,0.9981666666666666,0.9996666666666667,0.0,2.012147367894345,0.6865941658982171,0.1659385091913499,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B2,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B8,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,15,6,8,1,0.9706666666666667,0.982,1.0,0.9693333333333334,1.4998727079116e-15,4.0377597541260624e-15,0.8693333333333334,0.852,0.897,0.876,0.9913310636628558,0.9928333333333333,0.9898333333333333,0.0009999999999994458,1.644587574893038,0.6949712786942661,0.1824679576434058,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B8,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B6,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,23,10,12,1,0.5756666666666667,0.9346666666666666,1.0,0.9523333333333334,1.513268993571547e-15,5.4250691043329224e-15,0.7676666666666666,0.515,0.917,0.84,0.9374104455504207,0.9531666666666667,0.9221666666666667,3.6069999999999993,0.6464930438014108,3.884961874743159,0.24119812354740283,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B6,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B3,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,83,40,42,1,0.13733333333333334,0.618,0.9216666666666666,0.7703333333333333,1.2191024946828592e-15,7.405561041562761e-15,0.6306666666666666,0.137,0.923,0.846,0.4328029749310765,0.41933333333333334,0.44716666666666666,0.0,1.0238178731397176,12.51940903505428,1.1354435661182025,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B3,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B123,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,55,26,28,1,0.23633333333333334,0.6476666666666666,0.9766666666666667,0.8325,1.575474989493073e-15,7.283939294865767e-15,0.6376666666666667,0.189,0.902,0.84,0.6286635303472039,0.6391666666666667,0.6185,0.0,0.74318374430131,5.793265123814293,0.7908111953262842,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B123,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B126,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,49,23,25,1,0.15466666666666667,0.5743333333333334,0.996,0.7373333333333333,2.650073072384388e-15,1.0838479574660276e-14,0.62,0.144,0.908,0.873,0.5636876566878041,0.5931666666666666,0.537,1.2860000000000014,1.1711836550725854,6.218318213357156,1.0596984020561129,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B126,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B126,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B50,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,19,8,10,1,0.6663333333333333,0.9376666666666666,1.0,0.9648333333333333,8.464986022172488e-16,4.1534561828299085e-15,0.8166666666666668,0.723,0.908,0.819,0.9420729341705728,0.9551666666666667,0.9293333333333333,0.35700000000000287,0.9689558267934498,1.6827620905281324,0.22626125034538247,1.0,True,0,0,10,10,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B50,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B50,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B104,E0_GT_clean_upper_bound,Stage3Algo-v1c-ground,Metric-v1,OK,7,2,4,1,1.0,1.0,1.0,0.9796666666666667,2.1819902578631266e-15,6.791255390804561e-15,0.9976666666666666,0.999,0.991,1.0,1.0,1.0,1.0,0.0,1.0000000000000238,0.2463123163100675,0.06410338281314854,1.0,True,0,0,4,4,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E0_GT_clean_upper_bound/B104,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
