bid,bid_int,source,class_id,class_name,support_distance_m,accepted_count,rejected_count,accepted_fraction,accepted_confidence_mean,rejected_confidence_mean,accepted_entropy_mean,rejected_entropy_mean,accepted_geometric_error_mean,rejected_geometric_error_mean
B0,0,E1_Baseline_rendered,1,roof,0.75,1581,285,0.8472668810289389,0.9846463795895066,0.9593568508039441,0.03575313483610361,0.07663281346618181,0.34576452850098277,1.0063385272644483
B0,0,E1_Baseline_rendered,2,wall,0.75,2671,77,0.9719796215429404,0.9673846106556461,0.8780795935686533,0.036952399073658715,0.19975194740774377,0.3456427723652633,1.0481193746816941
B0,0,E1_Baseline_rendered,3,ground,0.75,268,53,0.8348909657320872,0.449055670969077,0.46379050218834067,0.07679832709341575,0.09530066373265998,0.40717689781116323,1.2889712867961687
B0,0,E2_Mutual_rendered,1,roof,0.75,1705,168,0.9103043246129204,0.990387033577189,0.9545892226908889,0.01949147783496173,0.06553697988731853,0.27724568206946804,1.329537257981914
B0,0,E2_Mutual_rendered,2,wall,0.75,2653,81,0.9703730797366495,0.9728210965305556,0.9639435881449853,0.01806403240679487,0.06353630661787638,0.34597544520317225,0.9810325941049102
B0,0,E2_Mutual_rendered,3,ground,0.75,270,45,0.8571428571428571,0.4325986365477244,0.4581521981292301,0.08078497537256529,0.0841425597667694,0.41443293562975336,1.0099256612630856
B1,1,E1_Baseline_rendered,1,roof,0.75,3150,412,0.884334643458731,0.989850695085904,0.9639448764399418,0.023641088151327698,0.07310629844035697,0.32318510870371,1.1231794724435018
B1,1,E1_Baseline_rendered,2,wall,0.75,1104,124,0.8990228013029316,0.9443881165614163,0.5978819809012836,0.04483359151610192,0.2173077527977805,0.3719380890814337,1.1315251903053711
B1,1,E1_Baseline_rendered,3,ground,0.75,2,85,0.022988505747126436,0.22982102632522583,0.2618788116118487,0.41289788484573364,0.2558282578254447,0.6087929412085971,2.6792426816801678
B1,1,E2_Mutual_rendered,1,roof,0.75,2845,702,0.8020862700873977,0.9934626001255793,0.9756016946925736,0.012489557172617178,0.040368077794187426,0.3165155458209074,1.1356472496289476
B1,1,E2_Mutual_rendered,2,wall,0.75,1127,105,0.9147727272727273,0.9169247577028034,0.8599634678590865,0.03545032786353448,0.17697108023677996,0.3691485186622551,1.09870033336984
B1,1,E2_Mutual_rendered,3,ground,0.75,33,47,0.4125,0.21012602836796732,0.3170192523839626,0.38859261041789345,0.18443568629470278,0.5229670415868451,1.5355309871102636
B2,2,E1_Baseline_rendered,1,roof,0.75,2526,87,0.9667049368541906,0.9861687468991616,0.9355640750506828,0.03231034260104456,0.10489729144235795,0.22717968234768957,1.0300392262129303
B2,2,E1_Baseline_rendered,2,wall,0.75,1025,37,0.9651600753295668,0.8790581704930561,0.8981550851383725,0.03927716897181931,0.07738703491191405,0.35954899099765275,0.8486116284161376
B2,2,E1_Baseline_rendered,3,ground,0.75,58,20,0.7435897435897436,0.4516547504684021,0.39172187373042106,0.10403676727658202,0.09432204335462302,0.454476086043512,1.1334888054871377
B2,2,E2_Mutual_rendered,1,roof,0.75,2522,90,0.9655436447166922,0.9914183616638184,0.9700115647580888,0.017780837880063318,0.0550284285518703,0.21928174384341578,0.9228279702822235
B2,2,E2_Mutual_rendered,2,wall,0.75,1008,43,0.9590865842055185,0.8672725946479847,0.9576069615608038,0.026944676128722214,0.034398029012156134,0.3632889613535571,0.8465991076722532
B2,2,E2_Mutual_rendered,3,ground,0.75,66,19,0.7764705882352941,0.4062143135251421,0.37732876131409093,0.0863140243190256,0.10812897676307905,0.4467717249102682,1.0544333763096265
B8,8,E1_Baseline_rendered,1,roof,0.75,2720,63,0.9773625583902263,0.9830907936043599,0.9536907426894657,0.036070047112461374,0.0875304405788137,0.28834965884424446,0.832778983988098
B8,8,E1_Baseline_rendered,2,wall,0.75,1336,55,0.9604601006470166,0.8992907197666382,0.8147241202267733,0.03252672824055752,0.14985807976283302,0.3437523223753414,1.099931626792992
B8,8,E1_Baseline_rendered,3,ground,0.75,63,28,0.6923076923076923,0.4124481356333172,0.35496336966753006,0.08413113287783094,0.10408001141123739,0.47885270974076893,1.5808829295943565
B8,8,E2_Mutual_rendered,1,roof,0.75,2708,76,0.9727011494252874,0.9890414225033854,0.9724145437541761,0.022749239129332414,0.04291528670843323,0.30692687249879264,0.8334854953272502
B8,8,E2_Mutual_rendered,2,wall,0.75,1464,49,0.9676140118968936,0.8641941577318262,0.8498037381439792,0.023628280661916974,0.11375205698470604,0.34387242726523115,1.1280394631869861
B8,8,E2_Mutual_rendered,3,ground,0.75,57,18,0.76,0.5460826184665948,0.37404704425070023,0.04564935143877703,0.05937700377803089,0.4228262956147399,0.8387091648044706
B6,6,E1_Baseline_rendered,1,roof,0.75,1586,479,0.7680387409200968,0.9789124899749347,0.9609524921858236,0.04640842882459331,0.07838951295361045,0.3471458063480976,1.3044311946477671
B6,6,E1_Baseline_rendered,2,wall,0.75,874,243,0.7824529991047449,0.888128146495099,0.9104931680753888,0.07789808608928919,0.16253010897347206,0.36159706704123296,1.7408912153927762
B6,6,E1_Baseline_rendered,3,ground,0.75,53,37,0.5888888888888889,0.3076905033217286,0.3182485538559991,0.2955079933733873,0.23419574592765924,0.5283835031397688,1.3862952402853816
B6,6,E2_Mutual_rendered,1,roof,0.75,1442,644,0.6912751677852349,0.9798212562288556,0.9669422875650181,0.038924930268330576,0.05804769330013034,0.36776743820850005,1.2607540169732792
B6,6,E2_Mutual_rendered,2,wall,0.75,793,263,0.7509469696969697,0.8829535566091838,0.9212883467230053,0.05143052300575505,0.1235313287928626,0.36372750485065586,1.7067113649741683
B6,6,E2_Mutual_rendered,3,ground,0.75,41,22,0.6507936507936508,0.2845425173276808,0.3004378466443582,0.22618247296025112,0.199773984876546,0.49168399240541927,1.3309144546554939
B3,3,E1_Baseline_rendered,1,roof,0.75,5609,16308,0.2559200620522882,0.9160760405160756,0.9579171520918937,0.029983531314439572,0.028114352634629466,0.5158622201305079,1.7937763062501115
B3,3,E1_Baseline_rendered,2,wall,0.75,2242,2820,0.4429079415250889,0.8835802010886112,0.9299293456612326,0.07919661853630032,0.08724299520840598,0.4494144962863334,2.095642990749159
B3,3,E1_Baseline_rendered,3,ground,0.75,137,651,0.17385786802030456,0.3668619280640226,0.38939203289888236,0.2766095669668195,0.19046190884644731,0.5614584210342579,1.2983641493334555
B3,3,E2_Mutual_rendered,1,roof,0.75,5656,16306,0.2575357435570531,0.9189028476208153,0.9576048240043642,0.02579423142746715,0.020276051430527433,0.5070236248158897,1.7397071078020068
B3,3,E2_Mutual_rendered,2,wall,0.75,2357,2795,0.45749223602484473,0.8813665520445644,0.9310639546654306,0.06494407188512895,0.06066736645105311,0.4550518890876324,2.0758413850434403
B3,3,E2_Mutual_rendered,3,ground,0.75,138,547,0.20145985401459854,0.352379790790703,0.36349729309624684,0.24411814778442562,0.2115074082854897,0.606554016815499,1.2031769661835754
B123,123,E1_Baseline_rendered,1,roof,0.75,4451,13937,0.2420600391559713,0.9437975788204838,0.9555632058148013,0.04145509004565167,0.03149898640844025,0.45726993262438254,2.4155594002381386
B123,123,E1_Baseline_rendered,2,wall,0.75,5227,1544,0.7719686900014768,0.890400981219453,0.8532188359908567,0.03752922653923844,0.11771460167823383,0.3971426836553316,3.4919162257545224
B123,123,E1_Baseline_rendered,3,ground,0.75,398,453,0.46768507638072854,0.4722751894750487,0.5280973885134356,0.16369248888592514,0.09907545166043359,0.515209417252144,1.5504060321912254
B123,123,E2_Mutual_rendered,1,roof,0.75,3993,14404,0.21704625754199053,0.9636200237118926,0.9542093960409511,0.027884080484533592,0.019224374005711475,0.43871792640617674,2.5861417393292165
B123,123,E2_Mutual_rendered,2,wall,0.75,5124,1722,0.7484662576687117,0.8821824525514215,0.8480754049665767,0.029723132460860568,0.09358221582716438,0.39842624665766,3.490535583394661
B123,123,E2_Mutual_rendered,3,ground,0.75,420,389,0.519159456118665,0.5077149335117567,0.4791522661755508,0.1188955876153722,0.13304011491739315,0.5106957803716662,1.2366226480750682
