bid,source,metric,stage3_v0_metric_v0_status,stage3_v0_metric_v1_status,stage3_v1_metric_v1_status,stage3_v0_metric_v0,stage3_v0_metric_v1,stage3_v1_metric_v1,effect_value,interpretation
B0,E0_GT_clean_upper_bound,roof_cov,OK,OK,OK,0.365,0.4023333333333333,0.4023333333333333,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,wall_cov,OK,OK,OK,0.9573333333333334,0.9523333333333334,0.9523333333333334,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,ground_cov,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,semantic_face_acc,OK,OK,OK,0.9203333333333333,0.9233333333333333,0.9233333333333333,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,support_coverage,OK,OK,OK,0.6893333333333334,0.6890000000000001,0.6890000000000001,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,F,OK,OK,OK,0.9024049619847939,0.898903680355984,0.898903680355984,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,precision,OK,OK,OK,0.9056666666666666,0.9023333333333333,0.9023333333333333,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,recall,OK,OK,OK,0.8991666666666667,0.8955,0.8955,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,h_err,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,vol_ratio,OK,OK,OK,2.1983548431372073,2.1983548431372038,2.1983548431372038,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,hausdorff,OK,OK,OK,2.331414284506052,2.3536110253692644,2.3536110253692644,0.0,NO_NUMERIC_CHANGE
B0,E0_GT_clean_upper_bound,chamfer,OK,OK,OK,0.27012476370815514,0.27208658091630067,0.27208658091630067,0.0,NO_NUMERIC_CHANGE
