input,building_id,w2_status,run2_status,status_flip,w2_has_lod22,run2_has_lod22,has_lod22_flip,w2_val3dity_valid,run2_val3dity_valid,val3dity_flip,w2_rf_rmse_lod22,run2_rf_rmse_lod22,rf_rmse_lod22_delta,w2_rf_roof_planes,run2_rf_roof_planes,rf_roof_planes_delta
ALS,DEBY_LOD2_108246888,success,success,false,True,True,false,True,True,false,1.161197,1.161196,-0.000001,4,4,0.000000
ALS,DEBY_LOD2_108247714,failure,failure,false,False,False,false,True,True,false,none,none,none,None,None,none
ALS,DEBY_LOD2_108580335,success,success,false,True,True,false,True,True,false,1.128500,1.128500,0.000000,23,23,0.000000
ALS,DEBY_LOD2_108580336,failure,success,true,True,True,false,False,True,true,1.779162,1.704130,-0.075032,64,65,1.000000
ALS,DEBY_LOD2_42364609,success,success,false,True,True,false,True,True,false,0.612323,0.612324,0.000001,1,1,0.000000
ALS,DEBY_LOD2_42364657,success,success,false,True,True,false,True,True,false,0.808757,0.808757,0.000000,2,2,0.000000
ALS,DEBY_LOD2_42364659,success,success,false,True,True,false,True,True,false,0.341322,0.341322,0.000000,3,3,0.000000
ALS,DEBY_LOD2_42364663,success,success,false,True,True,false,True,True,false,8.291080,8.291080,0.000000,4,4,0.000000
ALS,DEBY_LOD2_42364665,success,success,false,True,True,false,True,True,false,7.620843,7.620843,0.000000,6,6,0.000000
ALS,DEBY_LOD2_42364667,success,success,false,True,True,false,True,True,false,6.062653,6.099053,0.036400,7,7,0.000000
ALS,DEBY_LOD2_4906965,failure,failure,false,True,True,false,False,False,false,2.802819,2.721293,-0.081526,90,89,-1.000000
ALS,DEBY_LOD2_4906966,success,success,false,True,True,false,True,True,false,2.627158,2.640909,0.013751,13,13,0.000000
ALS,DEBY_LOD2_4906967,failure,failure,false,True,True,false,False,False,false,1.592779,1.592272,-0.000507,63,63,0.000000
ALS,DEBY_LOD2_4906968,success,success,false,True,True,false,True,True,false,0.757025,0.892403,0.135378,12,14,2.000000
ALS,DEBY_LOD2_4906969,success,success,false,True,True,false,True,True,false,1.427871,1.441014,0.013143,4,6,2.000000
ALS,DEBY_LOD2_4906970,success,success,false,True,True,false,True,True,false,4.444397,4.444397,0.000000,11,11,0.000000
ALS,DEBY_LOD2_4906972,success,success,false,True,True,false,True,True,false,2.786657,2.821606,0.034949,6,7,1.000000
ALS,DEBY_LOD2_4906973,success,success,false,True,True,false,True,True,false,3.148789,3.117828,-0.030961,3,3,0.000000
ALS,DEBY_LOD2_4906974,success,success,false,True,True,false,True,True,false,1.705546,1.677954,-0.027592,4,4,0.000000
ALS,DEBY_LOD2_4906975,success,failure,true,True,True,false,True,False,true,1.574317,1.524400,-0.049917,27,26,-1.000000
ALS,DEBY_LOD2_4906976,success,success,false,True,True,false,True,True,false,3.184427,3.184427,0.000000,9,9,0.000000
ALS,DEBY_LOD2_4906977,success,success,false,True,True,false,True,True,false,1.905235,1.887562,-0.017673,10,10,0.000000
ALS,DEBY_LOD2_4906980,success,success,false,True,True,false,True,True,false,2.549426,2.549426,0.000000,6,6,0.000000
ALS,DEBY_LOD2_4906981,success,success,false,True,True,false,True,True,false,2.430327,2.425973,-0.004354,20,21,1.000000
ALS,DEBY_LOD2_4906982,success,success,false,True,True,false,True,True,false,3.333668,3.334756,0.001088,16,16,0.000000
ALS,DEBY_LOD2_4906983,success,success,false,True,True,false,True,True,false,1.458668,1.439582,-0.019086,4,4,0.000000
ALS,DEBY_LOD2_4906984,success,success,false,True,True,false,True,True,false,0.905869,0.905869,0.000000,4,4,0.000000
ALS,DEBY_LOD2_4906985,success,success,false,True,True,false,True,True,false,3.107921,3.107920,-0.000001,16,16,0.000000
ALS,DEBY_LOD2_4906986,success,success,false,True,True,false,True,True,false,2.084079,2.084079,0.000000,5,5,0.000000
ALS,DEBY_LOD2_4906987,success,success,false,True,True,false,True,True,false,0.840358,0.815396,-0.024962,5,4,-1.000000
ALS,DEBY_LOD2_4906988,success,success,false,True,True,false,True,True,false,0.205743,0.205744,0.000001,3,3,0.000000
ALS,DEBY_LOD2_4906991,success,success,false,True,True,false,True,True,false,1.439894,1.439894,0.000000,3,3,0.000000
ALS,DEBY_LOD2_4907018,success,success,false,True,True,false,True,True,false,2.070593,2.044919,-0.025674,18,20,2.000000
ALS,DEBY_LOD2_4907020,success,success,false,True,True,false,True,True,false,2.815722,2.815719,-0.000003,2,2,0.000000
ALS,DEBY_LOD2_4907023,success,success,false,True,True,false,True,True,false,0.428476,0.428476,0.000000,2,2,0.000000
ALS,DEBY_LOD2_4907024,success,success,false,True,True,false,True,True,false,1.280190,1.280190,0.000000,3,3,0.000000
ALS,DEBY_LOD2_4907025,success,success,false,True,True,false,True,True,false,0.726187,0.726188,0.000001,23,23,0.000000
ALS,DEBY_LOD2_4907173,success,success,false,True,True,false,True,True,false,1.402801,1.402801,0.000000,17,17,0.000000
ALS,DEBY_LOD2_4907178,failure,success,true,True,True,false,False,True,true,1.418951,1.418949,-0.000002,16,16,0.000000
ALS,DEBY_LOD2_4907179,success,success,false,True,True,false,True,True,false,0.780833,0.780834,0.000001,11,11,0.000000
ALS,DEBY_LOD2_4907180,success,success,false,True,True,false,True,True,false,1.391627,1.391628,0.000001,31,31,0.000000
ALS,DEBY_LOD2_4907182,success,success,false,True,True,false,True,True,false,0.798489,0.798490,0.000001,9,9,0.000000
ALS,DEBY_LOD2_4907183,success,success,false,True,True,false,True,True,false,1.702966,1.702966,0.000000,27,27,0.000000
ALS,DEBY_LOD2_4907184,failure,failure,false,True,True,false,False,False,false,1.741510,1.741511,0.000001,20,20,0.000000
ALS,DEBY_LOD2_4907196,success,success,false,True,True,false,True,True,false,1.858711,1.858712,0.000001,23,23,0.000000
ALS,DEBY_LOD2_4907201,success,success,false,True,True,false,True,True,false,1.400154,1.400154,0.000000,10,10,0.000000
ALS,DEBY_LOD2_4907204,success,success,false,True,True,false,True,True,false,1.160493,1.160494,0.000001,30,30,0.000000
ALS,DEBY_LOD2_4907205,success,success,false,True,True,false,True,True,false,0.344653,0.344648,-0.000005,7,7,0.000000
ALS,DEBY_LOD2_4907206,success,success,false,True,True,false,True,True,false,2.051462,2.051468,0.000006,4,4,0.000000
ALS,DEBY_LOD2_4907207,success,success,false,True,True,false,True,True,false,3.187685,3.187685,0.000000,13,13,0.000000
ALS,DEBY_LOD2_4907506,failure,success,true,True,True,false,False,True,true,2.296868,2.235121,-0.061747,14,13,-1.000000
ALS,DEBY_LOD2_4907507,success,success,false,True,True,false,True,True,false,1.940467,1.940465,-0.000002,17,17,0.000000
ALS,DEBY_LOD2_4907509,success,success,false,True,True,false,True,True,false,1.010625,1.021489,0.010864,12,10,-2.000000
ALS,DEBY_LOD2_4907510,success,success,false,True,True,false,True,True,false,1.020413,1.020414,0.000001,8,8,0.000000
ALS,DEBY_LOD2_4907514,failure,success,true,True,True,false,False,True,true,2.843691,2.842170,-0.001521,17,16,-1.000000
ALS,DEBY_LOD2_4907515,success,success,false,True,True,false,True,True,false,0.819857,0.819857,0.000000,9,9,0.000000
ALS,DEBY_LOD2_4907516,success,success,false,True,True,false,True,True,false,1.969894,1.969894,0.000000,12,12,0.000000
ALS,DEBY_LOD2_4907517,success,success,false,True,True,false,True,True,false,1.690081,1.686762,-0.003319,12,14,2.000000
ALS,DEBY_LOD2_4907518,success,success,false,True,True,false,True,True,false,3.150306,3.150306,0.000000,5,5,0.000000
ALS,DEBY_LOD2_4907519,success,success,false,True,True,false,True,True,false,1.864244,1.903371,0.039127,52,52,0.000000
ALS,DEBY_LOD2_4907520,success,success,false,True,True,false,True,True,false,2.823259,2.823259,0.000000,5,5,0.000000
ALS,DEBY_LOD2_4907521,success,success,false,True,True,false,True,True,false,2.996048,3.056170,0.060122,5,4,-1.000000
ALS,DEBY_LOD2_4908023,success,success,false,True,True,false,True,True,false,0.927942,0.927942,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908024,success,success,false,True,True,false,True,True,false,0.836461,0.836461,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908025,success,success,false,True,True,false,True,True,false,0.745413,0.745413,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908026,success,success,false,True,True,false,True,True,false,0.644462,0.643116,-0.001346,1,1,0.000000
ALS,DEBY_LOD2_4908027,success,success,false,True,True,false,True,True,false,0.629948,0.629948,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908028,success,success,false,True,True,false,True,True,false,0.879340,0.887309,0.007969,1,1,0.000000
ALS,DEBY_LOD2_4908050,success,success,false,True,True,false,True,True,false,0.014760,0.014760,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908166,success,success,false,True,True,false,True,True,false,0.332594,0.332594,0.000000,1,1,0.000000
ALS,DEBY_LOD2_4908176,success,success,false,True,True,false,True,True,false,0.336898,0.336898,0.000000,2,2,0.000000
ALS,DEBY_LOD2_4908352,success,success,false,True,True,false,True,True,false,0.087476,0.087476,0.000000,2,2,0.000000
ALS,DEBY_LOD2_4908353,success,success,false,True,True,false,True,True,false,0.928932,0.928932,0.000000,7,7,0.000000
ALS,DEBY_LOD2_4908354,success,success,false,True,True,false,True,True,false,0.985522,0.985521,-0.000001,4,4,0.000000
ALS,DEBY_LOD2_4959322,success,success,false,True,True,false,True,True,false,3.870115,3.869834,-0.000281,7,7,0.000000
ALS,DEBY_LOD2_4959323,success,success,false,True,True,false,True,True,false,3.118420,3.118421,0.000001,11,11,0.000000
ALS,DEBY_LOD2_4959324,success,success,false,True,True,false,True,True,false,2.567576,2.567576,0.000000,4,4,0.000000
ALS,DEBY_LOD2_4959325,success,success,false,True,True,false,True,True,false,2.279937,2.279620,-0.000317,16,16,0.000000
ALS,DEBY_LOD2_4959326,success,success,false,True,True,false,True,True,false,1.476110,1.476109,-0.000001,55,55,0.000000
ALS,DEBY_LOD2_4959327,success,success,false,True,True,false,True,True,false,2.136209,2.136209,0.000000,9,9,0.000000
ALS,DEBY_LOD2_4959336,success,success,false,True,True,false,True,True,false,1.291512,1.291513,0.000001,19,19,0.000000
ALS,DEBY_LOD2_4959340,success,success,false,True,True,false,True,True,false,0.927132,0.927136,0.000004,3,3,0.000000
ALS,DEBY_LOD2_4959457,success,success,false,True,True,false,True,True,false,3.309026,3.309026,0.000000,7,7,0.000000
ALS,DEBY_LOD2_4959458,success,success,false,True,True,false,True,True,false,3.678582,3.678758,0.000176,8,8,0.000000
ALS,DEBY_LOD2_4959459,success,success,false,True,True,false,True,True,false,1.536430,1.536430,0.000000,3,3,0.000000
ALS,DEBY_LOD2_4959460,success,success,false,True,True,false,True,True,false,1.872429,1.816943,-0.055486,55,54,-1.000000
ALS,DEBY_LOD2_4959461,success,success,false,True,True,false,True,True,false,0.624337,0.624760,0.000423,13,14,1.000000
ALS,DEBY_LOD2_4959463,success,success,false,True,True,false,True,True,false,1.184161,1.184161,0.000000,2,2,0.000000
ALS,DEBY_LOD2_4959464,success,success,false,True,True,false,True,True,false,2.022110,2.022110,0.000000,4,4,0.000000
ALS,DEBY_LOD2_4959753,failure,failure,false,True,True,false,False,False,false,0.770385,0.770385,0.000000,3,3,0.000000
ALS,DEBY_LOD2_4959793,success,success,false,True,True,false,True,True,false,0.346254,0.346256,0.000002,6,6,0.000000
ALS,DEBY_LOD2_60042,success,success,false,True,True,false,True,True,false,2.066273,1.854641,-0.211632,47,47,0.000000
ALS,DEBY_LOD2_8573849,success,success,false,True,True,false,True,True,false,0.604158,0.604158,0.000000,32,32,0.000000
DIM,DEBY_LOD2_108246888,success,success,false,True,True,false,True,True,false,0.616319,0.630887,0.014568,4,3,-1.000000
DIM,DEBY_LOD2_108247714,success,success,false,True,True,false,True,True,false,1.325772,1.325772,0.000000,6,6,0.000000
DIM,DEBY_LOD2_108580335,success,failure,true,True,True,false,True,False,true,1.054082,1.057287,0.003205,58,59,1.000000
DIM,DEBY_LOD2_108580336,success,success,false,True,True,false,True,True,false,2.800447,2.518851,-0.281596,185,162,-23.000000
DIM,DEBY_LOD2_42364609,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,1,1,0.000000
DIM,DEBY_LOD2_42364657,success,success,false,True,True,false,True,True,false,0.438611,0.438611,0.000000,7,7,0.000000
DIM,DEBY_LOD2_42364659,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,5,5,0.000000
DIM,DEBY_LOD2_42364663,success,failure,true,True,False,true,True,True,false,12.051188,0.000000,-12.051188,3,2,-1.000000
DIM,DEBY_LOD2_42364665,success,success,false,True,True,false,True,True,false,2.119400,2.119400,0.000000,3,3,0.000000
DIM,DEBY_LOD2_42364667,success,success,false,True,True,false,True,True,false,3.082796,3.082797,0.000001,4,4,0.000000
DIM,DEBY_LOD2_4906965,success,success,false,True,True,false,True,True,false,2.589772,2.536858,-0.052914,105,99,-6.000000
DIM,DEBY_LOD2_4906966,success,success,false,True,True,false,True,True,false,2.914047,2.911231,-0.002816,28,25,-3.000000
DIM,DEBY_LOD2_4906967,failure,failure,false,True,True,false,False,False,false,1.258207,1.291099,0.032892,106,116,10.000000
DIM,DEBY_LOD2_4906968,failure,success,true,True,True,false,False,True,true,3.307856,3.566601,0.258745,158,144,-14.000000
DIM,DEBY_LOD2_4906969,failure,success,true,True,True,false,False,True,true,0.898575,0.941262,0.042687,27,29,2.000000
DIM,DEBY_LOD2_4906970,success,success,false,True,True,false,True,True,false,3.354729,3.325534,-0.029195,9,7,-2.000000
DIM,DEBY_LOD2_4906972,success,success,false,True,True,false,True,True,false,2.411079,2.339207,-0.071872,3,6,3.000000
DIM,DEBY_LOD2_4906973,success,success,false,True,True,false,True,True,false,1.409348,1.411018,0.001670,6,6,0.000000
DIM,DEBY_LOD2_4906974,success,success,false,True,True,false,True,True,false,1.684669,1.630270,-0.054399,6,6,0.000000
DIM,DEBY_LOD2_4906975,failure,failure,false,True,True,false,False,False,false,1.676491,2.017008,0.340517,128,127,-1.000000
DIM,DEBY_LOD2_4906976,success,success,false,True,True,false,True,True,false,2.636365,2.607547,-0.028818,15,14,-1.000000
DIM,DEBY_LOD2_4906977,success,success,false,True,True,false,True,True,false,1.635133,1.630626,-0.004507,17,19,2.000000
DIM,DEBY_LOD2_4906980,success,success,false,True,True,false,True,True,false,2.003522,2.003908,0.000386,4,4,0.000000
DIM,DEBY_LOD2_4906981,success,success,false,True,True,false,True,True,false,2.409464,2.459004,0.049540,39,37,-2.000000
DIM,DEBY_LOD2_4906982,success,success,false,True,True,false,True,True,false,2.160463,2.134174,-0.026289,42,32,-10.000000
DIM,DEBY_LOD2_4906983,success,success,false,True,True,false,True,True,false,0.702554,0.703059,0.000505,6,4,-2.000000
DIM,DEBY_LOD2_4906984,success,success,false,True,True,false,True,True,false,10.576245,4.427063,-6.149182,10,10,0.000000
DIM,DEBY_LOD2_4906985,failure,failure,false,True,True,false,False,False,false,2.156210,2.143543,-0.012667,42,39,-3.000000
DIM,DEBY_LOD2_4906986,success,success,false,True,True,false,True,True,false,1.544939,1.550136,0.005197,16,16,0.000000
DIM,DEBY_LOD2_4906987,success,success,false,True,True,false,True,True,false,1.045470,0.991154,-0.054316,10,8,-2.000000
DIM,DEBY_LOD2_4906988,success,success,false,True,True,false,True,True,false,0.642589,0.642589,0.000000,4,4,0.000000
DIM,DEBY_LOD2_4906991,success,success,false,True,True,false,True,True,false,0.206768,0.206770,0.000002,10,10,0.000000
DIM,DEBY_LOD2_4907018,success,success,false,True,True,false,True,True,false,0.246031,0.246032,0.000001,20,20,0.000000
