building_id,arm,base_correctness,voxel02_correctness,delta_correctness,base_ref_rms_m,voxel02_ref_rms_m,delta_ref_rms_m,base_has_lod22,voxel02_has_lod22
DEBY_LOD2_108247349,sparse,0.0000,,,45.5241,,,true,false
DEBY_LOD2_108247350,sparse,,,,,,,false,false
DEBY_LOD2_108247351,sparse,,,,,,,false,false
DEBY_LOD2_4907184,sparse,1.0000,0.8000,-0.2000,0.3228,0.3698,0.0470,true,true
DEBY_LOD2_4907185,sparse,0.5000,1.0000,0.5000,1.9978,4.4517,2.4539,true,true
DEBY_LOD2_4907186,sparse,1.0000,,,5.5442,,,true,false
DEBY_LOD2_4907188,sparse,0.0000,,,12.2163,,,true,false
DEBY_LOD2_4907194,sparse,1.0000,,,8.5485,,,true,false
DEBY_LOD2_4907195,sparse,1.0000,,,3.7989,,,true,false
DEBY_LOD2_4907198,sparse,1.0000,0.0000,-1.0000,1.5650,8.7921,7.2271,true,true
DEBY_LOD2_4907199,sparse,,,,,,,false,false
DEBY_LOD2_4907202,sparse,0.5000,1.0000,0.5000,0.9277,1.4414,0.5137,true,true
DEBY_LOD2_4908168,sparse,0.5000,,,0.3349,,,true,false
DEBY_LOD2_4908178,sparse,1.0000,1.0000,0.0000,0.7689,0.6400,-0.1289,true,true
DEBY_LOD2_4908179,sparse,,,,,,,false,false
DEBY_LOD2_60098,sparse,0.0000,,,7.7677,,,true,false
DEBY_LOD2_8568391,sparse,,,,,,,false,false
DEBY_LOD2_8568392,sparse,,,,,,,false,false
DEBY_LOD2_108247349,dense,,,,,,,false,false
DEBY_LOD2_108247350,dense,,,,,,,false,false
DEBY_LOD2_108247351,dense,,,,,,,false,false
DEBY_LOD2_4907184,dense,0.6667,0.5000,-0.1667,0.3541,0.4620,0.1079,true,true
DEBY_LOD2_4907185,dense,1.0000,,,1.8068,,,true,false
DEBY_LOD2_4907186,dense,0.0000,,,12.6620,,,true,false
DEBY_LOD2_4907188,dense,1.0000,,,6.8456,,,true,false
DEBY_LOD2_4907194,dense,0.0000,,,10.5170,,,true,false
DEBY_LOD2_4907195,dense,1.0000,,,5.4966,,,true,false
DEBY_LOD2_4907198,dense,1.0000,,,1.4949,,,true,false
DEBY_LOD2_4907199,dense,,,,,,,false,false
DEBY_LOD2_4907202,dense,0.6667,1.0000,0.3333,0.3890,4.2081,3.8191,true,true
DEBY_LOD2_4908168,dense,1.0000,1.0000,0.0000,0.7348,1.2914,0.5566,true,true
DEBY_LOD2_4908178,dense,1.0000,1.0000,0.0000,0.6489,0.8643,0.2154,true,true
DEBY_LOD2_4908179,dense,,,,,,,false,false
DEBY_LOD2_60098,dense,1.0000,,,5.7215,,,true,false
DEBY_LOD2_8568391,dense,,,,,,,false,false
DEBY_LOD2_8568392,dense,,,,,,,false,false
DEBY_LOD2_108247349,acmp,,,,,,,false,false
DEBY_LOD2_108247350,acmp,,,,,,,false,false
DEBY_LOD2_108247351,acmp,0.0000,,,13.4042,,,true,false
DEBY_LOD2_4907184,acmp,1.0000,0.8000,-0.2000,0.3240,0.3208,-0.0032,true,true
DEBY_LOD2_4907185,acmp,0.3333,,,2.9622,,,true,false
DEBY_LOD2_4907186,acmp,1.0000,,,5.0691,,,true,false
DEBY_LOD2_4907188,acmp,0.0000,,,8.4767,,,true,false
DEBY_LOD2_4907194,acmp,1.0000,,,6.2169,,,true,false
DEBY_LOD2_4907195,acmp,0.6667,,,3.0396,,,true,false
DEBY_LOD2_4907198,acmp,0.6667,1.0000,0.3333,2.3165,4.2391,1.9226,true,true
DEBY_LOD2_4907199,acmp,,,,,,,false,false
DEBY_LOD2_4907202,acmp,0.6667,1.0000,0.3333,0.5820,1.1932,0.6112,true,true
DEBY_LOD2_4908168,acmp,1.0000,,,0.3509,,,true,false
DEBY_LOD2_4908178,acmp,0.5000,1.0000,0.5000,4.6643,0.6321,-4.0322,true,true
DEBY_LOD2_4908179,acmp,,,,,,,false,false
DEBY_LOD2_60098,acmp,1.0000,,,5.4290,,,true,false
DEBY_LOD2_8568391,acmp,0.0000,,,13.1856,,,true,false
DEBY_LOD2_8568392,acmp,1.0000,,,1.8020,,,true,false
