arm,step,loss_total,loss_photo,loss_depth_weighted,loss_depth_share,loss_distort_weighted,loss_distort_share,w_depth,w_distort,n_primitives
sparse,0,23.1442,0.486091,22.37,0.966548,0.107695,0.0046532,0.499962,100,87915
sparse,600,14.1062,0.22882,13.0891,0.927897,0.701267,0.0497134,0.47746,100,102658
sparse,1000,4.64065,0.371964,3.68475,0.794015,0.493548,0.106353,0.463024,100,113242
sparse,2000,12.1929,0.342004,10.9759,0.90019,0.795667,0.0652568,0.428815,100,148573
sparse,3000,1.05471,0.237964,0.640271,0.60706,0.144478,0.136984,0.397134,100,193788
sparse,4000,10.0505,0.336542,9.58661,0.953849,0.0776908,0.00773008,0.367793,100,234624
sparse,5000,1.65532,0.271282,1.0259,0.619762,0.289403,0.174832,0.34062,100,262128
sparse,6000,0.256439,0.123241,0.101844,0.397147,0.0179405,0.0699602,0.315454,100,385364
sparse,7000,1.72361,0.170304,1.50678,0.874197,0.01341,0.00778017,0.292148,100,351581
sparse,8000,1.09545,0.148735,0.882741,0.805824,0.0375089,0.0342406,0.270564,100,448494
sparse,9000,0.170435,0.0971035,0.0476319,0.279473,0.016772,0.0984072,0.250574,100,549993
sparse,10000,0.83468,0.225109,0.563036,0.674553,0.0294837,0.0353233,0.232062,100,488468
sparse,11000,0.483679,0.108283,0.339878,0.702695,0.017575,0.036336,0.214917,100,566920
sparse,12000,1.14389,0.174585,0.911778,0.797085,0.0290903,0.025431,0.199038,100,645811
sparse,13000,0.423444,0.175056,0.21451,0.506585,0.0189006,0.0446355,0.184333,100,560860
sparse,14000,0.846871,0.1609,0.647683,0.764795,0.0172466,0.0203651,0.170714,100,622961
sparse,15000,0.699226,0.172834,0.243782,0.348646,0.0302672,0.0432867,0.158102,100,680178
sparse,16000,0.423714,0.164717,0.114733,0.270781,0.020837,0.0491771,0.146421,100,618205
sparse,17000,0.761148,0.166948,0.469718,0.617118,0.0131782,0.0173136,0.135603,100,656910
sparse,18000,1.01247,0.165747,0.736802,0.727727,0.0188864,0.0186538,0.125585,100,709431
sparse,19000,0.321023,0.131393,0.0683145,0.212802,0.0172668,0.0537868,0.116306,100,644749
sparse,20000,0.595893,0.158574,0.278614,0.467557,0.0143372,0.0240601,0.107713,100,674186
sparse,21000,0.301629,0.0989781,0.0750345,0.248765,0.0104687,0.0347072,0.0997555,100,674186
sparse,22000,2.57066,0.137173,2.2881,0.890082,0.0448776,0.0174576,0.0923854,100,674186
sparse,23000,1.36352,0.116013,1.11015,0.814177,0.0322088,0.0236218,0.0855598,100,674186
sparse,24000,0.213417,0.0939394,0.0227797,0.106738,0.0111833,0.0524009,0.0792386,100,674186
sparse,25000,0.564543,0.164342,0.256192,0.453805,0.0276254,0.048934,0.0733843,100,674186
sparse,26000,0.388821,0.120297,0.151482,0.389593,0.0132889,0.0341775,0.0679626,100,674186
sparse,27000,0.265293,0.137725,0.0218779,0.0824669,0.0167622,0.0631838,0.0629414,100,674186
sparse,28000,0.334923,0.121317,0.0998861,0.298236,0.0127127,0.0379572,0.0582912,100,674186
sparse,29000,0.399393,0.131833,0.111372,0.278853,0.0115275,0.0288626,0.0539846,100,674186
dense,0,15.8752,0.445662,15.1119,0.951915,0.135912,0.00856128,0.499962,100,245641
dense,600,12.0203,0.201647,11.1907,0.930979,0.542854,0.0451613,0.47746,100,252140
dense,1000,3.58712,0.3638,3.02553,0.843442,0.0951369,0.0265218,0.463024,100,261746
dense,2000,6.79253,0.372036,5.71956,0.842037,0.628551,0.0925356,0.428815,100,292441
dense,3000,1.26812,0.26017,0.863136,0.68064,0.102406,0.0807537,0.397134,100,332188
dense,4000,14.3099,0.362066,13.8383,0.967044,0.0412021,0.00287928,0.367793,100,341915
dense,5000,16.5614,0.536256,15.8511,0.957111,0.058293,0.00351981,0.34062,100,240698
dense,6000,1.43261,0.158661,1.23722,0.863616,0.012445,0.00868696,0.315454,100,336788
dense,7000,2.48431,0.179756,2.26139,0.910267,0.0103851,0.00418025,0.292148,100,314138
dense,8000,1.78636,0.174701,1.53406,0.858761,0.0431481,0.0241542,0.270564,100,391514
dense,9000,0.224926,0.115888,0.0833617,0.370619,0.0151652,0.0674229,0.250574,100,483402
dense,10000,1.55474,0.280877,1.22775,0.789682,0.0132497,0.00852212,0.232062,100,425352
dense,11000,0.616227,0.11026,0.474036,0.769256,0.0136984,0.0222295,0.214917,100,493712
dense,12000,1.33037,0.187458,1.08715,0.81718,0.0261035,0.0196213,0.199038,100,562381
dense,13000,0.460403,0.179294,0.247935,0.538517,0.0155084,0.0336844,0.184333,100,477799
dense,14000,0.784627,0.161164,0.590703,0.752846,0.0117061,0.0149193,0.170714,100,520102
dense,15000,0.597667,0.186723,0.26276,0.439643,0.0266094,0.0445221,0.158102,100,559535
dense,16000,0.374189,0.163644,0.0759374,0.202939,0.0202848,0.0542102,0.146421,100,504285
dense,17000,1.08387,0.179314,0.720399,0.664651,0.0324398,0.0299294,0.135603,100,528457
dense,18000,1.01356,0.161578,0.72522,0.71552,0.0192895,0.0190314,0.125585,100,563280
