building_id,group,model,view_idx,image_name,crop_xyxy,angle_error_median_deg_absdot,angle_error_p75_deg_absdot,quality_bin_locked,normal_mode_count,gable_two_mode_proxy,normal_png,image_crop_png,pair_png,note
DEBY_LOD2_4907199,textureless,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,161,DJI_20241217095533_0049_D.JPG,"428,326,608,506",5.3721,7.8932,good_lt15,2,true,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907199_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907199_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907199_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_8568391,textureless,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,146,DJI_20241217095503_0034_D.JPG,"530,356,680,506",2.1649,4.8757,good_lt15,2,true,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568391_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568391_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568391_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_8568392,textureless,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,136,DJI_20241217095443_0024_D.JPG,"349,378,477,506",21.0964,23.8634,borderline_15_30,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568392_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568392_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/8568392_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_60098,defect,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,161,DJI_20241217095533_0049_D.JPG,"72,274,304,506",42.4898,43.9986,bad_gt30,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/60098_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/60098_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/60098_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907186,defect,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,53,DJI_20241217084843_0185_D.JPG,"389,0,526,137",44.2877,45.7823,bad_gt30,2,true,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907186_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907186_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907186_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907188,defect,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,160,DJI_20241217095531_0048_D.JPG,"97,301,302,506",32.9097,45.1294,bad_gt30,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907188_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907188_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907188_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907194,defect,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,135,DJI_20241217095441_0023_D.JPG,"0,333,173,506",21.3679,61.3844,borderline_15_30,2,true,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907194_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907194_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907194_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907195,defect,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,160,DJI_20241217095531_0048_D.JPG,"248,286,468,506",4.7084,8.6024,good_lt15,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907195_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907195_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907195_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907184,normal,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,195,DJI_20241217095643_0084_D.JPG,"394,200,700,506",21.5269,27.0608,borderline_15_30,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907184_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907184_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907184_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
DEBY_LOD2_4907202,normal,Omnidata DPT-Hybrid surface_normal_dpt_hybrid_384,146,DJI_20241217095503_0034_D.JPG,"462,293,675,506",8.7354,21.3359,good_lt15,1,false,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907202_omnidata_normal.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907202_image_crop.png,docs/figs/e5_c001_s1_full_factor/normal_precheck/4907202_normal_pair.png,crop-level central pixels; camera-normal assumption; abs-dot angle to closest LoD2 roof-face normal
