family,arm,replicate,run_name,building_id,target_four,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_108247349,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_108247350,false,true,1,0,1,337.1,,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_108247351,false,true,1,0,1,329.9,,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907184,true,true,4,4,0,65.9;158.6;253.2;338.6,67.4;157.6;247.4;337.6,8,4,7,4,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907185,false,true,1,2,-1,233.1,68.8;248.8,2,2,2,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907186,true,true,1,2,-1,352.3,68.6;248.6,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907188,false,false,0,2,-2,,68.8;248.8,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907194,false,true,1,2,-1,269.9,69.6;249.6,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907195,false,true,1,2,-1,262.8,69.0;249.0,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
s2,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907198,false,true,1,2,-1,82.7,68.8;248.8,2,4,2,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json
