building_id,group_new,views_requested,visible_views_selected,views_scored,roof_height_error_abs_median_m,roof_height_error_abs_p90_viewmedian_m,signed_height_error_viewmedian_m,mono_crop_depth_step_viewmedian_m,ref_roof_z_span_p90_p10_m,view_indices,overall_building_median_m,building_resolution_pearson,resolution_failure_operationalization,arm3_decision,arm3_mode
DEBY_LOD2_4907184,양쪽 성공 6동,5,5,5,14.9613,20.0371,-14.9613,19.8406,4.4785,195;154;153;162;194,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907185,양쪽 성공 6동,5,5,5,15.5287,17.5092,-15.5287,19.8689,4.3124,146;185;181;186;161,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907198,양쪽 성공 6동,5,5,5,8.8844,10.0403,-8.8844,14.7289,2.8327,161;134;135;146;64,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907202,양쪽 성공 6동,5,5,5,3.5216,7.2401,-3.1065,10.7619,3.6411,146;161;134;136;133,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4908168,양쪽 성공 6동,5,5,5,4.6351,6.6175,-3.2031,6.2026,1.5650,146;186;181;185;153,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4908178,양쪽 성공 6동,5,5,5,5.9844,6.5816,5.5424,6.5948,0.9256,146;325;33;136;133,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,5,5,5,12.1711,12.9877,12.1711,5.3097,0.0000,161;68;134;66;57,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,5,5,5,3.6606,3.9046,-1.4440,2.9370,0.0000,146;161;117;134;116,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,5,5,5,3.9290,3.9615,3.9290,2.3712,0.0000,136;133;161;146;134,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_60098,GS만 실패 5동,5,5,5,10.8602,14.9549,-10.8602,10.5918,5.3265,161;146;160;62;58,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907186,GS만 실패 5동,5,5,5,13.6480,16.7678,-13.6480,20.1538,5.4536,53;160;52;54;55,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907188,GS만 실패 5동,5,5,5,8.9507,14.2019,-8.9507,6.8865,3.3766,160;53;52;54;354,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907194,GS만 실패 5동,5,5,5,4.9700,6.6436,-2.6060,4.7141,3.6068,135;160;56;55;354,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
DEBY_LOD2_4907195,GS만 실패 5동,5,5,5,7.3223,13.6611,-7.3223,17.0208,4.8363,160;135;55;56;57,8.1033,0.7773,any building <3 scored views OR nonfinite/nonpositive Pearson,exclude_arm3,excluded
