arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,520.0000,522.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,522.0000,524.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,524.0000,526.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,526.0000,528.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,528.0000,530.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,530.0000,532.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,532.0000,534.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,534.0000,536.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,536.0000,538.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,538.0000,540.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,540.0000,542.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,542.0000,544.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,544.0000,546.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,546.0000,548.0000,4,0.00000738,0.0070,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,548.0000,550.0000,6,0.00001107,0.0068,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,550.0000,552.0000,15,0.00002766,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,552.0000,554.0000,20,0.00003689,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,554.0000,556.0000,2,0.00000369,0.0311,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,556.0000,558.0000,22,0.00004058,0.0044,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,558.0000,560.0000,218,0.00040206,0.0937,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,560.0000,562.0000,1852,0.00341568,0.1881,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,562.0000,564.0000,954,0.00175948,0.0835,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,564.0000,566.0000,1309,0.00241422,0.1853,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
