view_stem,region_id,building_id,source_component_id,source_component_pixel_count,pre_split_overlap_count,pre_split_oracle_instance_count,pre_cut_pair_pixel_count,post_cut_fragment_pixel_count,fragment_index,post_split_fragment_min_pixels,plane_loss_min_valid_pixels,address_source,address_geoid_m,address_shift_z_m,lod2_depth_or_height_loss_input,footprint_buffer_m,footprint_buffer_role,cutline_half_width_px,source_component_min_pixels,cache_path
DJI_20241217084841_0184_D,1,DEBY_LOD2_4907184,2,243519,4,2,10204,10112,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084841_0184_D.npz
DJI_20241217084841_0184_D,2,DEBY_LOD2_4908168,2,243519,4,2,2610,2474,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084841_0184_D.npz
DJI_20241217084843_0185_D,1,DEBY_LOD2_4907184,2,238659,4,3,49007,48553,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084843_0185_D.npz
DJI_20241217084843_0185_D,2,DEBY_LOD2_4907185,2,238659,4,3,36,13,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084843_0185_D.npz
DJI_20241217084843_0185_D,3,DEBY_LOD2_4908168,2,238659,4,3,2208,1782,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084843_0185_D.npz
DJI_20241217084845_0186_D,1,DEBY_LOD2_4907184,2,250525,6,3,95337,93572,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084845_0186_D.npz
DJI_20241217084845_0186_D,2,DEBY_LOD2_4907185,2,250525,6,3,12992,11894,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084845_0186_D.npz
DJI_20241217084845_0186_D,3,DEBY_LOD2_4908168,2,250525,6,3,1695,966,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084845_0186_D.npz
DJI_20241217084847_0187_D,1,DEBY_LOD2_4907184,2,215930,6,3,104594,101802,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084847_0187_D.npz
DJI_20241217084847_0187_D,2,DEBY_LOD2_4907185,2,215930,6,3,11637,9653,1,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084847_0187_D.npz
DJI_20241217084847_0187_D,3,DEBY_LOD2_4907185,2,215930,6,3,11637,57,2,,64,actual_label_source_raycast_building_id_only,48.0,556.0,False,20.0,pre-adjudication overlap audit only,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084847_0187_D.npz
