method_id,group_id,denominator,attempted,G0_generated,G1_true,failed_G0,runtime_seconds_sum,runtime_seconds_median,failure_reason_counts_json
C1_L_upper,GROUP_32a743e7f900e7ae,1,1,1,1,0,1.0,1.0,{}
C1_L_upper,GROUP_37b5107f054e56e8,47,47,47,47,0,47.0,1.0,{}
C1_L_upper,GROUP_660281d563f14018,1,1,1,1,0,1.0,1.0,{}
C1_L_upper,GROUP_6e1c6ddc7a70ba88,1,1,1,1,0,1.0,1.0,{}
C1_L_upper,GROUP_a47a79580ecbedd1,1,1,1,1,0,1.0,1.0,{}
C2_MVS,GROUP_32a743e7f900e7ae,1,1,1,1,0,0.0,0.0,{}
C2_MVS,GROUP_37b5107f054e56e8,47,46,46,46,1,4.0,0.0,"{""UNASSOCIATED_CONDITION_COMPONENT"":1}"
C2_MVS,GROUP_660281d563f14018,1,1,1,1,0,0.0,0.0,{}
C2_MVS,GROUP_6e1c6ddc7a70ba88,1,1,1,1,0,0.0,0.0,{}
C2_MVS,GROUP_a47a79580ecbedd1,1,1,1,1,0,0.0,0.0,{}
