method_id,metric,unweighted_group_mean,groups_with_value,all_five_groups_have_value,inferential_statistics,interpretation,group_means_json,groups_with_denominators_json
C1_L_upper,reference_vertical_coverage,1.0,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":1.0,""GROUP_37b5107f054e56e8"":1.0,""GROUP_660281d563f14018"":1.0,""GROUP_6e1c6ddc7a70ba88"":1.0,""GROUP_a47a79580ecbedd1"":1.0}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":1.0,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":1.0,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":1.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":1.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":1.0,""values_with_metric"":1}]"
C1_L_upper,height_error_mae_m,4.618934825216952,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":1.418621568627434,""GROUP_37b5107f054e56e8"":6.399356883026548,""GROUP_660281d563f14018"":2.855622413793134,""GROUP_6e1c6ddc7a70ba88"":3.806136897001314,""GROUP_a47a79580ecbedd1"":8.614936363636334}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":1.418621568627434,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":6.399356883026548,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":2.855622413793134,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":3.806136897001314,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":8.614936363636334,""values_with_metric"":1}]"
C1_L_upper,RMSZ_m,4.826061839128803,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":1.5992228857277073,""GROUP_37b5107f054e56e8"":7.242237018134348,""GROUP_660281d563f14018"":2.858026345798099,""GROUP_6e1c6ddc7a70ba88"":3.8151049754618915,""GROUP_a47a79580ecbedd1"":8.61571797052197}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":1.5992228857277073,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":7.242237018134348,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":2.858026345798099,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":3.8151049754618915,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":8.61571797052197,""values_with_metric"":1}]"
C1_L_upper,RMSXY_m,0.0,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":0.0,""GROUP_37b5107f054e56e8"":0.0,""GROUP_660281d563f14018"":0.0,""GROUP_6e1c6ddc7a70ba88"":0.0,""GROUP_a47a79580ecbedd1"":0.0}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":0.0,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":0.0,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":0.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":0.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":0.0,""values_with_metric"":1}]"
C1_L_upper,surface_distance_rmse_m,4.826061839128805,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":1.599222885727698,""GROUP_37b5107f054e56e8"":7.242237018134349,""GROUP_660281d563f14018"":2.8580263457980952,""GROUP_6e1c6ddc7a70ba88"":3.8151049754619075,""GROUP_a47a79580ecbedd1"":8.615717970521976}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":1.599222885727698,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":7.242237018134349,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":2.8580263457980952,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":3.8151049754619075,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":8.615717970521976,""values_with_metric"":1}]"
C1_L_upper,surface_distance_p95_m,5.8180398297872475,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":2.5046299999999624,""GROUP_37b5107f054e56e8"":10.505864148936167,""GROUP_660281d563f14018"":3.048580000000021,""GROUP_6e1c6ddc7a70ba88"":4.268750000000068,""GROUP_a47a79580ecbedd1"":8.76237500000002}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":2.5046299999999624,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":10.505864148936167,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":3.048580000000021,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":4.268750000000068,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":8.76237500000002,""values_with_metric"":1}]"
C1_L_upper,normal_angular_error_median_deg,11.867800224487132,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":32.65467763854304,""GROUP_37b5107f054e56e8"":12.675962315145865,""GROUP_660281d563f14018"":6.115448363533801,""GROUP_6e1c6ddc7a70ba88"":4.160825703375743,""GROUP_a47a79580ecbedd1"":3.7320871018372057}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":32.65467763854304,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":12.675962315145865,""values_with_metric"":47},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":6.115448363533801,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":4.160825703375743,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":3.7320871018372057,""values_with_metric"":1}]"
C2_MVS,reference_vertical_coverage,0.9937568533596128,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":1.0,""GROUP_37b5107f054e56e8"":0.9687842667980635,""GROUP_660281d563f14018"":1.0,""GROUP_6e1c6ddc7a70ba88"":1.0,""GROUP_a47a79580ecbedd1"":1.0}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":1.0,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":0.9687842667980635,""values_with_metric"":46},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":1.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":1.0,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":1.0,""values_with_metric"":1}]"
C2_MVS,height_error_mae_m,2.7961862579337664,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":2.0887196078430983,""GROUP_37b5107f054e56e8"":4.540516007394886,""GROUP_660281d563f14018"":2.16762241379314,""GROUP_6e1c6ddc7a70ba88"":3.1181368970013414,""GROUP_a47a79580ecbedd1"":2.0659363636363657}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":2.0887196078430983,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":4.540516007394886,""values_with_metric"":46},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":2.16762241379314,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":3.1181368970013414,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":2.0659363636363657,""values_with_metric"":1}]"
C2_MVS,RMSZ_m,3.010295705486343,5,True,,DESCRIPTIVE_ONLY_NO_INFERENCE_N51_FIVE_GROUPS,"{""GROUP_32a743e7f900e7ae"":2.226712378963051,""GROUP_37b5107f054e56e8"":5.455707102814621,""GROUP_660281d563f14018"":2.170788371052487,""GROUP_6e1c6ddc7a70ba88"":3.129077436485144,""GROUP_a47a79580ecbedd1"":2.0691932381164104}","[{""denominator"":1,""group_id"":""GROUP_32a743e7f900e7ae"",""mean"":2.226712378963051,""values_with_metric"":1},{""denominator"":47,""group_id"":""GROUP_37b5107f054e56e8"",""mean"":5.455707102814621,""values_with_metric"":46},{""denominator"":1,""group_id"":""GROUP_660281d563f14018"",""mean"":2.170788371052487,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_6e1c6ddc7a70ba88"",""mean"":3.129077436485144,""values_with_metric"":1},{""denominator"":1,""group_id"":""GROUP_a47a79580ecbedd1"",""mean"":2.0691932381164104,""values_with_metric"":1}]"
