method_id,stage,count,denominato
C1_L_upper,U_target,199,199
C1_L_upper,ASSOCIATED,126,199
C1_L_upper,ONE_TO_ONE,1,199
C1_L_upper,G0,1,199
C1_L_upper,G1,1,199
C1_L_upper,G2,1,199
C1_L_upper,G3_CANDIDATE,0,199
C1_L_upper,G4_CANDIDATE,5,199
C1_L_upper,PASS_CANDIDATE,0,199
C1_L_upper,PASS_USABLE_OFFICIAL,null,199
C2_MVS,U_target,199,199
C2_MVS,ASSOCIATED,153,199
C2_MVS,ONE_TO_ONE,3,199
C2_MVS,G0,3,199
C2_MVS,G1,3,199
C2_MVS,G2,3,199
C2_MVS,G3_CANDIDATE,0,199
C2_MVS,G4_CANDIDATE,13,199
C2_MVS,PASS_CANDIDATE,0,199
C2_MVS,PASS_USABLE_OFFICIAL,null,199
C3_GS_image,U_target,199,199
C3_GS_image,ASSOCIATED,101,199
C3_GS_image,ONE_TO_ONE,10,199
C3_GS_image,G0,3,199
C3_GS_image,G1,3,199
C3_GS_image,G2,2,199
C3_GS_image,G3_CANDIDATE,0,199
C3_GS_image,G4_CANDIDATE,3,199
C3_GS_image,PASS_CANDIDATE,0,199
C3_GS_image,PASS_USABLE_OFFICIAL,null,199
