building_id,refinement_method,refinement_parameters_json,input_laz,input_laz_sha256,refined_laz,refined_laz_sha256,building_point_count,point_displacement_support,median_abs_point_dz_m,p95_abs_point_dz_m,baseline_roofer_status,baseline_roofer_reason,refined_roofer_status,refined_roofer_reason,baseline_rf_extrusion_mode,refined_rf_extrusion_mode,baseline_has_lod22,refined_has_lod22,delta_has_lod22,baseline_lod1_fallback,refined_lod1_fallback,baseline_val3dity_valid,refined_val3dity_valid,baseline_roof_face_count,refined_roof_face_count,delta_roof_face_count,reference_roof_face_count,baseline_face_count_ratio,refined_face_count_ratio,delta_face_count_ratio,baseline_roof_rms_m,refined_roof_rms_m,delta_roof_rms_m,refined_roof_hausdorff_m,roofer_cityjson,roofer_cityjson_sha256,roofer_parameters,crs,gt_role,learning_runs_started,new_inference_runs
DEBY_LOD2_108247349,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,0,all class-6 points inside exact footprint; unchanged points included,,,failure,missing_roofer_output,failure,pointcloud_unusable_no_points,,skip,False,False,0,False,False,False,True,0,0,0,1,0.0,0.0,0.0,,,,,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_108247350,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,3,all class-6 points inside exact footprint; unchanged points included,0.009999999999990905,0.009999999999990905,failure,pointcloud_unusable_no_points,failure,pointcloud_unusable_no_points,skip,skip,False,False,0,False,False,True,True,0,0,0,1,0.0,0.0,0.0,,,,,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_108247351,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,0,all class-6 points inside exact footprint; unchanged points included,,,failure,pointcloud_unusable_no_points,failure,pointcloud_unusable_no_points,skip,skip,False,False,0,False,False,True,True,0,0,0,1,0.0,0.0,0.0,,,,,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907184,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,201892,all class-6 points inside exact footprint; unchanged points included,0.05999999999994543,0.6099999999999,success,success,success,success,standard,standard,True,True,0,False,False,True,True,6,8,2,4,1.5,2.0,0.5,0.354716522,0.46651062960072326,0.11179410760072328,2.6259955888563127,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907185,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,3488,all class-6 points inside exact footprint; unchanged points included,0.0,0.7200000000000273,success,success,success,success,standard,standard,True,True,0,False,False,True,True,3,5,2,2,1.5,2.5,1.0,2.613993006,3.083186611772951,0.4691936057729511,8.60446221918653,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907186,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,480,all class-6 points inside exact footprint; unchanged points included,0.060000000000002274,0.6215000000000075,success,success,success,success,standard,standard,True,True,0,False,False,True,True,2,1,-1,2,1.0,0.5,-0.5,3.543989669,0.6734490535460478,-2.8705406154539523,0.9779321320005465,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907188,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,1118,all class-6 points inside exact footprint; unchanged points included,0.10000000000002274,0.7015000000000428,success,success,success,success,standard,standard,True,True,0,False,False,True,True,3,5,2,2,1.5,2.5,1.0,1.354221199,1.480482484939083,0.12626128593908303,7.044150462531434,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907194,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,47,all class-6 points inside exact footprint; unchanged points included,0.06999999999993634,0.25699999999999357,failure,missing_roofer_output,failure,missing_lod22_geometry,,standard,False,False,0,False,False,False,True,0,0,0,2,0.0,0.0,0.0,,,,,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907195,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,686,all class-6 points inside exact footprint; unchanged points included,0.10000000000002274,0.5099999999999909,success,success,success,success,standard,standard,True,True,0,False,False,True,True,2,1,-1,2,1.0,0.5,-0.5,0.269773262,0.3795626290683076,0.10978936706830761,0.7621402402285185,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
DEBY_LOD2_4907198,MLS-style local plane fit and z projection on roof-top class-6 points,"{""building_class"":6,""cell_m"":0.5,""passes"":1,""roof_top_band_m"":1.5,""roof_top_cell_m"":1.0,""window_radius_cells"":2}",phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,e9acd5eb90dc42d88f13485a73fbaf8d10cff76cb5a3063f5f5bc72f51454c4a,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,4184cf45bd6cb30fce5d23fe51cc5b1a85ba19d891aed592a3fb1ec087f1f85a,1309,all class-6 points inside exact footprint; unchanged points included,0.049999999999954525,0.7259999999999754,success,success,failure,missing_lod22_geometry,standard,standard,True,False,-1,False,False,True,True,1,0,-1,4,0.25,0.0,-0.25,2.127468875,,,,phases/p2-gsjso/runs/quality_score/20260717_qs_cheap_refine_pilot/cityjson/dense_w2_1_c001_mls_default.city.json,90b1311cf1f5038d22394a9e53aae36f692306ffa0fc554f5f3e329ae4981657,--id-attribute building_id --box C001_BBOX; all reconstruction parameters default,EPSG:25832,LoD2 reference opened only after refined Roofer output for scoring,0,0
