building_id,als_has_lod22,dim_has_lod22,sparse_has_lod22,acmp_has_lod22,gs_sparse_has_lod22,gs_dense_has_lod22,gs_acmp_has_lod22,n_views_nadir,n_views_oblique,n_views_total,median_intersection_deg,median_incidence_deg,roof_area_covered_frac,roof_lowtex_frac,roof_grad_p10,occlusion_frac_approx,footprint_area_m2,n_exterior_vertices
DEBY_LOD2_104583447,1,1,,,,,,,,,,,,,,,6.082,4
DEBY_LOD2_104583794,1,0,0,0,0,0,0,0.0,265.0,,,,,,,,6.389,4
DEBY_LOD2_104586480,1,0,0,0,1,1,1,,,,,,,,,,14.77,4
DEBY_LOD2_107802038,1,0,0,1,0,0,0,0.0,153.0,,,,,,,,388.477,10
DEBY_LOD2_107807336,1,0,0,0,0,0,0,0.0,157.0,,,,,,,,100.627,4
DEBY_LOD2_108246888,1,1,,,,,,10.0,202.0,212.0,,61.02,1.0,0.1893,0.0143,0.167,13.961,4
DEBY_LOD2_108247349,0,0,,,,,,,,,,,,,,,101.102,7
DEBY_LOD2_108247350,1,0,0,1,0,0,0,0.0,264.0,,,,,,,,12.137,7
DEBY_LOD2_108247351,1,0,0,1,0,1,1,0.0,266.0,,,,,,,,65.279,6
DEBY_LOD2_108247714,0,1,,,,,,,,,,,,,,,34.271,6
DEBY_LOD2_108250120,1,1,,,,,,,,,,,,,,,46.818,5
DEBY_LOD2_108580335,1,1,,,,,,,,,,,,,,,1020.875,30
DEBY_LOD2_108580336,1,1,,,,,,5.0,391.0,396.0,,64.44,0.592,0.6612,0.0044,0.0,4799.469,45
DEBY_LOD2_42364607,1,0,0,0,0,0,0,26.0,259.0,,,14.8,,,0.0213,,90.441,4
DEBY_LOD2_42364609,1,0,0,0,1,0,0,9.0,281.0,290.0,,57.7,1.0,,0.0121,0.79,16.445,4
DEBY_LOD2_42364657,1,1,,,,,,6.0,157.0,163.0,,72.5,1.0,0.5804,0.0039,0.823,107.301,9
DEBY_LOD2_42364659,1,0,0,1,1,1,1,3.0,222.0,222.0,,67.38,1.0,,0.0229,0.595,66.102,9
DEBY_LOD2_42364661,0,0,,,,,,,,,,,,,,,58.561,4
DEBY_LOD2_42364663,1,1,1,0,1,1,1,15.0,381.0,394.0,,59.79,1.0,,0.0264,0.274,42.215,6
DEBY_LOD2_42364665,1,1,,,,,,23.0,366.0,389.0,,55.48,1.0,0.5797,0.0044,0.285,49.277,6
DEBY_LOD2_42364667,1,1,,,,,,27.0,345.0,372.0,,64.1,1.0,0.6355,0.0044,0.466,45.705,6
DEBY_LOD2_4906965,1,1,,,,,,,,,,,,,,,2621.25,158
DEBY_LOD2_4906966,1,1,,,,,,11.0,351.0,362.0,,58.91,0.65,0.5898,0.0044,0.0,1437.016,52
DEBY_LOD2_4906967,1,1,,,,,,,,,,,,,,,2568.094,30
DEBY_LOD2_4906968,1,1,,,,,,15.0,429.0,444.0,,56.89,0.596,0.5022,0.0056,0.0,1781.398,14
DEBY_LOD2_4906969,1,1,1,1,1,1,1,9.0,418.0,427.0,,49.44,1.0,0.477,0.0071,0.047,173.375,29
DEBY_LOD2_4906970,1,1,,,,,,31.0,279.0,310.0,,57.19,1.0,0.6253,0.0044,0.0,154.49,6
DEBY_LOD2_4906972,1,1,1,1,1,1,1,31.0,286.0,317.0,,58.49,1.0,0.4766,0.0044,0.0,371.016,20
DEBY_LOD2_4906973,1,1,,,,,,32.0,288.0,320.0,,48.31,1.0,0.572,0.0044,0.132,55.297,6
DEBY_LOD2_4906974,1,1,,,,,,19.0,375.0,394.0,,59.48,1.0,0.5069,0.0062,0.061,315.332,13
DEBY_LOD2_4906975,1,1,,,,,,,,,,,,,,,1805.656,62
DEBY_LOD2_4906976,1,1,,,,,,20.0,286.0,306.0,,70.27,1.0,0.6087,0.0044,0.0,273.078,33
DEBY_LOD2_4906977,1,1,,,,,,11.0,312.0,323.0,,60.64,0.976,0.8293,0.0028,0.027,530.766,10
DEBY_LOD2_4906980,1,1,,,,,,11.0,300.0,311.0,,62.94,1.0,0.2854,0.01,0.523,44.926,5
DEBY_LOD2_4906981,1,1,,,,,,6.0,313.0,319.0,,63.34,0.772,0.7522,0.0039,0.046,1419.988,14
DEBY_LOD2_4906982,1,1,,,,,,24.0,241.0,265.0,,60.36,0.833,0.3878,0.0062,0.0,1385.406,64
DEBY_LOD2_4906983,1,1,,,,,,10.0,206.0,216.0,,60.05,0.66,0.2521,0.0124,0.245,932.787,6
DEBY_LOD2_4906984,1,1,,,,,,14.0,195.0,209.0,,61.87,1.0,0.5532,0.0056,0.573,246.428,4
DEBY_LOD2_4906985,1,1,,,,,,,,,,,,,,,875.803,8
DEBY_LOD2_4906986,1,1,,,,,,14.0,166.0,180.0,,66.58,1.0,0.61,0.0039,0.287,236.227,16
DEBY_LOD2_4906987,1,1,,,,,,13.0,171.0,184.0,,61.72,1.0,0.3823,0.0059,0.203,231.477,9
DEBY_LOD2_4906988,1,1,,,,,,12.0,169.0,181.0,,64.28,1.0,0.3438,0.0081,0.326,130.994,5
DEBY_LOD2_4906989,1,1,,,,,,,,,,,,,,,320.91,11
DEBY_LOD2_4906990,0,0,,,,,,,,,,,,,,,292.582,8
DEBY_LOD2_4906991,1,1,,,,,,6.0,170.0,176.0,,65.97,1.0,0.455,0.0044,0.247,167.684,9
DEBY_LOD2_4906997,0,0,,,,,,,,,,,,,,,193.582,11
DEBY_LOD2_4906998,1,1,,,,,,,,,,,,,,,326.336,10
DEBY_LOD2_4906999,1,0,0,1,0,0,0,0.0,124.0,,,,,,,,221.16,14
DEBY_LOD2_4907000,0,0,,,,,,,,,,,,,,,198.246,9
DEBY_LOD2_4907011,0,0,,,,,,,,,,,,,,,194.988,13
DEBY_LOD2_4907012,1,0,0,0,0,0,0,0.0,127.0,,,,,,,,51.113,10
DEBY_LOD2_4907013,1,0,0,0,0,0,0,0.0,136.0,,,,,,,,116.32,6
DEBY_LOD2_4907014,1,0,0,0,0,0,0,0.0,141.0,,,,,,,,149.949,10
DEBY_LOD2_4907015,1,0,0,0,0,0,0,0.0,148.0,,,,,,,,168.434,8
DEBY_LOD2_4907016,1,0,0,0,0,0,0,0.0,176.0,,,,,,,,282.211,11
DEBY_LOD2_4907017,1,1,,,,,,,,,,,,,,,287.672,8
DEBY_LOD2_4907018,1,1,,,,,,4.0,143.0,147.0,,61.99,1.0,0.7001,0.0,0.0,257.297,15
DEBY_LOD2_4907019,1,0,0,1,0,0,0,0.0,190.0,,,,,,,,206.424,6
DEBY_LOD2_4907020,1,1,,,,,,6.0,169.0,175.0,,62.14,0.973,0.6723,0.002,0.0,330.555,9
DEBY_LOD2_4907021,1,0,0,1,0,0,0,0.0,220.0,,,,,,,,249.031,26
DEBY_LOD2_4907022,1,0,0,0,0,0,0,0.0,207.0,,,,,,,,240.906,29
DEBY_LOD2_4907023,1,1,,,,,,12.0,220.0,232.0,,61.53,1.0,0.6966,0.0028,0.0,181.232,6
DEBY_LOD2_4907024,1,1,,,,,,8.0,192.0,200.0,,62.02,0.828,0.7111,0.0028,0.0,289.031,7
DEBY_LOD2_4907025,1,1,,,,,,,,,,,,,,,468.75,25
DEBY_LOD2_4907026,1,1,,,,,,,,,,,,,,,132.693,8
DEBY_LOD2_4907027,1,0,0,0,0,0,0,0.0,215.0,,,,,,,,264.336,9
DEBY_LOD2_4907028,1,1,,,,,,,,,,,,,,,199.66,8
DEBY_LOD2_4907029,1,0,0,1,0,0,0,0.0,172.0,,,,,,,,425.699,10
DEBY_LOD2_4907030,1,0,0,0,0,0,0,0.0,163.0,,,,,,,,177.418,16
DEBY_LOD2_4907031,1,0,0,0,0,0,0,0.0,161.0,,,,,,,,163.719,9
DEBY_LOD2_4907032,1,0,0,0,0,0,0,0.0,150.0,,,,,,,,375.523,14
DEBY_LOD2_4907033,1,0,0,0,0,0,0,0.0,150.0,,,,,,,,128.949,12
DEBY_LOD2_4907034,1,0,0,0,0,0,0,0.0,133.0,,,,,,,,549.504,11
DEBY_LOD2_4907035,0,0,,,,,,,,,,,,,,,325.258,9
DEBY_LOD2_4907036,1,0,0,0,0,0,0,0.0,147.0,,,,,,,,187.848,8
DEBY_LOD2_4907156,0,0,,,,,,,,,,,,,,,295.441,13
DEBY_LOD2_4907164,0,0,,,,,,,,,,,,,,,322.77,13
DEBY_LOD2_4907165,1,1,,,,,,,,,,,,,,,262.125,9
DEBY_LOD2_4907166,0,0,,,,,,,,,,,,,,,160.195,9
DEBY_LOD2_4907167,1,0,0,0,0,0,0,,,,,,,,,,203.195,8
DEBY_LOD2_4907168,1,0,0,0,0,0,0,,,,,,,,,,207.379,9
DEBY_LOD2_4907169,1,0,0,1,0,0,0,,,,,,,,,,317.445,21
DEBY_LOD2_4907170,1,1,,,,,,,,,,,,,,,239.91,16
DEBY_LOD2_4907171,1,1,,,,,,,,,,,,,,,189.008,17
DEBY_LOD2_4907172,1,1,,,,,,,,,,,,,,,165.273,15
DEBY_LOD2_4907173,1,1,,,,,,11.0,243.0,254.0,,62.02,1.0,0.6835,0.0028,0.0,377.953,17
DEBY_LOD2_4907174,1,0,0,0,0,0,0,0.0,244.0,,,,,,,,260.426,11
DEBY_LOD2_4907175,1,0,0,1,0,0,0,,,,,,,,,,413.891,31
DEBY_LOD2_4907176,1,1,,,,,,,,,,,,,,,515.387,11
DEBY_LOD2_4907177,1,1,,,,,,,,,,,,,,,95.57,16
DEBY_LOD2_4907178,1,1,,,,,,15.0,268.0,283.0,,67.53,1.0,0.7098,0.0028,0.0,192.957,14
DEBY_LOD2_4907179,1,1,,,,,,18.0,259.0,277.0,,56.67,1.0,0.7269,0.0028,0.036,160.359,11
DEBY_LOD2_4907180,1,1,,,,,,20.0,259.0,279.0,,64.15,0.842,0.6711,0.0039,0.074,386.109,19
DEBY_LOD2_4907181,1,0,1,0,0,0,0,,,,,,,,,,190.789,19
DEBY_LOD2_4907182,1,0,0,0,0,0,0,33.0,258.0,290.0,,32.21,1.0,,0.007,0.824,95.004,10
DEBY_LOD2_4907183,1,1,,,,,,12.0,277.0,289.0,,63.42,0.982,0.6984,0.0044,0.0,361.68,14
DEBY_LOD2_4907184,1,1,,,,,,,,,,,,,,,337.875,39
DEBY_LOD2_4907185,1,1,,,,,,,,,,,,,,,160.98,10
DEBY_LOD2_4907186,1,1,,,,,,,,,,,,,,,167.836,11
DEBY_LOD2_4907187,1,0,0,0,0,0,0,0.0,282.0,,,,,,,,119.906,29
DEBY_LOD2_4907188,1,1,,,,,,,,,,,,,,,165.881,8
DEBY_LOD2_4907194,0,0,,,,,,,,,,,,,,,212.727,11
DEBY_LOD2_4907195,1,1,,,,,,,,,,,,,,,177.84,12
DEBY_LOD2_4907196,1,1,,,,,,10.0,280.0,290.0,,58.41,0.983,0.603,0.0039,0.0,427.391,15
DEBY_LOD2_4907198,1,1,,,,,,,,,,,,,,,359.797,30
DEBY_LOD2_4907199,1,0,0,1,0,0,0,3.0,284.0,,,19.0,,,0.0291,,98.346,4
