bid,true_type_eval_only,optional_roof_archetype,pipeline_success,val3dity_status,val3dity_valid,h_err,recall_coverage,pred_precision,F_score,vol_ratio,footprint_IoU,Hausdorff,Chamfer,edge_ok,failure_reason
0,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.902,0.9063333333333333,0.9041614746543779,2.164330455309875,0.9992243439690103,2.3981473685960353,0.26705530663904115,True,LOW_PRECISION_OVERFILL
1,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9898333333333333,0.9895,0.989666638598855,1.0000038659404997,0.999999999999999,0.7374951857220521,0.21130133664758963,True,VAL3DITY_BLOCKED_DEPENDENCY
2,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9995,0.9988333333333334,0.9991665554628857,1.619646824791353,0.9974148581747658,0.6751662146924392,0.16710963940654155,True,VAL3DITY_BLOCKED_DEPENDENCY
3,complex,hip-like,True,BLOCKED_DEPENDENCY,,7.305,0.3655,0.32033333333333336,0.341429404617254,0.9561823560721675,0.9702064935308589,11.478438770006365,1.8713248695037827,True,COMPLEX_MULTIPART
4,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9996666666666667,1.0,0.9998333055509252,0.9999974030249803,0.9999999999999991,0.562782378642594,0.15967551054076026,True,VAL3DITY_BLOCKED_DEPENDENCY
5,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.8322999999999965,0.9165,0.937,0.9266366333962774,1.1019420262711048,0.9862174975749721,1.7761761116572654,0.25303920831704196,True,VAL3DITY_BLOCKED_DEPENDENCY
6,hip,hip-like,True,BLOCKED_DEPENDENCY,,3.6069999999999993,0.8828333333333334,0.9315,0.9065139628881131,0.6303124448579214,0.9915447006496813,3.9261835895536974,0.2858764156724933,True,VAL3DITY_BLOCKED_DEPENDENCY
7,complex,gable-like,True,BLOCKED_DEPENDENCY,,0.0008000000000016882,0.8191666666666667,0.8726666666666667,0.8450707647850787,1.0260514704656862,0.9932967876764135,2.212139592386999,0.31213421394072727,True,VAL3DITY_BLOCKED_DEPENDENCY
8,gable,flat-like,True,BLOCKED_DEPENDENCY,,0.0009999999999994458,0.9883333333333333,0.9938333333333333,0.9910757027943609,1.3921262206331588,0.9973085809381461,0.6725740878616712,0.18542605420999628,True,VAL3DITY_BLOCKED_DEPENDENCY
9,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.0030000000000001137,0.861,0.904,0.8819762039660056,0.9415665624513307,0.999867290963311,3.0453143206913835,0.31535237769614266,True,VAL3DITY_BLOCKED_DEPENDENCY
10,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,0.0036999999999984823,0.8311666666666667,0.7776666666666666,0.803527124555406,1.8532373627394458,0.9720290581320713,2.9513682108109562,0.4026426994181427,True,VAL3DITY_BLOCKED_DEPENDENCY
11,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.25099999999999945,0.8366666666666667,0.8906666666666667,0.8628225910201981,0.8561643811206384,0.9974315520169188,4.486262576305628,0.3984401313685687,True,VAL3DITY_BLOCKED_DEPENDENCY
12,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.0030999999999998806,0.927,0.9271666666666667,0.9270833258426967,0.9886540275017938,0.995521167180532,2.6899745539589484,0.22644811128763476,True,VAL3DITY_BLOCKED_DEPENDENCY
13,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9988333333333334,0.9981666666666666,0.9984998887219719,0.9999996067577087,0.9999999999999988,0.6574274103671561,0.1721270426118828,True,VAL3DITY_BLOCKED_DEPENDENCY
14,gable,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.9775,0.9861666666666666,0.9818142081140723,1.1186018485005402,0.9968161910471046,2.106286322114419,0.1872773520751363,True,VAL3DITY_BLOCKED_DEPENDENCY
15,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,0.9985,0.9983333333333333,0.9984166597112094,0.9999963665227944,0.9999999999999984,0.556737554358769,0.17335979137294166,True,VAL3DITY_BLOCKED_DEPENDENCY
