building_id,card_type,figure,locator_view,locator_zenith_deg,view_reason,neighbor_ids,neighbor_rings_drawn,manual_batch,manual_source,area_m2,small_flag,elong_flag,bbox_aspect_ratio,isoperimetric,dim_density,n_views_nadir,inc60,recon_score,occlusion,lowtex_v5,lowtex_v5_zenith_deg,veto_recovered,dim_points_in_footprint,dim_points_plotted,dim_source,als_points_in_footprint,als_points_plotted,als_source,als_marker_scale,observation
DEBY_LOD2_104583794,manual_review,docs/judgment_kit_v4/104583794.png,DJI_20241217102929_0010_D.JPG,55.773,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907187;DEBY_LOD2_4908157;DEBY_LOD2_4908170,2,,docs/manual_review_judgments.csv missing,6.387,1,0,1.388,1.47,0.000000,0.0,0.109,72.081,0.556,0.3,58.203,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104583794_orig_classified.las,108,108,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104583794_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_108247350,manual_review,docs/judgment_kit_v4/108247350.png,DJI_20241217102721_0016_D.JPG,53.722,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_108247351;DEBY_LOD2_4907195;DEBY_LOD2_4907198,3,,docs/manual_review_judgments.csv missing,12.137,1,0,1.185,1.417,9.142858,0.0,0.098,67.515,0.625,0.49,59.583,raw_acmp,13,466,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_108247350_orig_classified.las,162,162,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108247350_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_108247351,manual_review,docs/judgment_kit_v4/108247351.png,DJI_20241217095441_0023_D.JPG,27.036,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907199;DEBY_LOD2_4908179;DEBY_LOD2_4908178,3,,docs/manual_review_judgments.csv missing,65.278,0,0,1.29,1.384,4.500000,0.0,0.106,74.873,0.556,0.549,60.036,gs_seed_dense;gs_seed_acmp;raw_acmp,11,464,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_108247351_orig_classified.las,1190,1190,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108247351_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_42364607,manual_review,docs/judgment_kit_v4/42364607.png,DJI_20241217102939_0015_D.JPG,54.548,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907174;DEBY_LOD2_4908162;DEBY_LOD2_4908164,3,,docs/manual_review_judgments.csv missing,90.44,0,0,1.538,1.659,0.000000,0.0,0.119,81.117,0.6,0.374,60.662,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_42364607_orig_classified.las,233,233,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_42364607_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4906999,manual_review,docs/judgment_kit_v4/4906999.png,DJI_20241217101357_0031_D.JPG,79.76,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907000;DEBY_LOD2_4906998;DEBY_LOD2_4907017,3,,docs/manual_review_judgments.csv missing,221.161,0,0,1.24,1.448,0.000000,0.0,0.348,1.98,0.333,0.464,86.833,raw_acmp,0,2324,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4906999_orig_classified.las,4046,4046,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4906999_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907012,manual_review,docs/judgment_kit_v4/4907012.png,DJI_20241217101530_0002_D.JPG,78.764,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907014;DEBY_LOD2_4907013;DEBY_LOD2_4907011,3,,docs/manual_review_judgments.csv missing,51.117,0,0,1.586,1.709,0.000000,0.0,0.316,0.0,0.0,0.658,85.683,,0,0,fallback_global,1015,1015,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907012_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907013,manual_review,docs/judgment_kit_v4/4907013.png,DJI_20241217101530_0002_D.JPG,78.957,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907012;DEBY_LOD2_4907011;DEBY_LOD2_4907014,3,,docs/manual_review_judgments.csv missing,116.323,0,0,1.136,1.3,0.000000,0.0,0.295,0.0,0.0,0.392,85.794,,0,0,fallback_global,2234,2234,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907013_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907014,manual_review,docs/judgment_kit_v4/4907014.png,DJI_20241217101530_0002_D.JPG,78.308,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907012;DEBY_LOD2_4907013;DEBY_LOD2_4908044,3,,docs/manual_review_judgments.csv missing,149.951,0,0,1.09,1.285,0.000000,0.0,0.538,0.0,0.0,0.389,85.665,,0,0,fallback_global,2927,2927,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907014_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907015,manual_review,docs/judgment_kit_v4/4907015.png,DJI_20241217101311_0008_D.JPG,79.477,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907014;DEBY_LOD2_4907016;DEBY_LOD2_4908044,3,,docs/manual_review_judgments.csv missing,168.433,0,0,1.148,1.304,0.000000,0.0,0.494,0.0,0.0,0.291,84.873,,0,0,fallback_global,3279,3279,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907015_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907016,manual_review,docs/judgment_kit_v4/4907016.png,DJI_20241217101311_0008_D.JPG,78.808,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907015;DEBY_LOD2_4908045;DEBY_LOD2_4907017,3,,docs/manual_review_judgments.csv missing,282.21,0,0,1.335,1.416,0.000000,0.0,0.606,5.989,0.0,0.585,86.714,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907016_orig_classified.las,5311,5311,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907016_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
