building_id,lowtex_valid,roof_lowtex_v5,roof_grad_p10_v5,roof_sat_frac_v5,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac,lowtex_v5_area_px,lowtex_v5_delta_from_v4,roof_lowtex_v4,footprint_area_m2
DEBY_LOD2_104583447,valid,0.486,0.0039,0.0,DJI_20241217095809_0009_D.JPG,54.553,0.772,1.0,1051,-0.142,0.628,6.08
DEBY_LOD2_104583794,valid,0.3,0.0088,0.0,DJI_20241217095533_0049_D.JPG,58.203,0.707,1.0,1925,-0.294,0.594,6.39
DEBY_LOD2_104586480,valid,0.269,0.0106,0.0,DJI_20241217102613_0039_D.JPG,5.262,0.742,1.0,65720,-0.049,0.318,14.77
DEBY_LOD2_107802038,valid,0.751,0.0039,0.0235,DJI_20241217095143_0078_D.JPG,86.222,0.708,1.0,3108,0.094,0.657,388.48
DEBY_LOD2_107807336,valid,0.547,0.0055,0.0,DJI_20241217102931_0011_D.JPG,82.83,0.72,1.0,1528,-0.241,0.788,100.63
DEBY_LOD2_108246888,valid,0.47,0.0078,0.0,DJI_20241217084643_0125_D.JPG,29.456,0.802,1.0,31709,0.268,0.202,13.96
DEBY_LOD2_108247349,valid,0.576,0.0044,0.0,DJI_20241217084711_0139_D.JPG,60.954,0.795,1.0,3933,0.296,0.28,101.1
DEBY_LOD2_108247350,valid,0.49,0.0062,0.0,DJI_20241217084725_0146_D.JPG,59.583,0.816,1.0,15191,0.142,0.348,12.14
DEBY_LOD2_108247351,valid,0.549,0.0059,0.0,DJI_20241217084723_0145_D.JPG,60.036,0.805,1.0,12241,0.05,0.499,65.28
DEBY_LOD2_108247714,valid,0.156,0.0162,0.0,DJI_20241217084643_0125_D.JPG,7.848,0.295,1.0,87559,-0.104,0.26,34.27
DEBY_LOD2_108250120,valid,0.546,0.0062,0.0,DJI_20241217090953_0059_D.JPG,20.318,0.611,1.0,127666,-0.134,0.68,46.82
DEBY_LOD2_108580335,valid,0.304,0.0081,0.0011,DJI_20241217091235_0140_D.JPG,9.853,0.752,1.0,162104,0.029,0.275,1020.88
DEBY_LOD2_108580336,valid,0.288,0.0071,0.0,DJI_20241217095545_0055_D.JPG,84.195,0.845,1.0,9505,-0.217,0.505,4799.47
DEBY_LOD2_42364607,valid,0.374,0.0044,0.0,DJI_20241217090905_0035_D.JPG,60.662,0.43,1.0,1637,-0.353,0.727,90.44
DEBY_LOD2_42364609,valid,0.546,0.0062,0.0,DJI_20241217084535_0091_D.JPG,60.337,0.623,1.0,9567,-0.34,0.886,16.45
DEBY_LOD2_42364657,valid,0.382,0.0062,0.0002,DJI_20241217091139_0112_D.JPG,62.051,0.521,1.0,8906,-0.27,0.652,107.3
DEBY_LOD2_42364659,valid,0.522,0.0062,0.0,DJI_20241217091157_0121_D.JPG,3.911,0.264,1.0,112099,0.048,0.474,66.1
DEBY_LOD2_42364661,valid,0.327,0.0078,0.0,DJI_20241217091235_0140_D.JPG,60.679,0.808,1.0,1623,0.176,0.151,58.56
DEBY_LOD2_42364663,valid,0.446,0.0044,0.0,DJI_20241217084727_0147_D.JPG,6.358,0.682,1.0,13716,-0.475,0.921,42.22
DEBY_LOD2_42364665,valid,0.52,0.0044,0.0,DJI_20241217084853_0190_D.JPG,15.641,0.849,1.0,20835,-0.007,0.527,49.28
DEBY_LOD2_42364667,valid,0.567,0.0044,0.0,DJI_20241217084725_0146_D.JPG,13.147,0.676,1.0,24130,0.039,0.528,45.7
DEBY_LOD2_4906965,valid,0.603,0.0028,0.0,DJI_20241217094552_0032_D.JPG,84.86,0.774,1.0,41942,0.05,0.553,2621.25
DEBY_LOD2_4906966,valid,0.537,0.0044,0.0136,DJI_20241217102531_0018_D.JPG,76.677,0.848,1.0,35000,0.228,0.309,1437.02
DEBY_LOD2_4906967,valid,0.444,0.0044,0.0062,DJI_20241217103125_0019_D.JPG,58.68,0.808,1.0,104296,0.078,0.366,2568.09
DEBY_LOD2_4906968,valid,0.768,0.0071,0.0,DJI_20241217101453_0037_D.JPG,77.824,0.792,1.0,9641,0.393,0.375,1781.4
DEBY_LOD2_4906969,valid,0.506,0.0044,0.0001,DJI_20241217084601_0104_D.JPG,11.02,0.52,1.0,103537,-0.043,0.549,173.38
DEBY_LOD2_4906970,valid,0.533,0.002,0.0001,DJI_20241217084615_0111_D.JPG,16.316,0.548,1.0,164163,0.03,0.503,154.49
DEBY_LOD2_4906972,valid,0.125,0.0185,0.001,DJI_20241217084407_0047_D.JPG,7.22,0.594,1.0,103546,0.038,0.087,371.02
DEBY_LOD2_4906973,valid,0.633,0.0044,0.0,DJI_20241217084409_0048_D.JPG,8.11,0.335,1.0,101223,-0.034,0.667,55.3
DEBY_LOD2_4906974,valid,0.38,0.0071,0.0,DJI_20241217084411_0049_D.JPG,5.459,0.519,1.0,74523,-0.087,0.467,315.33
DEBY_LOD2_4906975,valid,0.574,0.0059,0.0085,DJI_20241217100319_0014_D.JPG,71.686,0.558,1.0,36513,-0.127,0.701,1805.66
DEBY_LOD2_4906976,valid,0.311,0.0081,0.0013,DJI_20241217084324_0026_D.JPG,19.213,0.844,1.0,88382,-0.152,0.463,273.08
DEBY_LOD2_4906977,valid,0.727,0.0039,0.0047,DJI_20241217084320_0024_D.JPG,16.331,0.84,1.0,79490,-0.096,0.823,530.77
DEBY_LOD2_4906980,valid,0.576,0.0044,0.0,DJI_20241217084314_0021_D.JPG,8.608,0.34,1.0,80205,0.015,0.561,44.93
DEBY_LOD2_4906981,valid,0.498,0.0059,0.0,DJI_20241217094917_0005_D.JPG,75.228,0.643,1.0,127540,-0.164,0.662,1419.99
DEBY_LOD2_4906982,valid,0.238,0.0111,0.0,DJI_20241217101311_0008_D.JPG,86.391,0.842,1.0,10768,-0.003,0.241,1385.41
DEBY_LOD2_4906983,valid,0.538,0.0044,0.0,DJI_20241217101357_0031_D.JPG,84.532,0.709,1.0,7443,0.211,0.327,932.79
DEBY_LOD2_4906984,valid,0.772,0.0039,0.0,DJI_20241217090817_0011_D.JPG,9.534,0.487,1.0,158245,0.109,0.663,246.43
DEBY_LOD2_4906985,valid,0.254,0.0114,0.0074,DJI_20241217090935_0050_D.JPG,12.092,0.77,1.0,239933,-0.031,0.285,875.8
DEBY_LOD2_4906986,valid,0.541,0.0044,0.0004,DJI_20241217090949_0057_D.JPG,15.403,0.621,1.0,115822,-0.034,0.575,236.23
DEBY_LOD2_4906987,valid,0.381,0.0044,0.0089,DJI_20241217090949_0057_D.JPG,5.843,0.482,1.0,119527,-0.004,0.385,231.48
DEBY_LOD2_4906988,valid,0.335,0.0062,0.0032,DJI_20241217090953_0059_D.JPG,8.661,0.527,1.0,98368,-0.031,0.366,130.99
DEBY_LOD2_4906989,valid,0.308,0.0083,0.0,DJI_20241217101359_0032_D.JPG,86.823,0.707,1.0,15802,0.074,0.234,320.91
DEBY_LOD2_4906990,valid,0.549,0.0044,0.0,DJI_20241217101359_0032_D.JPG,87.696,0.734,1.0,9833,0.197,0.352,292.58
DEBY_LOD2_4906991,valid,0.24,0.0098,0.0022,DJI_20241217090953_0059_D.JPG,15.217,0.628,1.0,116053,-0.157,0.397,167.68
DEBY_LOD2_4906997,valid,0.285,0.0098,0.0,DJI_20241217101602_0018_D.JPG,86.785,0.787,1.0,1527,-0.364,0.649,193.58
DEBY_LOD2_4906998,valid,0.478,0.0044,0.0035,DJI_20241217101552_0013_D.JPG,86.598,0.755,1.0,1698,-0.12,0.598,326.34
DEBY_LOD2_4906999,valid,0.464,0.0044,0.0,DJI_20241217101357_0031_D.JPG,86.833,0.715,1.0,8617,-0.223,0.687,221.16
DEBY_LOD2_4907000,valid,0.705,0.0039,0.0,DJI_20241217101335_0020_D.JPG,86.667,0.453,1.0,1554,0.052,0.653,198.25
DEBY_LOD2_4907011,valid,0.733,0.002,0.0,DJI_20241217102933_0012_D.JPG,85.146,0.781,1.0,1482,0.123,0.61,194.99
DEBY_LOD2_4907012,valid,0.658,0.002,0.0231,DJI_20241217102935_0013_D.JPG,85.683,0.631,1.0,1127,0.033,0.625,51.11
DEBY_LOD2_4907013,valid,0.392,0.002,0.0,DJI_20241217103545_0062_D.JPG,85.794,0.645,1.0,971,-0.207,0.599,116.32
DEBY_LOD2_4907014,valid,0.389,0.0059,0.0075,DJI_20241217103459_0039_D.JPG,85.665,0.641,1.0,671,-0.082,0.471,149.95
DEBY_LOD2_4907015,valid,0.291,0.0098,0.0,DJI_20241217103553_0066_D.JPG,84.873,0.781,1.0,1002,-0.344,0.635,168.43
DEBY_LOD2_4907016,valid,0.585,0.0044,0.0003,DJI_20241217095143_0078_D.JPG,86.714,0.498,1.0,12301,-0.408,0.993,282.21
DEBY_LOD2_4907017,valid,0.625,0.002,0.0,DJI_20241217101335_0020_D.JPG,87.086,0.808,1.0,4138,0.454,0.171,287.67
DEBY_LOD2_4907018,valid,0.846,0.0028,0.0,DJI_20241217101335_0020_D.JPG,87.367,0.671,1.0,3559,0.189,0.657,257.3
DEBY_LOD2_4907019,valid,0.671,0.0059,0.0,DJI_20241217103549_0064_D.JPG,84.752,0.798,1.0,432,-0.03,0.701,206.42
DEBY_LOD2_4907020,valid,0.518,0.0044,0.0,DJI_20241217101357_0031_D.JPG,86.586,0.681,1.0,20036,-0.043,0.561,330.56
DEBY_LOD2_4907021,valid,0.239,0.0106,0.009,DJI_20241217084757_0162_D.JPG,61.739,0.786,1.0,6783,-0.523,0.762,249.03
DEBY_LOD2_4907022,valid,0.706,0.0039,0.0,DJI_20241217095143_0078_D.JPG,86.536,0.477,1.0,2274,0.385,0.321,240.91
DEBY_LOD2_4907023,valid,0.338,0.0071,0.0,DJI_20241217101311_0008_D.JPG,86.488,0.742,1.0,18300,-0.326,0.664,181.23
DEBY_LOD2_4907024,valid,0.806,0.002,0.0,DJI_20241217102531_0018_D.JPG,86.319,0.619,1.0,8330,0.176,0.63,289.03
DEBY_LOD2_4907025,valid,0.604,0.0028,0.003,DJI_20241217102531_0018_D.JPG,85.651,0.583,1.0,30119,0.038,0.566,468.75
DEBY_LOD2_4907026,valid,0.428,0.0059,0.0176,DJI_20241217102531_0018_D.JPG,86.256,0.526,1.0,11573,-0.357,0.785,132.69
DEBY_LOD2_4907027,valid,0.708,0.0039,0.0262,DJI_20241217095143_0078_D.JPG,86.657,0.582,1.0,17263,0.158,0.55,264.34
DEBY_LOD2_4907028,valid,0.708,0.002,0.0856,DJI_20241217103501_0040_D.JPG,84.19,0.722,1.0,1413,0.67,0.038,199.66
DEBY_LOD2_4907029,valid,0.538,0.0055,0.0007,DJI_20241217095143_0078_D.JPG,86.333,0.601,1.0,5693,-0.086,0.624,425.7
DEBY_LOD2_4907030,valid,0.644,0.0039,0.0,DJI_20241217101558_0016_D.JPG,85.964,0.837,1.0,7081,0.363,0.281,177.42
DEBY_LOD2_4907031,valid,0.578,0.0055,0.0,DJI_20241217102931_0011_D.JPG,83.914,0.823,1.0,4553,0.116,0.462,163.72
DEBY_LOD2_4907032,valid,0.519,0.0044,0.0069,DJI_20241217095143_0078_D.JPG,86.139,0.813,1.0,19198,0.314,0.205,375.52
DEBY_LOD2_4907033,valid,0.719,0.0044,0.0,DJI_20241217102931_0011_D.JPG,84.315,0.737,1.0,3575,0.308,0.411,128.95
DEBY_LOD2_4907034,valid,0.497,0.0044,0.007,DJI_20241217095143_0078_D.JPG,86.536,0.801,1.0,18914,0.224,0.273,549.5
DEBY_LOD2_4907035,valid,0.517,0.0044,0.0004,DJI_20241217102937_0014_D.JPG,84.762,0.764,1.0,31515,0.062,0.455,325.26
DEBY_LOD2_4907036,valid,0.549,0.0044,0.0066,DJI_20241217102937_0014_D.JPG,84.245,0.825,1.0,26339,0.163,0.386,187.85
DEBY_LOD2_4907156,valid,0.534,0.0044,0.0,DJI_20241217103611_0075_D.JPG,83.694,0.82,1.0,1291,0.201,0.333,295.44
DEBY_LOD2_4907164,valid,0.364,0.0044,0.0092,DJI_20241217102937_0014_D.JPG,81.551,0.267,1.0,51139,-0.182,0.546,322.77
DEBY_LOD2_4907165,valid,0.523,0.0044,0.0001,DJI_20241217102937_0014_D.JPG,78.026,0.313,1.0,39637,0.083,0.44,262.12
DEBY_LOD2_4907166,valid,0.448,0.0059,0.0148,DJI_20241217102937_0014_D.JPG,81.358,0.114,1.0,51432,0.001,0.447,160.19
DEBY_LOD2_4907167,valid,0.648,0.0044,0.0048,DJI_20241217102937_0014_D.JPG,83.357,0.275,1.0,64389,0.055,0.593,203.19
DEBY_LOD2_4907168,valid,0.574,0.0059,0.0155,DJI_20241217102937_0014_D.JPG,81.713,0.443,1.0,67360,0.002,0.572,207.38
DEBY_LOD2_4907169,valid,0.647,0.0039,0.0393,DJI_20241217102937_0014_D.JPG,83.608,0.684,1.0,25375,0.077,0.57,317.44
DEBY_LOD2_4907170,valid,0.593,0.0039,0.0311,DJI_20241217102937_0014_D.JPG,81.941,0.773,1.0,36201,0.008,0.585,239.91
DEBY_LOD2_4907171,valid,0.583,0.0044,0.0,DJI_20241217101453_0037_D.JPG,82.76,0.848,1.0,10114,0.358,0.225,189.01
DEBY_LOD2_4907172,valid,0.564,0.0044,0.0,DJI_20241217101546_0010_D.JPG,85.134,0.841,1.0,6851,0.189,0.375,165.27
DEBY_LOD2_4907173,valid,0.553,0.0044,0.0,DJI_20241217101558_0016_D.JPG,84.881,0.842,1.0,24525,-0.048,0.601,377.95
DEBY_LOD2_4907174,valid,0.533,0.0044,0.0,DJI_20241217084727_0147_D.JPG,61.575,0.815,1.0,5693,-0.04,0.573,260.43
DEBY_LOD2_4907175,valid,0.444,0.0039,0.0197,DJI_20241217102937_0014_D.JPG,73.137,0.492,1.0,50859,-0.024,0.468,413.89
DEBY_LOD2_4907176,valid,0.498,0.002,0.0465,DJI_20241217102939_0015_D.JPG,72.153,0.639,1.0,52104,0.17,0.328,515.39
DEBY_LOD2_4907177,valid,0.61,0.0044,0.0,DJI_20241217102939_0015_D.JPG,77.315,0.682,1.0,34713,-0.279,0.889,95.57
DEBY_LOD2_4907178,valid,0.503,0.0044,0.0007,DJI_20241217102937_0014_D.JPG,74.25,0.372,1.0,135267,-0.165,0.668,192.96
DEBY_LOD2_4907179,valid,0.476,0.0044,0.0,DJI_20241217102939_0015_D.JPG,75.723,0.753,1.0,170696,-0.339,0.815,160.36
DEBY_LOD2_4907180,valid,0.561,0.0044,0.0,DJI_20241217101453_0037_D.JPG,80.829,0.801,1.0,61837,0.084,0.477,386.11
DEBY_LOD2_4907181,valid,0.514,0.0028,0.0506,DJI_20241217102937_0014_D.JPG,70.157,0.598,1.0,88135,0.27,0.244,190.79
DEBY_LOD2_4907182,valid,0.738,0.0028,0.0,DJI_20241217084711_0139_D.JPG,60.991,0.761,1.0,3405,0.34,0.398,95.0
