building_id,batch,old_class,area_m2,dim_rf_pt_density,n_views_nadir,recon_score_median,frac_views_incidence_le60,roof_lowtex_v5,lowtex_v5_zenith_deg,veto_recovered,label,reason,judge,date,small_flag,elong_flag,bbox_aspect_ratio,isoperimetric,als_points_in_footprint,locator_zenith_deg,low_als_evidence
DEBY_LOD2_108247351,1,미분류,65.28,4.5,0.0,74.873,0.106,0.549,60.036,gs_seed_dense;gs_seed_acmp;raw_acmp,복합(저조도+가림),어두운 방수 멤브레인 + 가림 0.556 최고; 관측점수 충분(74.9)·27° 뷰 존재 = 국지 요인; GS·ACMP 3개 arm 회복(방법 차이 각주),김휘영,2026-07-04,0,0,1.29,1.384,1190.0,27.036,0
DEBY_LOD2_42364607,1,미분류,90.44,0.0,0.0,81.117,0.119,0.374,60.662,,가림,다락층에 파인 발코니 띠 — ALS조차 가장자리(난간)만 찍히고 내부 빔; 가림 근사 0.6; 카메라로는 더욱 불가,김휘영,2026-07-04,0,0,1.538,1.659,233.0,54.548,1
DEBY_LOD2_4906999,1,미분류,221.16,0.0,0.0,1.98,0.348,0.464,86.833,raw_acmp,관측각·커버리지,관측점수 1.98·수직뷰 0; DIM 점이 길바닥 높이에만(지붕 뷰 짝 부재 직접 증거); 기와 재질 멀쩡; ACMP 회복,김휘영,2026-07-03,0,0,1.24,1.448,4046.0,79.76,0
DEBY_LOD2_4907012,1,미분류,51.11,0.0,0.0,0.0,0.316,0.658,85.683,,복합(세장+관측각),폭 4m 세장 통로형 + 관측점수 0.0 — 두 요인 분리 불가,김휘영,2026-07-04,0,0,1.586,1.709,1015.0,78.764,0
DEBY_LOD2_4907014,1,미분류,149.95,0.0,0.0,0.0,0.538,0.389,85.665,,관측각·커버리지,관측점수 0.0·수직뷰 0; 구관찰 반사 근거는 크롭 무효로 소멸; ALS 완전 커버,김휘영,2026-07-03,0,0,1.09,1.285,2927.0,78.308,0
DEBY_LOD2_4907015,1,미분류,168.43,0.0,0.0,0.0,0.494,0.291,84.873,,관측각·커버리지,관측점수 0.0·수직뷰 0; 실체=붉은 기와 경사지붕(무텍스처 근거 소멸); ALS 완전 커버,김휘영,2026-07-03,0,0,1.148,1.304,3279.0,79.477,0
DEBY_LOD2_4907016,2,B_무텍스처,282.21,0.0,0.0,5.989,0.606,0.585,86.714,,관측각·커버리지,관측점수 5.99·수직뷰 0·경사뷰 0.606 — 뷰 짝 기하 나쁨(4907014 동형),김휘영,2026-07-04,0,0,1.335,1.416,5311.0,78.808,0
DEBY_LOD2_4907027,2,미분류,264.34,4.352941,0.0,11.702,0.263,0.708,86.657,,관측각·커버리지,관측점수 11.7(임계 38.9 이하)·DIM 3점,김휘영,2026-07-04,0,0,1.287,1.385,2945.0,74.996,0
DEBY_LOD2_4907032,2,A1_촬영확실,375.52,0.0,0.0,0.0,0.216,0.519,86.139,,관측각·커버리지,관측점수 0.0 — 지붕 뷰 짝 전무,김휘영,2026-07-04,0,0,1.586,1.774,5104.0,72.803,0
DEBY_LOD2_4907034,2,미분류,549.5,0.0,0.0,0.0,0.321,0.497,86.536,,관측각·커버리지,관측점수 0.0·550㎡ 대형인데 뷰 짝 전무·ALS 만점 커버,김휘영,2026-07-04,0,0,1.831,2.264,10495.0,78.87,0
