row_type,building_id,view_stem,image_name,model_name,model_revision,model_code_tree_sha256,weights_sha256,normal_frame,normal_path,normal_sha256,normal_hash_match,fm_plane_source,fm_inside_point_count,fm_plane_ax,fm_plane_by,fm_plane_c,fm_plane_normal_x,fm_plane_normal_y,fm_plane_normal_z,fm_plane_ransac_inlier_count,fm_plane_ransac_inlier_ratio,fm_plane_internal_rms_m,visible_view_count,projected_positive_depth_count,projected_in_frame_count_raw,sampled_unique_pixel_count,finite_normal_count,angle_median_deg_absdot,angle_mad_deg_absdot,angle_q25_deg_absdot,angle_q75_deg_absdot,angle_p90_deg_absdot,within_22p5_count,within_22p5_rate,within_22p5_denominator,cache_reprojection_crosscheck_max_px,summary_aggregation,status,figure_path,footprint_role,pure_fm_fit,originating_pair_endpoint_views_only,gt_lod2_or_als_used,gate_applied,learning_runs_started,new_mononormal_inference_runs,new_mast3r_inference_runs,note
model,ALL,,,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,,,,,835,,,,,,,,,,12,,,1623,1623,13.109687,7.398735,7.044942,42.983694,85.772429,956,0.589033,1623,,pool building-summary building-view pixels across three targets,verified_cache_reuse,docs/figs/e5_c001_s3ap_phase0/mononormal_angle_distribution.png,spatial mask and projected outline only,true,true,false,false,0,0,0,428-view cache complete; 8 unique locked-view files hash-verified; no inference in this run
view,DEBY_LOD2_4907199,DJI_20241217095141_0077_D,DJI_20241217095141_0077_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095141_0077_D.npy,dcda4da676f560e4087c09764e551f2ece6223fcb7244d74e2f7ee6963bbb315,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,0,0,0,0,,,,,,0,,0,0.874709,integer-pixel dedupe within building-view; view row,no_projected_fm_pixels,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_4907199,DJI_20241217095145_0079_D,DJI_20241217095145_0079_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095145_0079_D.npy,80b09cdcdff7a7631dc237ed246c1f31d489768c4a1fcd266879315cf5cf1113,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,0,0,0,0,,,,,,0,,0,0.874709,integer-pixel dedupe within building-view; view row,no_projected_fm_pixels,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_4907199,DJI_20241217095147_0080_D,DJI_20241217095147_0080_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095147_0080_D.npy,f6f1d8f6fea91c75ad69874b99f0dbd9487de2d94e3d0b3896bfe887b84a7ad6,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,0,0,0,0,,,,,,0,,0,0.874709,integer-pixel dedupe within building-view; view row,no_projected_fm_pixels,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_4907199,DJI_20241217095149_0081_D,DJI_20241217095149_0081_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095149_0081_D.npy,e91d8cc86ca1f95edee07dc64a290da604318de12161208a13c91c817c1ed7ca,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,0,0,0,0,,,,,,0,,0,0.874709,integer-pixel dedupe within building-view; view row,no_projected_fm_pixels,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_4907199,DJI_20241217095441_0023_D,DJI_20241217095441_0023_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095441_0023_D.npy,688cb46b9339bff3dd095b3047e18ac399a528a8951736c27728ea0dd08b788f,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,373,373,359,359,9.802148,3.297697,7.803822,78.717338,88.970908,244,0.679666,359,0.874709,integer-pixel dedupe within building-view; view row,measured,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_4907199,DJI_20241217095531_0048_D,DJI_20241217095531_0048_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217095531_0048_D.npy,d52a6ea766ee1374e1e2d5419e9ded802816a00f055fd9d7ace62975ff550302,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,373,373,355,355,9.838238,4.404474,6.571588,84.854671,87.422208,216,0.608451,355,0.874709,integer-pixel dedupe within building-view; view row,measured,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
building_summary,DEBY_LOD2_4907199,,,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,,,,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,373,0.016043,0.001028,-31.860301,-0.016041,-0.001028,0.999871,273,0.731903,0.047259,6,746,746,714,714,9.805431,4.163171,7.288393,84.643533,88.444190,460,0.644258,714,0.874709,"pool unique pixels within each originating building-view endpoint, then concatenate building-view samples; the same pair point may contribute once at each of its two endpoint views; locked visible views with no originating eligible-pair points have denominator zero",measured,docs/figs/e5_c001_s3ap_phase0/mononormal_4907199_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,22.5-degree denominator is the sum of finite unique integer pixels over locked visible views
view,DEBY_LOD2_8568391,DJI_20241217084901_0194_D,DJI_20241217084901_0194_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084901_0194_D.npy,ea66413e98f3013b588e468a356d5047deba4f4bce9ec46188c2e36bb004be8d,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,456,0.002614,-0.017164,-41.034060,-0.002614,0.017161,0.999849,453,0.993421,0.056422,3,256,256,252,252,45.042023,4.377941,37.246598,48.441259,50.257662,24,0.095238,252,1.977806,integer-pixel dedupe within building-view; view row,measured,docs/figs/e5_c001_s3ap_phase0/mononormal_8568391_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
view,DEBY_LOD2_8568391,DJI_20241217084903_0195_D,DJI_20241217084903_0195_D.JPG,surface_normal_dpt_hybrid_384,152cf1465313b68cdf5d47bb09568a9357c57086,06f8f1b55b1dde682c94c25f6ef384d4a66fe18a343fb492ffc5480dae32d334,1af4506385ef4c828af559309ec89428833c005d7ecbcf921c4b12f84c2f62df,world,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084903_0195_D.npy,5a809973a29f5f43e8f5167c1499a2cb722107238ccda9ade456742ae2729ac6,true,GT-free robust plane refit on every pooled footprint-inside cached DLT survivor,456,0.002614,-0.017164,-41.034060,-0.002614,0.017161,0.999849,453,0.993421,0.056422,3,200,200,195,195,31.011552,5.594890,25.731668,36.815207,42.530587,41,0.210256,195,1.977806,integer-pixel dedupe within building-view; view row,measured,docs/figs/e5_c001_s3ap_phase0/mononormal_8568391_overlay.png,spatial mask and projected outline only,true,true,false,false,0,0,0,originating pair endpoint source pixels only; fixed-COLMAP DLT reprojection cross-checked; abs-dot handles unoriented normal sign
