building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,occlusion_frac_approx
DEBY_LOD2_104583447,6.08,4,5,11.0,246.8,257.8,17.99,0.77,62.76,0.382,1.0,236.438,233.445,0.03,0.04,0.0,0.504,0.444
DEBY_LOD2_104583794,6.39,4,6,0.0,252.5,252.5,22.83,0.768,62.58,0.302,1.0,152.354,137.311,0.09,0.0224,0.0,0.585,0.556
DEBY_LOD2_104586480,14.77,4,14,35.21,345.21,380.43,16.6,0.722,48.96,0.625,1.0,244.018,243.422,0.01,0.0729,0.0,0.213,1.0
DEBY_LOD2_107802038,388.48,10,386,0.0,143.88,143.88,14.07,0.648,78.79,0.118,1.0,29.427,27.409,0.095,0.0214,0.0767,0.351,0.5
DEBY_LOD2_107807336,100.63,4,100,0.0,138.82,138.82,11.58,0.561,77.59,0.098,1.0,9.891,8.804,0.048,0.0314,0.0009,0.402,0.75
DEBY_LOD2_108246888,13.96,4,17,2.47,199.65,202.12,20.82,0.758,64.58,0.442,1.0,168.503,52.609,0.005,0.1077,0.0,0.462,0.5
DEBY_LOD2_108247349,101.1,7,100,0.0,251.27,251.27,26.37,0.779,64.29,0.33,1.0,117.775,98.602,0.019,0.0696,0.0294,0.083,0.333
DEBY_LOD2_108247350,12.14,7,12,0.58,261.0,261.58,23.42,0.832,60.92,0.405,1.0,163.486,159.63,0.063,0.0273,0.0,0.21,0.625
DEBY_LOD2_108247351,65.28,6,64,0.22,260.58,260.8,21.07,0.824,61.42,0.382,1.0,166.033,160.429,0.174,0.0137,0.0007,0.26,0.556
DEBY_LOD2_108247714,34.27,6,34,11.29,231.76,243.06,18.55,0.759,53.84,0.542,1.0,223.758,216.528,0.008,0.08,0.0,0.664,0.625
DEBY_LOD2_108250120,46.82,5,47,10.85,153.0,163.85,19.64,0.783,65.25,0.303,1.0,218.922,216.189,0.223,0.0124,0.0,0.762,1.0
DEBY_LOD2_108580335,1020.88,30,400,12.36,197.26,209.63,22.96,0.843,67.13,0.321,1.0,224.015,216.877,0.023,0.0562,0.0052,0.374,0.0
DEBY_LOD2_108580336,4799.47,45,400,11.82,327.63,339.45,25.2,0.876,62.45,0.377,1.0,213.522,199.028,0.054,0.0306,0.0095,0.415,0.0
DEBY_LOD2_42364607,90.44,4,89,0.0,252.56,252.56,16.3,0.705,62.59,0.316,1.0,180.588,169.098,0.151,0.0158,0.0,0.604,0.6
DEBY_LOD2_42364609,16.45,4,16,2.56,273.62,276.19,14.35,0.676,60.47,0.462,1.0,207.891,201.304,0.22,0.0124,0.0,0.707,0.615
DEBY_LOD2_42364657,107.3,9,106,0.0,159.08,159.08,30.77,0.805,73.98,0.203,1.0,119.34,109.159,0.077,0.0232,0.0057,0.623,0.667
DEBY_LOD2_42364659,66.1,9,66,22.11,186.95,209.06,19.3,0.77,68.93,0.356,1.0,233.647,229.844,0.022,0.0496,0.0,0.507,1.0
DEBY_LOD2_42364661,58.56,4,58,0.0,150.05,150.05,18.96,0.747,66.66,0.25,1.0,160.075,158.413,0.031,0.0894,0.0347,0.37,1.0
DEBY_LOD2_42364663,42.22,6,42,12.36,341.05,353.4,23.83,0.836,58.8,0.542,1.0,223.891,221.606,0.224,0.0123,0.0,0.764,0.125
DEBY_LOD2_42364665,49.28,6,48,20.42,327.12,347.54,22.71,0.787,54.51,0.588,1.0,235.927,233.595,0.046,0.0309,0.0,0.706,1.0
DEBY_LOD2_42364667,45.7,6,44,20.84,320.07,340.91,21.77,0.771,59.46,0.521,1.0,236.767,234.571,0.043,0.0329,0.0,0.584,0.25
DEBY_LOD2_4906965,2621.25,158,400,17.17,274.58,291.75,17.34,0.701,61.04,0.483,1.0,214.682,182.023,0.063,0.0265,0.001,0.372,0.0
DEBY_LOD2_4906966,1437.02,52,400,11.27,307.92,319.19,21.11,0.738,57.69,0.551,1.0,228.689,190.1,0.011,0.0683,0.0332,0.5,0.0
DEBY_LOD2_4906967,2568.09,30,400,18.6,354.64,373.25,20.03,0.793,57.43,0.555,1.0,233.548,196.498,0.057,0.0357,0.0462,0.427,0.0
DEBY_LOD2_4906968,1781.4,14,400,9.79,339.92,349.71,22.21,0.781,60.95,0.474,1.0,218.363,204.502,0.031,0.0357,0.0096,0.827,0.0
DEBY_LOD2_4906969,173.38,29,356,15.26,390.79,406.05,23.09,0.853,56.48,0.658,1.0,226.757,223.54,0.049,0.0305,0.0,0.353,1.0
DEBY_LOD2_4906970,154.49,6,219,23.24,272.45,295.68,19.23,0.759,58.17,0.549,1.0,175.277,143.828,0.09,0.0214,0.0337,0.534,0.0
DEBY_LOD2_4906972,371.02,20,400,21.99,259.76,281.75,19.85,0.8,56.1,0.571,1.0,228.196,179.997,0.004,0.1695,0.0146,0.628,0.0
DEBY_LOD2_4906973,55.3,6,54,25.31,314.5,339.81,19.36,0.722,58.36,0.549,1.0,242.704,241.553,0.044,0.0337,0.0,0.656,1.0
DEBY_LOD2_4906974,315.33,13,329,18.86,326.29,345.15,20.06,0.777,57.78,0.576,1.0,241.474,226.942,0.035,0.0375,0.0,0.329,0.667
DEBY_LOD2_4906975,1805.66,62,400,13.26,377.81,391.07,22.72,0.844,56.61,0.611,1.0,225.616,220.954,0.092,0.021,0.0,0.69,0.0
DEBY_LOD2_4906976,273.08,33,355,16.37,264.17,280.54,18.62,0.823,66.82,0.406,1.0,231.498,167.116,0.027,0.0417,0.0002,0.47,0.5
DEBY_LOD2_4906977,530.77,10,400,10.87,283.18,294.04,23.7,0.844,58.19,0.578,1.0,215.433,209.09,0.089,0.0214,0.0,0.562,0.0
DEBY_LOD2_4906980,44.93,5,43,18.63,318.58,337.21,22.16,0.776,60.57,0.465,1.0,233.302,231.701,0.031,0.04,0.0,0.595,1.0
DEBY_LOD2_4906981,1419.99,14,400,7.06,269.31,276.37,24.77,0.824,60.15,0.498,1.0,211.419,172.329,0.048,0.0295,0.0,0.266,0.0
DEBY_LOD2_4906982,1385.41,64,400,27.61,218.96,246.57,16.25,0.727,60.48,0.481,1.0,244.21,239.373,0.024,0.0667,0.0052,0.327,0.0
DEBY_LOD2_4906983,932.79,6,400,9.68,165.09,174.77,22.14,0.802,60.77,0.46,1.0,219.6,206.153,0.011,0.0625,0.0,0.134,0.0
DEBY_LOD2_4906984,246.43,4,243,16.09,169.56,185.65,22.0,0.822,61.12,0.466,1.0,223.161,219.198,0.051,0.029,0.0,0.568,1.0
DEBY_LOD2_4906985,875.8,8,400,11.22,170.45,181.68,25.27,0.868,62.57,0.429,1.0,214.319,209.716,0.01,0.075,0.0038,0.426,0.0
DEBY_LOD2_4906986,236.23,16,244,14.85,151.59,166.44,21.57,0.787,68.03,0.319,1.0,224.119,219.93,0.086,0.0223,0.0388,0.489,0.333
DEBY_LOD2_4906987,231.48,9,235,13.75,148.97,162.72,20.6,0.774,69.42,0.373,1.0,231.821,220.433,0.036,0.0385,0.0,0.319,0.0
DEBY_LOD2_4906988,130.99,5,130,9.76,152.76,162.52,18.39,0.753,67.49,0.36,1.0,235.769,228.61,0.023,0.0477,0.0,0.603,0.333
DEBY_LOD2_4906989,320.91,11,398,5.0,149.07,154.07,25.74,0.722,67.69,0.391,1.0,103.054,87.019,0.019,0.072,0.003,0.349,0.0
DEBY_LOD2_4906990,292.58,8,329,1.06,136.87,137.93,29.19,0.726,77.29,0.245,1.0,128.543,66.495,0.044,0.0415,0.028,0.531,0.0
DEBY_LOD2_4906991,167.68,9,165,8.3,150.41,158.71,19.66,0.774,66.72,0.202,1.0,213.428,207.476,0.034,0.0398,0.0113,0.581,0.5
DEBY_LOD2_4906997,193.58,11,226,0.02,137.78,137.8,24.06,0.758,74.16,0.281,1.0,92.323,54.648,0.093,0.0211,0.002,0.356,0.0
DEBY_LOD2_4906998,326.34,10,386,1.06,139.2,140.26,23.66,0.597,60.5,0.497,1.0,71.647,23.347,0.136,0.0151,0.0387,0.512,0.0
