building_id,angle_bin,view_nadir_deg,tan_nadir,frame_r,view,zeta_m,n_als_inframe,als_off_px,als_off_m,als_dx_px,als_dy_px,als_sigma_px,als_conf_z,lod2_off_px,lod2_off_m,lod2_dx_px,lod2_dy_px,lod2_sigma_px,lod2_conf_z
DEBY_LOD2_4906972,near,8.598,0.151203,0.746,DJI_20241217084401_0044_D.JPG,48.125535,12270,39.395,0.6144,-16.0,-36.0,156.854,5.377,67.052,1.0457,64.0,20.0,154.71,5.593
DEBY_LOD2_4906972,mid,32.579,0.639021,1.292,DJI_20241217084617_0112_D.JPG,48.125535,10678,171.02,3.064,168.0,-32.0,160.691,4.791,205.407,3.6666,-204.0,24.0,128.698,7.89
DEBY_LOD2_4906972,strong,63.202,1.979844,0.778,DJI_20241217103439_0029_D.JPG,48.125535,12270,284.788,9.2774,140.0,248.0,143.731,4.751,86.533,2.2253,-72.0,48.0,154.62,3.297
DEBY_LOD2_4907520,near,7.658,0.134454,0.594,DJI_20241217084342_0035_D.JPG,48.125535,5613,43.267,0.6893,-24.0,36.0,160.671,6.028,20.396,0.3252,-4.0,20.0,134.7,7.925
DEBY_LOD2_4907520,mid,32.193,0.629571,1.206,DJI_20241217084403_0045_D.JPG,48.125535,5613,134.104,2.2394,-40.0,128.0,167.825,6.004,75.472,1.3795,-64.0,-40.0,100.035,10.698
DEBY_LOD2_4907520,strong,52.842,1.319448,1.053,DJI_20241217101801_0018_D.JPG,48.125535,5281,304.972,3.4194,292.0,88.0,160.165,4.486,166.373,2.3716,76.0,148.0,151.258,4.051
DEBY_LOD2_4959327,near,14.173,0.252538,0.817,DJI_20241217091011_0068_D.JPG,48.125535,7975,273.876,4.4608,272.0,32.0,150.471,5.652,269.904,4.3911,-268.0,32.0,169.291,3.977
DEBY_LOD2_4959327,mid,31.109,0.603461,1.277,DJI_20241217091149_0117_D.JPG,48.125535,7959,84.095,1.526,76.0,36.0,147.081,5.994,39.395,0.6589,-16.0,36.0,136.838,7.252
DEBY_LOD2_4959327,strong,57.144,1.548364,1.419,DJI_20241217091237_0141_D.JPG,48.125535,5842,393.162,3.8928,-280.0,-276.0,170.272,4.681,297.214,9.8139,-144.0,260.0,154.586,3.943
DEBY_LOD2_4906985,near,15.271,0.273016,0.794,DJI_20241217090935_0050_D.JPG,48.125535,11106,152.315,2.2119,-36.0,-148.0,148.34,4.814,89.889,1.3203,84.0,-32.0,140.061,6.506
DEBY_LOD2_4906985,mid,31.211,0.605874,1.311,DJI_20241217090813_0009_D.JPG,48.125535,8407,253.14,4.132,-252.0,-24.0,152.685,5.269,53.666,0.8367,48.0,-24.0,151.978,6.291
DEBY_LOD2_4906985,strong,55.274,1.442804,1.181,DJI_20241217084811_0169_D.JPG,48.125535,4991,359.489,7.9826,-244.0,264.0,152.248,4.348,376.276,8.284,-272.0,260.0,95.93,1.861
DEBY_LOD2_4959460,near,7.275,0.127655,1.39,DJI_20241217091043_0084_D.JPG,48.125535,51232,105.224,1.6699,104.0,-16.0,172.757,2.988,262.084,4.1555,252.0,72.0,182.696,3.286
DEBY_LOD2_4959460,mid,32.05,0.626087,1.369,DJI_20241217091037_0081_D.JPG,48.125535,57527,255.155,4.2656,-248.0,60.0,186.532,4.103,280.371,4.689,-272.0,68.0,181.896,3.396
DEBY_LOD2_4959460,strong,77.712,4.591205,1.255,DJI_20241217095907_0038_D.JPG,48.125535,97254,216.518,10.0727,-212.0,-44.0,146.992,5.52,63.246,7.5291,36.0,-52.0,140.561,7.82
DEBY_LOD2_4907184,near,15.853,0.283973,1.421,DJI_20241217095607_0066_D.JPG,48.125535,3350,304.026,1.8605,-256.0,-164.0,166.075,4.948,298.074,1.826,-228.0,-192.0,134.803,3.615
DEBY_LOD2_4907184,mid,32.083,0.62689,1.27,DJI_20241217084845_0186_D.JPG,48.125535,9062,128.996,2.253,-64.0,112.0,168.598,5.583,113.208,1.9785,-96.0,60.0,139.193,6.275
DEBY_LOD2_4907184,strong,57.482,1.568609,1.325,DJI_20241217084711_0139_D.JPG,48.125535,7595,267.402,5.0307,-152.0,-220.0,164.205,3.746,226.874,4.1622,-224.0,36.0,170.054,5.013
DEBY_LOD2_4906966,near,7.987,0.140309,1.336,DJI_20241217084853_0190_D.JPG,48.125535,26988,28.284,0.411,4.0,-28.0,138.903,5.483,128.996,1.8742,-16.0,-128.0,100.894,7.632
DEBY_LOD2_4906966,mid,31.234,0.606431,1.382,DJI_20241217103053_0003_D.JPG,48.125535,24406,215.407,2.0449,200.0,80.0,161.588,5.159,116.0,1.2415,-84.0,80.0,140.158,4.772
DEBY_LOD2_4906966,strong,78.596,4.957714,0.862,DJI_20241217103553_0066_D.JPG,48.125535,38724,227.192,16.8368,204.0,100.0,173.222,7.458,309.864,32.9872,-240.0,196.0,156.134,4.803
DEBY_LOD2_4906982,near,7.104,0.12462,1.095,DJI_20241217090829_0017_D.JPG,48.125535,16114,356.561,4.9995,-244.0,-260.0,173.13,4.211,354.107,4.9649,-264.0,-236.0,171.231,3.446
DEBY_LOD2_4906982,mid,28.752,0.548664,1.156,DJI_20241217084755_0161_D.JPG,48.125535,15658,269.072,3.9559,-180.0,200.0,166.215,4.555,182.428,2.6292,-48.0,176.0,160.624,5.12
DEBY_LOD2_4906982,strong,60.909,1.797319,1.418,DJI_20241217091053_0089_D.JPG,48.125535,10501,263.879,678.2535,64.0,-256.0,164.988,5.193,,,,,,
