condition_id,cell_m,window_radius_cells,window_radius_m,passes,building_count,has_lod22_count,val3dity_valid_count,rms_measurable_count,roof_rms_min_m,roof_rms_p25_m,roof_rms_median_m,roof_rms_p75_m,roof_rms_max_m,completeness_measurable_count,roof_completeness_min,roof_completeness_p25,roof_completeness_median,roof_completeness_p75,roof_completeness_max,face_ratio_measurable_count,face_count_ratio_median,median_building_median_abs_point_dz_m,learning_runs_started,new_inference_runs
cell025_win1_pass1,0.250000000,1,0.250000000,1,18,10,18,10,0.186856346,0.394811905,0.964164647,1.602040232,2.023548050,18,0.000000000,0.000000000,0.459844528,0.999828894,0.999974613,18,0.500000000,0.020000000,0,0
cell025_win1_pass2,0.250000000,1,0.250000000,2,18,9,18,9,0.186988412,0.372645790,1.351582230,2.904219147,3.659510408,18,0.000000000,0.000000000,0.011860303,0.999816209,0.999966991,18,0.125000000,0.020000000,0,0
cell025_win2_pass1,0.250000000,2,0.500000000,1,18,9,17,9,0.187773137,0.417924239,1.324468626,2.907184254,4.026842348,18,0.000000000,0.000000000,0.009808141,0.999822905,0.999972126,18,0.125000000,0.030000000,0,0
cell025_win2_pass2,0.250000000,2,0.500000000,2,18,9,18,9,0.176499935,0.506618305,1.292456589,2.869238860,3.845314292,18,0.000000000,0.000000000,0.009801516,0.999879791,0.999950903,18,0.125000000,0.040000000,0,0
cell025_win3_pass1,0.250000000,3,0.750000000,1,18,9,17,9,0.183939212,0.380608192,1.419264738,2.941682503,3.929886076,18,0.000000000,0.000000000,0.014989415,0.999833135,0.999956705,18,0.250000000,0.040000000,0,0
cell025_win3_pass2,0.250000000,3,0.750000000,2,18,9,18,9,0.174365208,0.462775380,1.468697110,2.743157336,3.888742958,18,0.000000000,0.000000000,0.014053013,0.999880754,0.999971487,18,0.250000000,0.060000000,0,0
cell050_win1_pass1,0.500000000,1,0.500000000,1,18,9,18,9,0.149817270,0.367695079,0.520472874,2.857845773,3.883038759,18,0.000000000,0.000000000,0.003517528,0.999881323,0.999955458,18,0.125000000,0.040000000,0,0
cell050_win1_pass2,0.500000000,1,0.500000000,2,18,9,18,9,0.174514048,0.554408963,1.318681047,2.869841519,3.884507961,18,0.000000000,0.000000000,0.009981509,0.999885804,0.999955019,18,0.125000000,0.050000000,0,0
cell050_win2_pass1,0.500000000,2,1.000000000,1,18,8,18,8,0.170495460,0.444773629,0.609091618,1.800085353,3.083186612,18,0.000000000,0.000000000,0.000000000,0.999855889,0.999982470,18,0.000000000,0.060000000,0,0
cell050_win2_pass2,0.500000000,2,1.000000000,2,18,9,18,9,0.160203598,0.549203720,1.085332280,1.560099977,3.135690591,18,0.000000000,0.000000000,0.028389914,0.999021476,0.999969686,18,0.250000000,0.060000000,0,0
cell050_win3_pass1,0.500000000,3,1.500000000,1,18,9,18,9,0.157793320,0.593068921,0.681644165,1.649016179,3.394889450,18,0.000000000,0.000000000,0.023336377,0.993258325,0.999936658,18,0.250000000,0.080000000,0,0
cell050_win3_pass2,0.500000000,3,1.500000000,2,18,9,18,9,0.159310994,0.584831997,0.641584337,1.525691377,2.632821505,18,0.000000000,0.000000000,0.016290878,0.998298621,0.999948991,18,0.250000000,0.080000000,0,0
cell100_win1_pass1,1.000000000,1,1.000000000,1,18,9,18,9,0.165870756,0.475093038,1.083930697,1.455615541,3.429474564,18,0.000000000,0.000000000,0.019970586,0.999810861,0.999945859,18,0.250000000,0.070000000,0,0
cell100_win1_pass2,1.000000000,1,1.000000000,2,18,9,18,9,0.161796534,0.589732550,0.726909268,1.667303362,3.091339760,18,0.000000000,0.000000000,0.022971145,0.999857645,0.999952166,18,0.250000000,0.080000000,0,0
cell100_win2_pass1,1.000000000,2,2.000000000,1,18,9,18,9,0.109156208,0.580689752,0.733959364,1.720657837,2.790550335,18,0.000000000,0.000000000,0.019655330,0.999859274,0.999962481,18,0.125000000,0.080000000,0,0
cell100_win2_pass2,1.000000000,2,2.000000000,2,18,9,18,9,0.106425361,0.460045065,0.667442267,1.529918074,3.321707137,18,0.000000000,0.000000000,0.003239401,0.999854019,0.999968599,18,0.125000000,0.095000000,0,0
cell100_win3_pass1,1.000000000,3,3.000000000,1,18,9,18,9,0.167115641,0.594257160,0.730392214,1.509360225,2.510804445,18,0.000000000,0.000000000,0.029569976,0.999857643,0.999960456,18,0.125000000,0.100000000,0,0
cell100_win3_pass2,1.000000000,3,3.000000000,2,18,9,18,9,0.139007037,0.448019709,1.421469930,1.682363204,2.996685077,18,0.000000000,0.000000000,0.020887852,0.999880840,0.999941436,18,0.125000000,0.110000000,0,0
