building_id,panel_column,model_id,z_shift_to_reference_m,stored_roof_rms_m,recomputed_roof_rms_m,delta_roof_rms_m,stored_roof_hausdorff_m,recomputed_roof_hausdorff_m,delta_roof_hausdorff_m,stored_roof_distance_samples,recomputed_roof_distance_samples,max_unlimited_grid_samples_per_model_surface,sample_spacing_m,sample_limit_per_model_surface,direction,distance_component,reference_selection,learning_runs_started,new_inference_runs
DEBY_LOD2_4907184,reference,reference_lod2,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1353,1353,531,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907184,dense_w2_1,canonical_dense_w2_1,0.000000000,0.354716522,0.354716522,-0.000000000,2.638333513,2.638333513,-0.000000000,1348,1348,496,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907184,gs_fixed,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,-48.165000000,2.244420567,2.244420567,-0.000000000,2.651652763,2.651652763,0.000000000,1348,1348,493,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907184,gs_oracle,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,-45.934000000,0.224870139,0.224870139,0.000000000,0.530460782,0.530460782,0.000000000,1347,1347,492,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4908168,reference,reference_lod2,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,114,114,114,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4908168,dense_w2_1,canonical_dense_w2_1,0.000000000,0.178913202,0.178913202,-0.000000000,0.442979418,0.442979418,0.000000000,114,114,114,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4908168,gs_fixed,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,-48.165000000,2.667848842,2.667848842,0.000000000,3.241456064,3.241456064,-0.000000000,114,114,114,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4908168,gs_oracle,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,-45.934000000,0.303239953,0.303239953,-0.000000000,0.543754976,0.543754976,-0.000000000,24,24,17,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907188,reference,reference_lod2,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,662,662,333,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907188,dense_w2_1,canonical_dense_w2_1,0.000000000,1.354221199,1.354221199,-0.000000000,4.138715144,4.138715144,-0.000000000,664,664,463,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907188,gs_fixed,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,-48.165000000,10.524704456,10.524704456,0.000000000,19.555005138,19.555005138,0.000000000,664,664,664,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
DEBY_LOD2_4907188,gs_oracle,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r2:run_1,-48.165000000,1.555996338,1.555996338,-0.000000000,3.954383901,3.954383901,-0.000000000,664,664,664,0.500000000,1200,model_to_reference_one_way,absolute_vertical_z_difference,covering reference roof with closest z; nearest XY reference roof when none covers,0,0
