building_id,population_role,gs_total_count,gs_valid_count,gs_lod2_count,oracle_model_id,oracle_wave,oracle_arm,oracle_run,oracle_roof_rms_m,oracle_selection_scope,learning_runs_started
DEBY_LOD2_108247349,gs_only_lod2,150,145,14,e5p_readout_ablation_20260708_C001:sor_weak:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,19.801748806,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_108247350,gs_only_lod2,150,146,32,e5p_readout_ablation_20260708_C001:relaxed:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,12.827580074,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_108247351,gs_only_lod2,150,128,40,e5p_readout_ablation_20260708_C001:minobs2:gs_e5_C001_dense_r2:run_1,e5p_readout_ablation_20260708_C001,dense,r2,10.623386644,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907184,dense_success,150,75,122,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,e5p_3b_s1_20260708_C001,sparse,r1,0.224870139,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907185,dense_success,150,117,122,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,1.540957752,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907186,dense_success,150,120,110,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001:base:gs_e5_C001_s2_arm2_dense_r2:run_1,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001,arm2,r2,1.062288628,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907188,dense_success,150,43,106,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r2:run_1,e5p_readout_ablation_20260708_C001,acmp,r2,1.555996338,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907194,gs_only_lod2,150,116,88,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_dense_r1:run_1,e5p_readout_ablation_20260708_C001,dense,r1,1.605799117,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907195,dense_success,150,124,118,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,0.292445814,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907198,dense_success,150,116,122,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,1.111590781,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907199,gs_only_lod2,164,126,27,e5p_readout_ablation_20260708_C001:minobs1:gs_e5_C001_acmp_r2:run_1,e5p_readout_ablation_20260708_C001,acmp,r2,4.608112514,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4907202,dense_success,150,83,83,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_dense_r1:run_1,e5p_3b_s1_20260708_C001,dense,r1,0.506698629,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4908168,dense_success,150,129,40,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,e5p_3b_s1_20260708_C001,sparse,r1,0.303239953,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4908178,dense_success,150,98,89,e5p_readout_ablation_20260708_C001:voxel03:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,0.314863593,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_4908179,gs_only_lod2,150,143,10,e5p_readout_ablation_20260708_C001:minobs1:gs_e5_C001_dense_r1:run_1,e5p_readout_ablation_20260708_C001,dense,r1,32.253479102,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_60098,dense_success,150,114,113,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,1.250433397,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_8568391,gs_only_lod2,163,125,54,s3ap_phase3:gs_e5_C001_s3ap_b8568391_a1_dz_m1_r1,s3ap_phase3,a1,r1,0.113506309,per_building_oracle_upper_bound_not_fixed_condition,0
DEBY_LOD2_8568392,gs_only_lod2,164,143,15,s3ap_phase3:gs_e5_C001_s3ap_b8568392_a2_r2,s3ap_phase3,a2,r2,0.568131508,per_building_oracle_upper_bound_not_fixed_condition,0
