model_id,role,wave,arm,run,setting,lineage,building_id,status,status_reason,rf_extrusion_mode,has_lod22,lod1_fallback,val3dity_valid,roof_face_count_model,roof_face_count_ref,face_count_ratio,roof_rms_m,roof_hausdorff_m,roof_distance_samples,status_rf_rmse_lod22,point_metric_arm,point_count_footprint,point_density_m2,point_coverage_frac,point_hole_frac,point_local_plane_rms_m,point_metric_source,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,cityjson_path,cityjson_sha256,status_path,z_shift_to_reference_m,xy_alignment,xy_overlap_ratio,gt_role,learning_runs_started
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247349,failure,missing_roofer_output,,false,false,false,0,1,0.000000000,,,0,,raw_lidar,2166,21.423771,1.000000,0.000000,0.185911,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,low,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247350,success,success,standard,true,false,true,1,1,1.000000000,0.007333393,0.014964044,48,4.064362,raw_lidar,168,13.841914,0.958333,0.041667,0.171617,docs/pointcloud_attributes_v1_3.csv,lowtex_mid,mid,low,low,복합(소형+가림),phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247351,success,success,standard,true,false,true,2,1,2.000000000,1.052399290,2.994200443,262,1.630903,raw_lidar,1204,18.444051,1.000000,0.000000,0.174076,docs/pointcloud_attributes_v1_3.csv,복합(저조도+가림),mid,low,low,복합(저조도+가림),phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907184,failure,val3dity_invalid,standard,true,false,false,7,4,1.750000000,3.008492769,20.247636251,1357,1.741510,raw_lidar,7199,21.307418,0.997041,0.002959,0.157666,docs/pointcloud_attributes_v1_3.csv,not_reviewed,high,high,high,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907185,success,success,standard,true,false,true,4,2,2.000000000,0.267703666,1.810227986,643,2.419801,raw_lidar,3360,20.871968,1.000000,0.000000,0.197937,docs/pointcloud_attributes_v1_3.csv,not_reviewed,high,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907186,success,success,standard,true,false,true,5,2,2.500000000,0.407042625,2.055390299,675,2.456527,raw_lidar,3460,20.615812,0.998514,0.001486,0.178870,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907188,success,success,standard,true,false,true,4,2,2.000000000,0.173617451,1.751659288,662,1.870052,raw_lidar,3289,19.827198,1.000000,0.000000,0.156529,docs/pointcloud_attributes_v1_3.csv,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907194,failure,missing_roofer_output,,false,false,false,0,2,0.000000000,,,0,,raw_lidar,4289,20.161788,0.997647,0.002353,0.165119,docs/pointcloud_attributes_v1_3.csv,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907195,success,success,standard,true,false,true,3,2,1.500000000,0.251183004,1.570563431,711,3.318329,raw_lidar,3902,21.941256,1.000000,0.000000,0.178596,docs/pointcloud_attributes_v1_3.csv,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907198,success,success,standard,true,false,true,4,4,1.000000000,0.185857192,1.029860253,1437,2.183391,raw_lidar,7343,20.408597,1.000000,0.000000,0.133809,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,high,high,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
