scope,stratum,model,n_buildings,lod2_count,val3dity_valid_count,lod1_fallback_count,median_face_count_ratio,median_roof_rms_m,learning_runs_started
population,all_c001,dense,18,10,15,0,0.375000000,0.989554664,0
population,all_c001,gs_best,18,14,18,2,1.000000000,1.181012089,0
population,all_c001,als,18,15,14,0,1.250000000,0.251183004,0
population,dense_success,dense,10,10,10,0,1.250000000,0.989554664,0
population,dense_success,gs_best,10,10,10,0,0.750000000,0.784493628,0
population,dense_success,als,10,10,9,0,1.875000000,0.337373145,0
texture_lens,lowtex_high,dense,1,0,1,0,0.000000000,,0
texture_lens,lowtex_high,gs_best,1,0,1,1,1.000000000,0.568131508,0
texture_lens,lowtex_mid,dense,1,0,1,0,0.000000000,,0
texture_lens,lowtex_mid,gs_best,1,1,1,0,1.000000000,12.827580074,0
texture_lens,not_reviewed,dense,13,10,10,0,1.000000000,0.989554664,0
texture_lens,not_reviewed,gs_best,13,12,13,0,1.000000000,1.111590781,0
texture_lens,무텍스처,dense,2,0,2,0,0.000000000,,0
texture_lens,무텍스처,gs_best,2,1,2,1,1.500000000,2.360809412,0
texture_lens,복합(저조도+가림),dense,1,0,1,0,0.000000000,,0
texture_lens,복합(저조도+가림),gs_best,1,0,1,0,1.000000000,10.623386644,0
observation_lens,high,dense,3,3,3,0,1.500000000,0.354716522,0
observation_lens,high,gs_best,3,3,3,0,1.500000000,0.303239953,0
observation_lens,low,dense,4,3,3,0,0.750000000,0.624888129,0
observation_lens,low,gs_best,4,4,4,0,0.500000000,0.935429965,0
observation_lens,mid,dense,11,4,9,0,0.000000000,2.559712222,0
observation_lens,mid,gs_best,11,7,11,2,1.000000000,1.250433397,0
label_lens,none,dense,13,10,10,0,1.000000000,0.989554664,0
label_lens,none,gs_best,13,12,13,0,1.000000000,1.111590781,0
label_lens,무텍스처,dense,2,0,2,0,0.000000000,,0
label_lens,무텍스처,gs_best,2,1,2,1,1.500000000,2.360809412,0
label_lens,복합(소형+가림),dense,1,0,1,0,0.000000000,,0
label_lens,복합(소형+가림),gs_best,1,1,1,0,1.000000000,12.827580074,0
label_lens,복합(소형+재질),dense,1,0,1,0,0.000000000,,0
label_lens,복합(소형+재질),gs_best,1,0,1,1,1.000000000,0.568131508,0
label_lens,복합(저조도+가림),dense,1,0,1,0,0.000000000,,0
label_lens,복합(저조도+가림),gs_best,1,0,1,0,1.000000000,10.623386644,0
