stable_id,unit_semantics,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,independent_reference_component_ids,independent_reference_component_count,independent_reference_score_cells,current_image_view_support,mvs_support_cells,c4_support_cells,c5_prior_available_by_stable_id,c5_input_alignment_ready,u_target,e_paired,execution_tile_id,spatial_group_id,split,held_out_accessed,exclusion_reason
DEBY_LOD2_104583447,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690871.710,5336174.330,690874.600,5336178.550,,0,0,91,9,12,true,true,true,false,TILE_001_006,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_104583794,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690809.340,5336134.200,690813.380,5336137.110,,0,0,87,0,11,true,true,true,false,TILE_000_005,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_104586480,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690888.450,5335971.460,690891.860,5335979.300,,0,0,221,21,15,true,true,true,false,TILE_001_002,GROUP_ad345227d99d538c,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_107802038,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690806.990,5336293.210,690828.840,5336325.620,,0,0,55,0,110,true,true,true,false,TILE_000_008,GROUP_037cfde4b9a06b58,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_107807336,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690789.880,5336302.600,690804.570,5336332.210,,0,0,52,0,50,true,true,true,false,TILE_000_009,GROUP_7805fa2316d2e6ac,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_108246888,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690841.230,5335879.360,690846.260,5335883.990,,0,0,60,28,21,true,true,true,false,TILE_001_000,GROUP_2a900d949560403f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247349,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690778.390,5336051.520,690793.360,5336063.540,,0,0,90,0,26,true,true,true,false,TILE_000_003,GROUP_b5fd5e5ac3283159,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_108247350,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690793.400,5336069.080,690798.340,5336073.250,,0,0,90,9,12,true,true,true,false,TILE_000_004,GROUP_9c6a5205358a819b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247351,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690787.710,5336058.990,690797.190,5336071.220,,0,0,91,11,76,true,true,true,false,TILE_000_004,GROUP_9c6a5205358a819b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247714,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690848.410,5335907.180,690855.290,5335916.980,,0,0,106,73,10,true,true,true,false,TILE_001_000,GROUP_2a900d949560403f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108250120,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690992.700,5336341.360,691003.470,5336349.350,,0,0,60,33,29,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108580335,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691093.740,5336211.380,691132.510,5336257.760,,0,0,111,1499,1194,true,true,true,false,TILE_006_007,GROUP_eb85cf465f639cd2,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108580336,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690953.020,5335962.630,691047.630,5336105.590,UASREF_831ef0451a676b7c8eec;UASREF_e21d1672f78b9b92c26d,2,27,450,11540,7620,true,true,true,true,TILE_004_003,GROUP_ca1040234a79aaa8,held_out,false,
DEBY_LOD2_42364607,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690829.870,5336167.630,690840.940,5336184.660,,0,0,74,0,95,true,true,true,false,TILE_000_006,GROUP_8e9afbc719710e1a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_42364609,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690860.387,5336180.751,690866.126,5336185.691,,0,0,83,29,4,true,true,true,false,TILE_001_006,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
