stable_id,unit_semantics,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,independent_reference_component_ids,independent_reference_component_count,independent_reference_score_cells,current_image_view_support,mvs_support_cells,c4_support_cells,c5_prior_available_by_stable_id,c5_input_alignment_ready,u_target,e_paired,execution_tile_id,spatial_group_id,split,held_out_accessed,exclusion_reason,reference_candidate_score_cells,reference_candidate_patch_ids,e_paired_candidate,candidate_exclusion_reason
DEBY_LOD2_104583447,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690871.710,5336174.330,690874.600,5336178.550,,0,0,91,9,12,true,true,true,false,TILE_001_006,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_104583794,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690809.340,5336134.200,690813.380,5336137.110,,0,0,87,0,11,true,true,true,false,TILE_000_005,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_104586480,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690888.450,5335971.460,690891.860,5335979.300,,0,0,221,21,15,true,true,true,false,TILE_001_002,GROUP_ad345227d99d538c,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_107802038,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690806.990,5336293.210,690828.840,5336325.620,,0,0,55,0,110,true,true,true,false,TILE_000_008,GROUP_037cfde4b9a06b58,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_107807336,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690789.880,5336302.600,690804.570,5336332.210,,0,0,52,0,50,true,true,true,false,TILE_000_009,GROUP_7805fa2316d2e6ac,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_108246888,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690841.230,5335879.360,690846.260,5335883.990,,0,0,60,28,21,true,true,true,false,TILE_001_000,GROUP_2a900d949560403f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247349,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690778.390,5336051.520,690793.360,5336063.540,,0,0,90,0,26,true,true,true,false,TILE_000_003,GROUP_b5fd5e5ac3283159,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_108247350,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690793.400,5336069.080,690798.340,5336073.250,,0,0,90,9,12,true,true,true,false,TILE_000_004,GROUP_9c6a5205358a819b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247351,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690787.710,5336058.990,690797.190,5336071.220,,0,0,91,11,76,true,true,true,false,TILE_000_004,GROUP_9c6a5205358a819b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108247714,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690848.410,5335907.180,690855.290,5335916.980,,0,0,106,73,10,true,true,true,false,TILE_001_000,GROUP_2a900d949560403f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
