basis,held_out_groups,degrees_of_freedom,critical_value,discordance_rate,net_effect,required_effective_pairs
ASYMPTOTIC_Z,,,2.241402727605,0.20,0.15,82
ASYMPTOTIC_Z,,,2.241402727605,0.20,0.20,45
ASYMPTOTIC_Z,,,2.241402727605,0.30,0.15,125
ASYMPTOTIC_Z,,,2.241402727605,0.30,0.20,69
ASYMPTOTIC_Z,,,2.241402727605,0.40,0.15,167
ASYMPTOTIC_Z,,,2.241402727605,0.40,0.20,93
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.20,0.15,140
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.20,0.20,77
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.30,0.15,211
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.30,0.20,117
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.40,0.15,282
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,6,5,3.163381449749,0.40,0.20,157
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.20,0.15,102
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.20,0.20,56
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.30,0.15,155
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.30,0.20,86
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.40,0.15,207
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,12,11,2.593092682540,0.40,0.20,116
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.20,0.15,93
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.20,0.20,51
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.30,0.15,141
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.30,0.20,78
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.40,0.15,188
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,20,19,2.433440211374,0.40,0.20,105
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.20,0.15,89
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.20,0.20,49
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.30,0.15,135
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.30,0.20,75
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.40,0.15,180
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,30,29,2.363846073208,0.40,0.20,101
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.20,0.15,86
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.20,0.20,47
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.30,0.15,130
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.30,0.20,72
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.40,0.15,175
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,50,49,2.312375163800,0.40,0.20,97
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.20,0.15,84
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.20,0.20,46
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.30,0.15,127
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.30,0.20,71
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.40,0.15,171
STUDENT_T_HELD_OUT_GROUPS_MINUS_1,100,99,2.276003474751,0.40,0.20,95
