patch_id,canonical_buildings_with_score_cells,eligible_buildings_with_score_cells,multi_building
UASPATCH_012006e59b7f5344edeb,2,2,true
UASPATCH_018d42d12cf5aa6e39aa,3,3,true
UASPATCH_06ff9f271ae7c01d713f,3,2,true
UASPATCH_0b382d9c95ede5f28ffa,2,2,true
UASPATCH_0f7e50c7505d3d548979,2,2,true
UASPATCH_0fa66600dfdf2465114d,2,2,true
UASPATCH_0fc37524451d9502eed4,1,1,false
UASPATCH_114641f27cd0b9be91b9,2,2,true
UASPATCH_11c5a73473d77100a22c,2,2,true
UASPATCH_129bc4f3f0e845a2bc32,1,1,false
UASPATCH_12ff643a0733a835ca6c,2,2,true
UASPATCH_13cfc95ef4e256cdc180,1,1,false
UASPATCH_1406fda10f6c0235d7ba,3,3,true
UASPATCH_15452f07fa1e2a671fb8,1,1,false
UASPATCH_15c06745a1857c2050d6,1,1,false
UASPATCH_1607461646a6dc9df3f3,1,1,false
UASPATCH_1897c507f21bb250b98f,1,1,false
UASPATCH_1d1bdc2ff2ec1b922279,1,1,false
UASPATCH_1d24e9e448c3834aefcc,1,1,false
UASPATCH_1df0e45fc7bfee9c968f,1,1,false
UASPATCH_20f8b862bc0338ad52c0,0,0,false
UASPATCH_224cc90ed24d203749bc,2,2,true
UASPATCH_248dda2d97322b9ada53,2,2,true
UASPATCH_2672438319afd50cb036,2,2,true
UASPATCH_26bfd76ae43014405b8f,3,3,true
UASPATCH_27cc4039ad9c4c209b48,2,2,true
UASPATCH_2a550f9f13aa362be51b,1,1,false
UASPATCH_2b1d107fc33a6bb0eaf3,3,3,true
UASPATCH_2b3741217844432c40cc,2,2,true
UASPATCH_2ba4f8c81b3562409e55,2,2,true
UASPATCH_2ea5c2fbb940265043eb,1,1,false
UASPATCH_30064478b8c81470058a,2,2,true
UASPATCH_31235b278bbd5f096a03,3,2,true
UASPATCH_32401968ded607f220e8,1,1,false
UASPATCH_33a851d0073ad9ecaa05,4,4,true
UASPATCH_34f440f846d9fd5d365d,3,3,true
UASPATCH_350aaa8ca70589268a4b,3,3,true
UASPATCH_37822ffb137153e5fb33,2,2,true
UASPATCH_3b27611389335ebfe59a,1,1,false
UASPATCH_3d630698b46824095469,1,1,false
UASPATCH_3def95cd193412d8b09c,1,1,false
UASPATCH_3f9d238d2ed2de4e00b1,2,2,true
UASPATCH_44b925a3cb5be2502e4b,2,2,true
UASPATCH_44f4cc977a37d9ab1f67,2,2,true
UASPATCH_47b19c90f63a15f20731,1,1,false
UASPATCH_47cb4706d705a8d4fa9a,2,2,true
UASPATCH_486d25144a9848f6d933,1,1,false
UASPATCH_490435f3ada46fee342c,1,1,false
UASPATCH_495a0600c39a7c73cd0d,1,1,false
UASPATCH_4b6b9615b5a1fa5b9de5,1,1,false
UASPATCH_4d4f165c9ea6409f2171,1,1,false
UASPATCH_4ded119f930c1c3edfd6,1,1,false
