building_id,als_plane_f1,dim_plane_f1,delta_plane_f1_als_minus_dim,dim_internal_boundary_hausdorff_m,dim_internal_boundary_chamfer_m,dim_height_nmad_m,near_nadir_view_count,oblique_view_count,all_view_count,sharp_texture_sample_count,sharp_mask_pixel_count_total,sharp_low_texture_pixel_ratio,sharp_gradient_p10,sharp_gradient_median,sharp_gradient_mean,sharp_crop_gradient_p10_median,sharp_gray_std_median,sharp_brightness_median,sharp_shadow_ratio_median,sharp_incidence_deg_median
DEBY_LOD2_108246888,0.3333,0.3333,0.0000,n/a,n/a,0.1029,10,202,212,8,103556,0.18935,0.01427,0.04354,0.05931,0.01454,0.07317,0.3863,0.00294,17.0065
DEBY_LOD2_108580336,0.6341,0.3235,0.3106,6.4556,0.5219,0.0859,5,391,396,5,27914057,0.66118,0.00438,0.01493,0.02193,0.00438,0.15436,0.3608,0.03889,10.4241
DEBY_LOD2_42364657,1.0000,1.0000,0.0000,n/a,n/a,0.0659,6,157,163,6,575431,0.58035,0.00392,0.01617,0.02888,0.00415,0.12895,0.7490,0.00152,16.8793
DEBY_LOD2_42364665,0.6667,0.6667,0.0000,n/a,n/a,0.4291,23,366,389,8,475656,0.57970,0.00438,0.01687,0.03235,0.00438,0.25183,0.4804,0.15937,10.7900
DEBY_LOD2_42364667,0.6667,1.0000,-0.3333,n/a,n/a,0.0530,27,345,372,8,484687,0.63549,0.00438,0.01493,0.02643,0.00438,0.18948,0.2804,0.23350,11.7798
DEBY_LOD2_4906966,0.6250,0.4444,0.1806,1.4261,0.3486,0.3725,11,351,362,8,18107179,0.58980,0.00438,0.01675,0.02835,0.00438,0.15854,0.6765,0.01360,8.8954
DEBY_LOD2_4906968,0.5000,0.0370,0.4630,n/a,n/a,0.1166,15,429,444,8,15889563,0.50222,0.00555,0.02121,0.03156,0.00555,0.16100,0.2255,0.39160,12.8747
DEBY_LOD2_4906969,0.8571,0.2857,0.5714,n/a,n/a,0.1493,9,418,427,8,1222904,0.47698,0.00707,0.02236,0.03045,0.00648,0.09957,0.2882,0.15579,9.6138
DEBY_LOD2_4906970,0.5000,0.5714,-0.0714,1.5136,0.4878,0.5114,31,279,310,8,1553720,0.62535,0.00438,0.01581,0.02725,0.00438,0.16074,0.3941,0.14838,11.0249
DEBY_LOD2_4906972,1.0000,1.0000,0.0000,0.5735,0.1899,0.1644,31,286,317,8,6143759,0.47663,0.00438,0.02361,0.04760,0.00497,0.22284,0.4863,0.07859,7.0221
DEBY_LOD2_4906973,1.0000,0.5000,0.5000,n/a,n/a,0.1214,32,288,320,8,225447,0.57197,0.00438,0.01808,0.02675,0.00497,0.15224,0.4647,0.04159,3.0566
DEBY_LOD2_4906974,0.6667,1.0000,-0.3333,2.4627,1.5666,0.0715,19,375,394,8,3409243,0.50685,0.00620,0.02112,0.03253,0.00620,0.16026,0.3118,0.30139,8.2136
DEBY_LOD2_4906976,0.8571,0.7500,0.1071,2.0970,0.2259,0.0498,20,286,306,8,3928447,0.60867,0.00438,0.01617,0.02816,0.00438,0.14237,0.3255,0.17289,7.1369
DEBY_LOD2_4906977,0.6154,0.2500,0.3654,n/a,n/a,0.0480,11,312,323,8,5706207,0.82934,0.00277,0.00832,0.01441,0.00277,0.05214,0.6000,0.00003,13.5683
DEBY_LOD2_4906980,0.5000,0.6667,-0.1667,n/a,n/a,0.3499,11,300,311,8,1334474,0.28542,0.01000,0.03647,0.04790,0.01062,0.14341,0.3706,0.12524,9.2198
DEBY_LOD2_4906981,0.5000,0.5455,-0.0455,13.2407,1.3745,0.0905,6,313,319,6,11000182,0.75222,0.00392,0.01056,0.01947,0.00335,0.10822,0.6157,0.00743,13.8373
DEBY_LOD2_4906982,0.4000,0.3077,0.0923,n/a,n/a,0.2232,24,241,265,8,15113248,0.38779,0.00620,0.02941,0.04851,0.00620,0.18724,0.4725,0.01656,5.9526
DEBY_LOD2_4906983,0.6667,0.6667,0.0000,n/a,n/a,0.0309,10,206,216,8,7640330,0.25208,0.01240,0.03535,0.04122,0.01224,0.08015,0.3235,0.03130,11.8681
DEBY_LOD2_4906984,0.8571,0.3333,0.5238,n/a,n/a,0.0438,14,195,209,8,2015026,0.55322,0.00555,0.01850,0.03161,0.00555,0.13138,0.3431,0.06626,11.8458
DEBY_LOD2_4906986,0.4444,0.5000,-0.0556,n/a,n/a,0.0441,14,166,180,8,2241339,0.61000,0.00392,0.01493,0.03113,0.00335,0.21773,0.5039,0.00507,14.5686
DEBY_LOD2_4906987,0.0000,0.2500,-0.2500,n/a,n/a,0.0089,13,171,184,8,2225361,0.38232,0.00588,0.03162,0.04891,0.00604,0.17258,0.4725,0.01910,4.8936
DEBY_LOD2_4906988,0.6667,0.5000,0.1667,n/a,n/a,0.1177,12,169,181,8,1183728,0.34380,0.00808,0.03333,0.04868,0.00707,0.16568,0.3784,0.08475,7.9400
DEBY_LOD2_4906991,0.5000,0.6667,-0.1667,n/a,n/a,0.0890,6,170,176,6,1160090,0.45504,0.00438,0.02511,0.04258,0.00555,0.18831,0.4020,0.02897,15.4142
DEBY_LOD2_4907018,0.1053,0.1176,-0.0124,n/a,n/a,0.7867,4,143,147,4,1340445,0.70014,0.00000,0.01000,0.02404,0.00098,0.23168,0.6255,0.05641,19.3425
DEBY_LOD2_4907020,1.0000,0.5714,0.4286,5.3595,0.7575,0.0744,6,169,175,6,2530765,0.67229,0.00196,0.01193,0.02690,0.00196,0.22248,0.5784,0.06951,16.9596
DEBY_LOD2_4907023,1.0000,1.0000,0.0000,0.1248,0.1175,0.0983,12,220,232,8,1872494,0.69657,0.00277,0.01193,0.02451,0.00277,0.22185,0.4451,0.10914,12.9145
DEBY_LOD2_4907024,1.0000,1.0000,0.0000,0.5786,0.1686,0.0802,8,192,200,8,2927530,0.71107,0.00277,0.01193,0.02210,0.00277,0.21966,0.5078,0.11915,15.5964
DEBY_LOD2_4907173,0.6000,0.4286,0.1714,2.8140,0.5925,0.0587,11,243,254,8,8955164,0.68350,0.00277,0.01240,0.02536,0.00277,0.20478,0.4314,0.03572,10.2446
DEBY_LOD2_4907178,0.2222,0.1429,0.0794,n/a,n/a,0.1488,15,268,283,8,1853731,0.70982,0.00277,0.01056,0.02884,0.00277,0.18945,0.3725,0.12149,10.0531
DEBY_LOD2_4907179,0.3636,0.2500,0.1136,n/a,n/a,0.2003,18,259,277,8,1673684,0.72695,0.00277,0.01143,0.02190,0.00277,0.19119,0.3059,0.18695,11.0006
DEBY_LOD2_4907180,0.6000,0.3333,0.2667,0.0816,0.0381,0.2303,20,259,279,8,7682180,0.67110,0.00392,0.01386,0.02614,0.00392,0.20666,0.3667,0.04018,9.4762
DEBY_LOD2_4907183,0.4444,0.2000,0.2444,1.3593,0.3300,0.0588,12,277,289,8,5886773,0.69841,0.00438,0.01315,0.02284,0.00438,0.18537,0.3157,0.11540,12.5995
DEBY_LOD2_4907196,0.5000,0.7273,-0.2273,2.8123,0.3564,0.1989,10,280,290,8,10049964,0.60300,0.00392,0.01581,0.02783,0.00438,0.19049,0.4078,0.10853,8.8293
DEBY_LOD2_4907201,0.8571,0.5714,0.2857,n/a,n/a,0.0310,11,281,292,8,3782133,0.65085,0.00277,0.01256,0.02639,0.00277,0.25140,0.4020,0.21728,16.4187
DEBY_LOD2_4907204,0.5000,0.4000,0.1000,1.1144,0.3244,0.1117,11,314,325,8,4129397,0.65032,0.00196,0.01256,0.02784,0.00196,0.26509,0.5157,0.16785,11.5272
DEBY_LOD2_4907205,0.4000,0.6667,-0.2667,n/a,n/a,0.1095,7,288,295,7,2221439,0.60328,0.00438,0.01617,0.03311,0.00438,0.13571,0.3176,0.18514,4.3379
