building_id,als_roofer_failure_reason,memo,action,rf_pt_density,rf_nodata_frac
DEBY_LOD2_108247349,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_108247714,pointcloud_unusable,Roofer emitted a feature but marked the pointcloud unusable and skipped 3D geometry; nodata fraction is high and extrusion mode is skip.,keep_as_attempted_failure,8.000000,0.941606
DEBY_LOD2_42364661,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4906990,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4906997,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907000,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907011,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907035,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907156,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907164,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907166,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907194,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4907208,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4908059,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4908172,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4908179,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4959314,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4959465,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_4959759,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_60109,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
DEBY_LOD2_8573847,missing_roofer_output,Same 20 IDs are missing in ALS and DIM. ID and polygon geometry are present; the footprint only intersects the strict Roofer AOI box at the edge and its centroid is outside the box.,exclude_from_both_attempted_population,,
