sample_rank,building_id,selection_note,original_status,original_reason,point_count,density_pts_m2,returncode_1200,elapsed_sec_1200,timeout_1200,obj_faces_1200,default_solid_snap001_valid,best_setting,best_setting_valid,any_recheck_setting_valid,success_original_rule_after_1200,success_best_setting_after_1200,output_obj,log_file
1,DEBY_LOD2_108580336,timeout_priority,failure,city3d_timeout,89840,18.718737,0,1041.887,False,575,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_108580336.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_108580336.log
2,DEBY_LOD2_4907519,timeout_priority,failure,city3d_timeout,72648,18.246820,124,1200.195,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4907519.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4907519.log
3,DEBY_LOD2_4959460,timeout_priority,failure,city3d_timeout,67741,14.414788,124,1200.262,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4959460.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4959460.log
4,DEBY_LOD2_60042,timeout_priority,failure,city3d_timeout,67374,18.561609,0,592.231,False,472,False,multisurface_snap001,True,True,False,True,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_60042.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_60042.log
5,DEBY_LOD2_4906965,timeout_priority,failure,city3d_timeout,57092,21.780448,124,1200.327,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906965.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906965.log
6,DEBY_LOD2_4906975,timeout_priority,failure,city3d_timeout,33993,18.825845,0,286.969,False,401,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906975.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906975.log
7,DEBY_LOD2_4906966,timeout_priority,failure,city3d_timeout,29785,20.726979,0,528.490,False,354,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906966.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906966.log
8,DEBY_LOD2_4959326,timeout_priority,failure,city3d_timeout,29689,16.297459,0,295.899,False,629,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4959326.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4959326.log
9,DEBY_LOD2_4959457,timeout_priority,failure,city3d_timeout,24651,17.969506,124,1200.254,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4959457.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4959457.log
10,DEBY_LOD2_4906982,timeout_priority,failure,city3d_timeout,16003,11.551127,0,858.701,False,830,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906982.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906982.log
11,DEBY_LOD2_4959336,timeout_priority,failure,city3d_timeout,11413,18.739112,124,1200.206,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4959336.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4959336.log
12,DEBY_LOD2_4907180,timeout_priority,failure,city3d_timeout,6719,17.401822,124,1200.229,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4907180.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4907180.log
13,DEBY_LOD2_4907204,timeout_priority,failure,city3d_timeout,4329,19.294969,124,1200.256,True,0,False,multisurface_snap001,False,False,False,False,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4907204.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4907204.log
14,DEBY_LOD2_4906967,coverage_control_failure_filler,failure,val3dity_invalid,43531,16.950704,0,165.004,False,293,False,multisurface_snap001,True,True,False,True,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906967.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906967.log
15,DEBY_LOD2_4906968,coverage_control_failure_filler,failure,val3dity_invalid,32692,18.351879,0,22.076,False,54,False,multisurface_snap001,True,True,False,True,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906968.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906968.log
16,DEBY_LOD2_4906981,coverage_control_failure_filler,failure,val3dity_invalid,27761,19.550165,0,13.457,False,185,False,multisurface_snap001,True,True,False,True,runs/w2_2b_city3d_diagnosis_20260612_191242/sample_1200/models/als/DEBY_LOD2_4906981.obj,runs/w2_2b_city3d_diagnosis_20260612_191242/logs/sample_1200_city3d/als/DEBY_LOD2_4906981.log
