building_id,subset,als_selected_config,dim_selected_config,als_default_status,als_default_reason,als_tuned_status,als_tuned_reason,als_tuned_bucket_v1,als_tuned_rf_pt_density,als_tuned_rf_rmse_lod22,dim_default_status,dim_default_reason,dim_tuned_status,dim_tuned_reason,dim_tuned_bucket_v1,dim_tuned_rf_pt_density,dim_tuned_rf_rmse_lod22,default_pair_category,tuned_pair_category
DEBY_LOD2_108246888,eval,default,default,success,success,success,success,success,18.285715,1.161196,success,success,success,success,success,85.886795,0.630887,both_success,both_success
DEBY_LOD2_108247714,eval,default,default,failure,pointcloud_unusable,failure,pointcloud_unusable,coverage,8.000000,,success,success,success,success,success,46.814816,1.325772,DIM_only,DIM_only
DEBY_LOD2_108580335,eval,default,default,success,success,success,success,success,10.847725,1.128500,success,success,failure,val3dity_invalid,validity,145.979919,1.057047,both_success,ALS_only
DEBY_LOD2_108580336,eval,default,default,failure,val3dity_invalid,success,success,success,18.559866,1.704130,success,success,success,success,success,356.864777,2.523293,DIM_only,both_success
DEBY_LOD2_42364609,dev,default,default,success,success,success,success,success,19.940298,0.612324,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,36.571430,0.000000,ALS_only,ALS_only
DEBY_LOD2_42364657,eval,default,default,success,success,success,success,success,16.689976,0.808757,success,success,success,success,success,54.701176,0.438611,both_success,both_success
DEBY_LOD2_42364659,eval,default,default,success,success,success,success,success,12.961241,0.341322,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,100.378784,0.000000,ALS_only,ALS_only
DEBY_LOD2_42364663,eval,default,default,success,success,success,success,success,18.404762,8.291080,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,2915.218994,0.000000,both_success,ALS_only
DEBY_LOD2_42364665,eval,default,default,success,success,success,success,success,30.424242,7.620843,success,success,success,success,success,833.696960,2.119400,both_success,both_success
DEBY_LOD2_42364667,eval,default,default,success,success,success,success,success,30.469946,6.099053,success,success,success,success,success,1385.770508,3.082797,both_success,both_success
DEBY_LOD2_4906965,eval,default,default,failure,val3dity_invalid,failure,val3dity_invalid,validity,21.212898,2.721293,success,success,success,success,success,1209.458618,2.536858,DIM_only,DIM_only
DEBY_LOD2_4906966,eval,default,default,success,success,success,success,success,20.264151,2.640912,success,success,success,success,success,1200.340210,2.911231,both_success,both_success
DEBY_LOD2_4906967,eval,default,default,failure,val3dity_invalid,failure,val3dity_invalid,validity,17.352858,1.592272,failure,val3dity_invalid,failure,val3dity_invalid,validity,776.231262,1.291099,both_fail,both_fail
DEBY_LOD2_4906968,eval,default,default,success,success,success,success,success,18.106655,0.892403,failure,val3dity_invalid,success,success,success,412.579346,3.566601,ALS_only,both_success
DEBY_LOD2_4906969,dev,default,default,success,success,success,success,success,18.301449,1.441014,failure,val3dity_invalid,success,success,success,272.958160,0.941262,ALS_only,both_success
DEBY_LOD2_4906970,eval,default,default,success,success,success,success,success,19.582491,4.444397,success,success,success,success,success,759.716125,3.325534,both_success,both_success
DEBY_LOD2_4906972,eval,default,default,success,success,success,success,success,20.596491,2.821606,success,success,success,success,success,1013.904236,2.339203,both_success,both_success
DEBY_LOD2_4906973,eval,default,default,success,success,success,success,success,15.321101,3.117828,success,success,success,success,success,189.297302,1.411018,both_success,both_success
