building_id,subset,variant,baseline_dim_status,baseline_dim_reason,variant_status,variant_reason,variant_bucket_v1,recovered_to_success,variant_has_lod22,variant_val3dity_valid,variant_rf_pt_density,variant_rf_nodata_frac,variant_rf_rmse_lod22
DEBY_LOD2_42364609,dev,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,36.428570,0.164179,0.000000
DEBY_LOD2_42364609,dev,thinned,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,8.145454,0.179104,0.000000
DEBY_LOD2_42364659,eval,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,87.954544,0.000000,0.000000
DEBY_LOD2_42364659,eval,thinned,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,13.924242,0.000000,0.000000
DEBY_LOD2_4907182,dev,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,50.358974,0.178947,0.000000
DEBY_LOD2_4907182,dev,thinned,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,9.437908,0.194737,0.000000
DEBY_LOD2_4907510,eval,wall_removed,failure,missing_lod22_geometry,success,success,success,yes,True,True,42.160000,0.164927,4.454366
DEBY_LOD2_4907510,eval,thinned,failure,missing_lod22_geometry,success,success,success,yes,True,True,13.089974,0.187891,6.273996
DEBY_LOD2_4908050,eval,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,37.527779,0.181818,0.000000
DEBY_LOD2_4908050,eval,thinned,failure,missing_lod22_geometry,failure,pointcloud_unusable_no_planes,coverage,no,False,True,8.655738,0.191288,
DEBY_LOD2_4908166,eval,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,39.096775,0.211864,0.000000
DEBY_LOD2_4908166,eval,thinned,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,8.602151,0.211864,0.000000
DEBY_LOD2_4908176,eval,wall_removed,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,36.551723,0.188811,0.000000
DEBY_LOD2_4908176,eval,thinned,failure,missing_lod22_geometry,failure,missing_lod22_geometry,roof_matching_assembly_failure,no,False,True,8.666667,0.202797,0.000000
