building_id,ref_roof_planes,als_pred_roof_planes,dim_pred_roof_planes,als_plane_tp,als_plane_precision,als_plane_recall,als_plane_f1,als_mean_matched_iou,als_boundary_chamfer_m,als_boundary_hausdorff_m,als_boundary_ref_samples,als_boundary_pred_samples,als_height_bias_m,als_height_nmad_m,als_height_sample_count,dim_plane_tp,dim_plane_precision,dim_plane_recall,dim_plane_f1,dim_mean_matched_iou,dim_boundary_chamfer_m,dim_boundary_hausdorff_m,dim_boundary_ref_samples,dim_boundary_pred_samples,dim_height_bias_m,dim_height_nmad_m,dim_height_sample_count,dim_minus_als_plane_f1,dim_over_als_boundary_chamfer,dim_over_als_boundary_hausdorff,dim_minus_als_height_bias_m,dim_over_als_height_nmad
DEBY_LOD2_108246888,4,2,2,1,0.500000,0.250000,0.333333,0.521847,0.001006,0.001476,31,31,0.058887,0.093549,13,1,0.500000,0.250000,0.333333,0.552832,0.001137,0.001476,31,31,0.030823,0.084633,13,0.000000,1.130001,0.999851,-0.028064,0.904695
DEBY_LOD2_108580335,9,15,24,7,0.466667,0.777778,0.583333,0.767275,0.074934,0.076659,269,269,-0.032890,0.043727,3291,6,0.250000,0.666667,0.363636,0.750729,0.173646,0.176059,269,269,-0.108883,0.025425,2636,-0.219697,2.317311,2.296665,-0.075993,0.581444
DEBY_LOD2_42364657,1,1,1,1,1.000000,1.000000,1.000000,0.999656,0.167328,0.169619,107,107,-0.098580,0.042038,429,1,1.000000,1.000000,1.000000,0.999656,0.167328,0.169619,107,107,-0.166207,0.065886,429,0.000000,1.000000,1.000000,-0.067627,1.567302
DEBY_LOD2_42364663,1,1,1,1,1.000000,1.000000,1.000000,0.999500,0.022689,0.023614,122,122,-0.000623,0.019485,169,0,0.000000,0.000000,0.000000,,3.996316,20.760358,122,39,,,0,-1.000000,176.136407,879.171824,,
DEBY_LOD2_42364665,1,2,2,1,0.500000,1.000000,0.666667,0.939193,0.242737,0.245676,119,119,-0.034923,0.455310,187,1,0.500000,1.000000,0.666667,0.855539,0.121905,0.324694,119,119,-0.102855,0.429062,169,0.000000,0.502208,1.321631,-0.067932,0.942353
DEBY_LOD2_42364667,1,2,1,1,0.500000,1.000000,0.666667,0.985461,0.231842,0.256525,111,110,0.051428,0.045144,181,1,1.000000,1.000000,1.000000,0.999907,0.231353,0.233162,111,111,-0.013251,0.053046,183,0.333333,0.997890,0.908925,-0.064678,1.175039
DEBY_LOD2_4906966,6,10,12,5,0.500000,0.833333,0.625000,0.779099,0.136946,8.222769,437,434,0.151635,0.326283,4535,4,0.333333,0.666667,0.444444,0.823788,0.100481,8.223302,437,433,0.399073,0.393874,2998,-0.180556,0.733727,1.000065,0.247438,1.207156
DEBY_LOD2_4906970,2,6,5,2,0.333333,1.000000,0.500000,0.574550,0.189377,0.191686,102,102,0.485791,0.548577,361,2,0.400000,1.000000,0.571429,0.845063,0.000398,0.001933,102,102,0.583430,0.454684,544,0.071429,0.002100,0.010086,0.097640,0.828842
DEBY_LOD2_4906972,3,3,3,3,1.000000,1.000000,1.000000,0.977323,0.231574,0.235477,179,179,0.200703,0.150896,1472,3,1.000000,1.000000,1.000000,0.959433,0.231575,0.235477,179,179,0.129687,0.162680,1462,0.000000,1.000001,1.000001,-0.071016,1.078093
DEBY_LOD2_4906973,1,1,3,1,1.000000,1.000000,1.000000,0.999596,0.210720,0.213136,66,66,-4.779279,0.130210,222,1,0.333333,1.000000,0.500000,0.820349,0.068475,0.069492,66,66,-4.857638,0.119210,181,-0.500000,0.324956,0.326044,-0.078359,0.915520
DEBY_LOD2_4906974,3,2,4,2,1.000000,0.666667,0.800000,0.874978,0.232255,3.111400,170,175,0.003224,0.037807,1110,2,0.500000,0.666667,0.571429,0.919893,0.032127,0.033524,170,170,-0.138651,0.083950,1127,-0.228571,0.138325,0.010775,-0.141875,2.220453
DEBY_LOD2_4906976,3,4,4,3,0.750000,1.000000,0.857143,0.932463,0.132923,2.097956,161,166,0.018711,0.055077,1047,3,0.750000,1.000000,0.857143,0.916608,0.219128,4.948242,161,176,-0.049019,0.048860,1033,0.000000,1.648534,2.358601,-0.067731,0.887108
DEBY_LOD2_4906977,4,7,7,4,0.571429,1.000000,0.727273,0.659534,0.230334,2.406237,238,206,0.030155,0.046913,1772,3,0.428571,0.750000,0.545455,0.681834,0.143199,2.395222,238,206,-0.069036,0.047378,1686,-0.181818,0.621701,0.995422,-0.099191,1.009913
DEBY_LOD2_4906980,1,3,2,1,0.333333,1.000000,0.500000,0.731195,0.204993,1.145317,63,61,0.327128,0.010094,131,1,0.500000,1.000000,0.666667,0.801642,0.082887,0.084029,63,63,0.691862,0.352578,145,0.166667,0.404343,0.073368,0.364735,34.929059
DEBY_LOD2_4906981,7,12,13,5,0.416667,0.714286,0.526316,0.847712,0.135387,6.777622,416,386,0.020570,0.076825,4646,4,0.307692,0.571429,0.400000,0.853727,0.134869,6.777624,416,386,-0.063094,0.079761,4356,-0.126316,0.996175,1.000000,-0.083665,1.038219
DEBY_LOD2_4906982,3,7,11,2,0.285714,0.666667,0.400000,0.601948,0.813265,15.585519,367,409,-0.073597,0.115798,3152,2,0.181818,0.666667,0.285714,0.545528,0.360993,7.235392,367,385,-0.057600,0.217094,2815,-0.114286,0.443881,0.464238,0.015997,1.874769
DEBY_LOD2_4906983,1,2,2,1,0.500000,1.000000,0.666667,0.989154,0.001957,0.008403,305,305,-0.037573,0.005136,3691,1,0.500000,1.000000,0.666667,0.989503,0.001957,0.008403,305,305,-0.101940,0.030815,3692,0.000000,1.000000,1.000000,-0.064367,6.000148
DEBY_LOD2_4906984,4,3,1,3,1.000000,0.750000,0.857143,0.772972,0.053961,0.055022,131,131,0.049513,0.075463,631,1,1.000000,0.250000,0.400000,0.805422,4.449034,17.826847,131,62,0.040830,0.128299,117,-0.457143,82.448667,323.997557,-0.008683,1.700165
DEBY_LOD2_4906986,5,4,4,2,0.500000,0.400000,0.444444,0.631184,0.014272,0.015172,137,137,0.289067,0.227245,395,2,0.500000,0.400000,0.444444,0.537298,0.000958,0.007119,137,137,-0.198738,0.042827,155,0.000000,0.067147,0.469229,-0.487805,0.188463
DEBY_LOD2_4906987,5,2,2,0,0.000000,0.000000,0.000000,,0.444423,3.838031,137,130,,,0,0,0.000000,0.000000,0.000000,,0.479093,4.010648,137,130,,,0,0.000000,1.078012,1.044975,,
DEBY_LOD2_4906988,1,2,3,1,0.500000,1.000000,0.666667,0.958187,0.073596,0.074507,104,104,-0.055850,0.109287,502,1,0.333333,1.000000,0.500000,0.897791,0.073596,0.074507,104,104,-0.203187,0.117776,471,-0.166667,0.999993,1.000005,-0.147337,1.077685
DEBY_LOD2_4906991,1,3,2,1,0.333333,1.000000,0.500000,0.924171,0.053039,1.175028,112,110,-0.044967,0.066935,622,1,0.500000,1.000000,0.666667,0.861993,0.010591,0.014854,112,112,-0.143238,0.088978,579,0.166667,0.199687,0.012641,-0.098271,1.329326
