building_id,cohort,footprint_area_m2,dim_point_count,dim_density_pts_m2,dim_hole_ratio,dim_plane_rmse_m,als_density_pts_m2,als_hole_ratio,als_plane_rmse_m,view_count,median_incidence_deg,median_in_frame_sample_fraction,occlusion_risk_view_fraction,classification,surface_forming_recoverable,classification_note,dim_reason
DEBY_LOD2_42364609,failure_8,16.445,64,3.892,0.625,0.070,21.222,0.000,0.021,290,57.70,1.000,0.790,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_42364659,failure_8,66.102,3211,48.576,0.288,0.830,12.814,0.000,2.792,222,67.38,1.000,0.595,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_42364663,failure_8,42.215,171295,4057.681,0.000,1.483,20.135,0.000,0.740,394,59.79,1.000,0.274,구조화부족,no,"DIM class-6 surface is control-like, but Roofer did not form LoD2.2 geometry.",missing_lod22_geometry
DEBY_LOD2_4907182,failure_8,95.004,243,2.558,0.845,0.308,20.894,0.000,1.631,290,32.21,1.000,0.824,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_4907510,failure_8,119.363,3190,26.725,0.433,0.739,17.744,0.000,0.775,260,58.99,1.000,0.488,증거부족,yes,"Views are control-like, but DIM class-6 density/hole/residual surface evidence is below threshold.",missing_lod22_geometry
DEBY_LOD2_4908050,failure_8,131.674,77,0.585,0.955,0.059,10.663,0.000,0.008,272,60.36,1.000,0.820,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_4908166,failure_8,29.086,60,2.063,0.793,0.066,18.256,0.000,0.026,281,61.97,1.000,0.797,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_4908176,failure_8,35.621,296,8.310,0.629,0.024,18.528,0.000,0.015,312,57.61,1.000,0.804,관측부족,no,approximate occlusion risk is high,missing_lod22_geometry
DEBY_LOD2_108246888,control_success_71,13.961,1293,92.615,0.000,0.321,19.554,0.000,0.204,209,61.02,1.000,0.167,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_108580336,control_success_71,4799.469,1638208,341.331,0.062,2.320,18.719,0.000,2.259,438,64.44,0.592,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_42364657,control_success_71,107.301,3780,35.228,0.213,0.240,17.101,0.000,0.075,164,72.50,1.000,0.823,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_42364665,control_success_71,49.277,41190,835.887,0.000,1.675,32.632,0.000,3.055,383,55.48,1.000,0.285,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_42364667,control_success_71,45.705,56367,1233.279,0.000,0.384,32.360,0.000,3.056,378,64.10,1.000,0.466,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906966,control_success_71,1437.016,1888930,1314.481,0.000,1.595,20.727,0.000,1.122,366,58.91,0.650,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906968,control_success_71,1781.398,761618,427.539,0.003,1.065,18.352,0.000,0.409,447,56.89,0.596,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906969,control_success_71,173.375,49208,283.824,0.000,1.226,19.651,0.000,1.604,428,49.44,1.000,0.047,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906970,control_success_71,154.490,125341,811.321,0.000,1.601,19.820,0.000,1.261,320,57.19,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906972,control_success_71,371.016,388215,1046.356,0.000,0.992,21.595,0.000,0.965,324,58.49,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906973,control_success_71,55.297,11614,210.029,0.000,4.054,16.004,0.000,2.381,371,48.31,1.000,0.132,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906974,control_success_71,315.332,101683,322.463,0.000,0.234,19.097,0.000,0.184,395,59.48,1.000,0.061,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906976,control_success_71,273.078,167939,614.985,0.000,0.619,21.346,0.000,0.643,303,70.27,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906977,control_success_71,530.766,137632,259.308,0.000,0.578,19.180,0.000,0.366,333,60.64,0.976,0.027,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906980,control_success_71,44.926,11188,249.032,0.000,4.089,17.073,0.022,5.122,350,62.94,1.000,0.523,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906981,control_success_71,1419.988,791109,557.124,0.000,2.790,19.550,0.000,0.615,323,63.34,0.772,0.046,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906982,control_success_71,1385.406,523617,377.952,0.000,0.193,11.551,0.000,0.141,265,60.36,0.833,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906983,control_success_71,932.787,140222,150.326,0.000,0.046,13.455,0.000,0.041,216,60.05,0.660,0.245,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906984,control_success_71,246.428,7379,29.944,0.536,1.729,11.204,0.008,0.057,218,61.87,1.000,0.573,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906986,control_success_71,236.227,29889,126.527,0.000,0.275,18.419,0.000,0.266,181,66.58,1.000,0.287,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906987,control_success_71,231.477,32553,140.632,0.000,0.271,17.600,0.000,0.240,182,61.72,1.000,0.203,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906988,control_success_71,130.994,9578,73.118,0.000,0.430,18.688,0.000,0.252,181,64.28,1.000,0.326,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4906991,control_success_71,167.684,9947,59.320,0.000,0.479,19.769,0.000,0.150,178,65.97,1.000,0.247,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907018,control_success_71,257.297,20736,80.592,0.015,0.606,19.227,0.000,0.550,153,61.99,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907020,control_success_71,330.555,20566,62.217,0.052,1.175,13.444,0.000,0.877,179,62.14,0.973,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907023,control_success_71,181.232,18768,103.558,0.000,0.697,11.201,0.000,0.758,240,61.53,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907024,control_success_71,289.031,20785,71.913,0.007,0.664,11.020,0.000,0.762,203,62.02,0.828,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907173,control_success_71,377.953,124294,328.861,0.000,0.683,16.595,0.000,0.620,255,62.02,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
