building_id,in_full_199,in_control_93,in_failure_8,paired_category,coverage_control_population,dim_failure_bucket_v1,floor_area_m2,perimeter_m,exterior_vertex_count,part_count,height_m,height_source_files,height_coordinate_count
DEBY_LOD2_104583447,yes,no,no,both_success,no,success,6.082,10.999,4,1,17.760,690_5336.gml,30
DEBY_LOD2_104583794,yes,no,no,ALS_only,no,coverage,6.389,10.861,4,1,2.880,690_5336.gml,30
DEBY_LOD2_104586480,yes,no,no,ALS_only,no,reference_mismatch,14.770,18.645,4,1,3.000,690_5334.gml,30
DEBY_LOD2_107802038,yes,no,no,ALS_only,no,coverage,388.477,88.602,10,1,15.000,690_5336.gml,72
DEBY_LOD2_107807336,yes,no,no,ALS_only,no,coverage,100.627,67.982,4,1,5.700,690_5336.gml,30
DEBY_LOD2_108246888,yes,yes,no,both_success,yes,success,13.961,14.994,4,1,4.030,690_5334.gml,43
DEBY_LOD2_108247349,yes,no,no,both_fail,no,aoi_edge_excluded,101.102,41.597,7,1,10.908,690_5336.gml,51
DEBY_LOD2_108247350,yes,no,no,ALS_only,no,coverage,12.137,14.702,7,1,2.300,690_5336.gml,51
DEBY_LOD2_108247351,yes,no,no,ALS_only,no,coverage,65.279,33.692,6,1,4.105,690_5336.gml,44
DEBY_LOD2_108247714,yes,yes,no,DIM_only,yes,success,34.271,25.659,6,1,2.500,690_5334.gml,44
DEBY_LOD2_108250120,yes,no,no,DIM_only,no,success,46.818,29.023,5,1,9.000,690_5336.gml,37
DEBY_LOD2_108580335,yes,yes,no,ALS_only,yes,validity,1020.875,133.541,30,1,18.670,690_5336.gml,345
DEBY_LOD2_108580336,yes,yes,no,both_success,yes,success,4799.469,441.465,45,1,33.950,690_5336.gml,476
DEBY_LOD2_42364607,yes,no,no,both_fail,no,coverage,90.441,43.416,4,1,4.320,690_5336.gml,30
DEBY_LOD2_42364609,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,16.445,16.450,4,1,2.758,690_5336.gml,30
DEBY_LOD2_42364657,yes,yes,no,both_success,yes,success,107.301,52.608,9,1,3.360,690_5336.gml,65
DEBY_LOD2_42364659,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,66.102,35.343,9,1,2.730,690_5336.gml,69
