building_id,input,ref_roof_planes,pred_roof_planes,matched_planes,matched_plane_pairs,shared_pair_count,ref_internal_length_m,pred_internal_length_m,ref_internal_samples,pred_internal_samples,internal_boundary_chamfer_m,internal_boundary_hausdorff_m
DEBY_LOD2_108246888,als,4,2,1,0,0,0,0,0,0,,
DEBY_LOD2_108246888,dim,4,2,1,0,0,0,0,0,0,,
DEBY_LOD2_108580336,als,14,27,13,78,18,600.507937,582.097278,1241,1214,0.593308,17.325652
DEBY_LOD2_108580336,dim,14,54,11,55,9,215.722284,191.918009,451,425,0.521863,6.455591
DEBY_LOD2_42364657,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_42364657,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_42364665,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364665,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364667,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364667,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4906966,als,6,10,5,10,6,102.604618,103.187795,213,230,1.013763,2.311652
DEBY_LOD2_4906966,dim,6,12,4,6,3,25.848386,29.686716,56,67,0.348553,1.426103
DEBY_LOD2_4906968,als,8,8,4,6,3,235.815345,351.932983,474,709,0.911234,3.534314
DEBY_LOD2_4906968,dim,8,46,1,0,0,0,0,0,0,,
DEBY_LOD2_4906969,als,3,4,3,3,2,34.988247,35.029266,85,86,0.429174,1.827303
DEBY_LOD2_4906969,dim,3,11,2,1,0,0,0,0,0,,
DEBY_LOD2_4906970,als,2,6,2,1,1,12.521381,10.160780,27,22,0.452794,1.312451
DEBY_LOD2_4906970,dim,2,5,2,1,1,12.521381,10.281883,27,22,0.487791,1.513646
DEBY_LOD2_4906972,als,3,3,3,3,2,36.931778,36.935185,77,77,0.119902,0.288766
DEBY_LOD2_4906972,dim,3,3,3,3,2,36.931778,37.086066,77,83,0.189884,0.573533
DEBY_LOD2_4906973,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4906973,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906974,als,3,3,2,1,1,26.840760,28.854164,55,59,0.061619,2.013658
DEBY_LOD2_4906974,dim,3,3,3,3,3,40.659371,39.000407,86,83,1.566639,2.462728
DEBY_LOD2_4906976,als,3,4,3,3,3,31.865453,29.399058,68,63,0.284715,2.322024
DEBY_LOD2_4906976,dim,3,5,3,3,3,31.865453,30.077095,68,66,0.225895,2.096959
DEBY_LOD2_4906977,als,4,9,4,6,4,12.676903,32.674123,30,79,3.290180,21.198036
DEBY_LOD2_4906977,dim,4,12,2,1,1,0,15.202135,0,32,,
DEBY_LOD2_4906980,als,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906980,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906981,als,7,13,5,10,6,100.588803,75.205675,209,160,1.417418,12.745435
DEBY_LOD2_4906981,dim,7,15,6,15,8,111.875700,91.010623,233,211,1.374454,13.240707
DEBY_LOD2_4906982,als,3,7,2,1,1,0,3.942809,0,11,,
DEBY_LOD2_4906982,dim,3,10,2,1,0,0,0,0,0,,
DEBY_LOD2_4906983,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906983,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906984,als,4,3,3,3,2,12.368246,24.734907,26,52,3.555819,13.509769
DEBY_LOD2_4906984,dim,4,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906986,als,5,4,2,1,1,8.442062,11.559299,20,30,0.675442,2.142566
DEBY_LOD2_4906986,dim,5,3,2,1,0,0,0,0,0,,
DEBY_LOD2_4906987,als,5,2,0,0,0,0,0,0,0,,
DEBY_LOD2_4906987,dim,5,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906988,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906988,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906991,als,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906991,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4907018,als,4,15,1,0,0,0,0,0,0,,
DEBY_LOD2_4907018,dim,4,13,1,0,0,0,0,0,0,,
DEBY_LOD2_4907020,als,2,2,2,1,1,27.382794,27.380126,56,56,0.020252,0.047854
DEBY_LOD2_4907020,dim,2,5,2,1,1,27.382794,17.313180,56,41,0.757474,5.359476
DEBY_LOD2_4907023,als,2,2,2,1,1,14.885912,14.885520,31,31,0.089970,0.137786
DEBY_LOD2_4907023,dim,2,2,2,1,1,14.885912,14.884412,31,31,0.117547,0.124788
DEBY_LOD2_4907024,als,2,2,2,1,1,23.876156,23.877158,49,49,0.028274,0.067231
DEBY_LOD2_4907024,dim,2,2,2,1,1,23.876156,24.027878,49,51,0.168558,0.578636
DEBY_LOD2_4907173,als,4,6,3,3,3,21.347981,22.116970,47,50,0.155497,0.995583
DEBY_LOD2_4907173,dim,4,10,3,3,3,21.347981,25.402413,47,66,0.592543,2.813983
DEBY_LOD2_4907178,als,2,7,1,0,0,0,0,0,0,,
DEBY_LOD2_4907178,dim,2,12,1,0,0,0,0,0,0,,
DEBY_LOD2_4907179,als,3,8,2,1,1,11.554805,11.544861,25,25,0.343001,0.365329
DEBY_LOD2_4907179,dim,3,13,2,1,0,0,0,0,0,,
DEBY_LOD2_4907180,als,3,7,3,3,2,35.740704,35.964918,75,76,0.558579,1.470091
DEBY_LOD2_4907180,dim,3,9,2,1,1,22.649329,22.646747,47,47,0.038138,0.081597
DEBY_LOD2_4907183,als,2,7,2,1,1,25.868916,25.870458,53,53,0.039011,0.065552
DEBY_LOD2_4907183,dim,2,18,2,1,1,25.868916,27.035768,53,68,0.329977,1.359341
DEBY_LOD2_4907196,als,4,12,4,6,4,53.860124,51.244524,113,113,0.243681,1.420040
DEBY_LOD2_4907196,dim,4,7,4,6,5,53.860124,49.846579,113,116,0.356432,2.812339
DEBY_LOD2_4907201,als,3,4,3,3,3,23.114327,23.567270,49,54,0.333259,2.053365
DEBY_LOD2_4907201,dim,3,4,2,1,1,0,2.005878,0,6,,
DEBY_LOD2_4907204,als,2,6,2,1,1,20.075548,20.589025,42,46,0.246221,1.021374
DEBY_LOD2_4907204,dim,2,8,2,1,1,20.075548,20.361451,42,49,0.324357,1.114419
DEBY_LOD2_4907205,als,2,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4907205,dim,2,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4907206,als,2,2,2,1,1,16.209614,16.246669,34,34,0.337042,0.458705
DEBY_LOD2_4907206,dim,2,2,2,1,1,16.209614,16.246343,34,34,0.366625,0.463113
DEBY_LOD2_4907207,als,8,7,6,15,9,47.221448,54.953731,103,133,0.706383,5.615325
DEBY_LOD2_4907207,dim,8,12,2,1,1,4.852676,6.581586,11,16,0.705398,1.624474
DEBY_LOD2_4907506,als,4,12,4,6,4,40.057241,36.166098,88,79,0.170719,3.283542
DEBY_LOD2_4907506,dim,4,7,4,6,5,40.057241,37.929461,88,91,0.232748,1.744066
DEBY_LOD2_4907507,als,2,4,2,1,1,22.179765,22.175661,46,46,0.077174,0.178272
DEBY_LOD2_4907507,dim,2,3,2,1,1,22.179765,23.289027,46,58,0.319681,1.460414
DEBY_LOD2_4907509,als,7,8,5,10,5,17.230221,19.906361,40,54,0.744777,5.416254
DEBY_LOD2_4907509,dim,7,14,3,3,2,6.319147,8.386515,14,22,0.730674,3.555393
DEBY_LOD2_4907514,als,9,10,6,15,6,40.404217,36.768687,89,91,0.394856,2.369224
DEBY_LOD2_4907514,dim,9,10,7,21,9,41.617077,43.690594,92,115,0.457322,1.904875
DEBY_LOD2_4907515,als,7,7,7,21,11,70.449166,66.322867,155,154,0.313592,1.145206
DEBY_LOD2_4907515,dim,7,7,6,15,9,48.402325,52.682378,107,131,0.377285,3.016600
DEBY_LOD2_4907516,als,7,5,4,6,4,13.239162,17.511017,30,50,0.400195,2.832738
DEBY_LOD2_4907516,dim,7,5,3,3,2,13.239162,13.687227,30,38,0.311440,0.975166
DEBY_LOD2_4907517,als,8,5,5,10,6,21.622022,38.960094,48,92,0.852253,4.383792
DEBY_LOD2_4907517,dim,8,7,5,10,6,21.622022,36.626738,48,84,0.793285,4.444290
DEBY_LOD2_4907518,als,12,4,4,6,5,43.197309,41.939310,94,95,0.660569,2.753245
DEBY_LOD2_4907518,dim,12,4,4,6,5,43.197309,41.242488,94,103,0.708813,2.763147
DEBY_LOD2_4907519,als,11,16,9,36,13,398.139126,394.024855,873,865,0.458435,3.021902
DEBY_LOD2_4907519,dim,11,35,2,1,1,2.633257,0,7,0,,
DEBY_LOD2_4908023,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908023,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908024,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908024,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908025,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908025,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908026,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908026,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908027,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908027,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908028,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908028,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908352,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908352,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908353,als,2,3,2,1,1,16.666888,16.634425,35,35,1.153505,1.320120
DEBY_LOD2_4908353,dim,2,4,1,0,0,0,0,0,0,,
DEBY_LOD2_4959322,als,2,2,2,1,1,26.958904,26.957497,55,55,0.345675,0.525709
DEBY_LOD2_4959322,dim,2,2,2,1,1,26.958904,26.957572,55,55,0.328406,0.542795
DEBY_LOD2_4959323,als,6,9,5,10,6,107.480530,102.532176,223,214,0.224652,5.993352
DEBY_LOD2_4959323,dim,6,8,5,10,6,107.480530,100.851703,223,218,0.238749,5.523334
DEBY_LOD2_4959324,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959324,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4959325,als,11,10,9,36,18,191.022822,198.891299,414,444,0.432837,3.288065
DEBY_LOD2_4959325,dim,11,20,7,21,11,137.447908,105.434335,297,247,0.475224,2.550586
DEBY_LOD2_4959327,als,6,8,6,15,8,72.781471,71.748449,155,161,0.515802,1.456505
DEBY_LOD2_4959327,dim,6,8,6,15,8,72.781471,71.688093,155,165,0.588381,1.615294
DEBY_LOD2_4959336,als,6,9,6,15,9,116.266265,111.665089,245,254,0.413435,1.978128
DEBY_LOD2_4959336,dim,6,9,5,10,8,55.777161,93.395449,118,247,1.964459,10.833243
DEBY_LOD2_4959340,als,3,3,3,3,3,43.669494,43.412946,92,95,0.233688,1.421873
DEBY_LOD2_4959340,dim,3,3,3,3,3,43.669494,43.878625,92,97,0.277301,1.045111
DEBY_LOD2_4959457,als,2,2,2,1,1,58.687175,57.940725,122,121,0.216833,0.347109
DEBY_LOD2_4959457,dim,2,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959458,als,2,3,2,1,1,42.136673,42.136591,86,86,0.067417,0.102883
DEBY_LOD2_4959458,dim,2,3,2,1,1,42.136673,42.137846,86,86,0.099725,0.123130
DEBY_LOD2_4959459,als,2,3,0,0,0,0,0,0,0,,
DEBY_LOD2_4959459,dim,2,9,0,0,0,0,0,0,0,,
DEBY_LOD2_4959460,als,3,10,3,3,3,199.428219,181.137441,410,387,0.989042,8.513949
DEBY_LOD2_4959460,dim,3,10,1,0,0,0,0,0,0,,
DEBY_LOD2_4959461,als,7,4,2,1,1,5.143167,13.724672,12,31,1.586966,8.164499
DEBY_LOD2_4959461,dim,7,18,4,6,3,18.913266,25.117507,41,66,4.268826,17.943932
DEBY_LOD2_4959463,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4959463,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959464,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4959464,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4959793,als,4,4,4,6,5,37.860333,36.296099,84,81,0.419732,0.943853
DEBY_LOD2_4959793,dim,4,4,4,6,5,37.860333,36.439252,84,81,0.481507,1.074411
DEBY_LOD2_8573849,als,8,15,7,21,10,110.479048,107.160793,235,251,0.550213,3.295091
DEBY_LOD2_8573849,dim,8,17,5,10,7,84.954743,67.539362,180,163,0.603241,3.612575
