building_id,paired_category,both_attempted,exclude_from_comparison,exclude_reason,footprint_area_m2,footprint_centroid_in_box,footprint_fully_inside_box,footprint_bbox_intersects_box,als_status,als_reason,als_rf_pt_density,als_rf_nodata_frac,als_has_lod22,als_val3dity_valid,dim_status,dim_reason,dim_rf_pt_density,dim_rf_nodata_frac,dim_has_lod22,dim_val3dity_valid,dim_coverage_nodata_max,dim_coverage_density_min_pts_m2,dim_coverage_pass,dim_coverage_pass_strict,dim_coverage_pass_loose,reference_mismatch_exclude,reference_mismatch_reason,coverage_control_population,als_failure_bucket_v1,dim_failure_bucket_v1
DEBY_LOD2_104583447,both_success,yes,no,,6.082,yes,yes,yes,success,success,17.333334,0.000000,True,True,success,success,36.666668,0.500000,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_104583794,ALS_only,yes,no,,6.389,yes,yes,yes,success,success,18.080000,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_104586480,ALS_only,yes,no,,14.770,yes,yes,yes,success,success,10.827586,0.000000,True,True,failure,missing_lod22_geometry,978.620667,0.000000,False,True,0.30,20.0,yes,yes,yes,yes,"DIM footprint interior is dominated by ground-class points while ALS has almost no ground-class interior; coverage is high, so the failure is treated as reference or temporal mismatch candidate.",no,success,reference_mismatch
DEBY_LOD2_107802038,ALS_only,yes,no,,388.477,yes,yes,yes,success,success,17.390856,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_107807336,ALS_only,yes,no,,100.627,yes,no,yes,success,success,17.293531,0.002481,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_108246888,both_success,yes,no,,13.961,yes,yes,yes,success,success,18.285715,0.000000,True,True,success,success,85.886795,0.053571,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_108247349,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,101.102,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_108247350,ALS_only,yes,no,,12.137,yes,yes,yes,success,success,13.391304,0.041667,True,True,failure,pointcloud_unusable_no_points,9.142858,0.854167,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_108247351,ALS_only,yes,no,,65.279,yes,no,yes,success,success,17.861538,0.000000,True,True,failure,pointcloud_unusable_no_points,4.500000,0.969231,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_108247714,DIM_only,yes,no,,34.271,yes,yes,yes,failure,pointcloud_unusable,8.000000,0.941606,False,True,success,success,46.814816,0.014599,True,True,0.30,20.0,yes,yes,yes,no,,yes,coverage,success
DEBY_LOD2_108250120,DIM_only,yes,no,,46.818,yes,yes,yes,failure,val3dity_invalid,15.413043,0.021277,True,False,success,success,25.862068,0.691489,True,True,0.30,20.0,no,no,no,no,,no,validity,success
DEBY_LOD2_108580335,ALS_only,yes,no,,1020.875,yes,yes,yes,success,success,10.847725,0.004409,True,True,failure,val3dity_invalid,145.979919,0.000000,True,False,0.30,20.0,yes,yes,yes,no,,yes,success,validity
DEBY_LOD2_108580336,both_success,yes,no,,4799.469,yes,yes,yes,success,success,18.559866,0.001250,True,True,success,success,356.864777,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_42364607,both_fail,yes,no,,90.441,yes,yes,yes,failure,val3dity_invalid,17.329639,0.000000,True,False,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,validity,coverage
DEBY_LOD2_42364609,ALS_only,yes,no,,16.445,yes,yes,yes,success,success,19.940298,0.000000,True,True,failure,missing_lod22_geometry,36.571430,0.164179,False,True,0.30,20.0,yes,yes,yes,no,,yes,success,roof_matching_assembly_failure
DEBY_LOD2_42364657,both_success,yes,no,,107.301,yes,no,yes,success,success,16.689976,0.000000,True,True,success,success,54.701176,0.009324,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_42364659,ALS_only,yes,no,,66.102,yes,yes,yes,success,success,12.961241,0.022727,True,True,failure,missing_lod22_geometry,100.378784,0.000000,False,True,0.30,20.0,yes,yes,yes,no,,yes,success,roof_matching_assembly_failure
DEBY_LOD2_42364661,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,58.561,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_42364663,ALS_only,yes,no,,42.215,yes,yes,yes,success,success,18.404762,0.005917,True,True,failure,missing_lod22_geometry,2915.218994,0.000000,False,True,0.30,20.0,yes,yes,yes,no,,yes,success,roof_matching_assembly_failure
DEBY_LOD2_42364665,both_success,yes,no,,49.277,yes,yes,yes,success,success,30.424242,0.000000,True,True,success,success,833.696960,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_42364667,both_success,yes,no,,45.705,yes,yes,yes,success,success,30.469946,0.000000,True,True,success,success,1385.770508,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906965,DIM_only,yes,no,,2621.250,yes,yes,yes,failure,val3dity_invalid,21.212898,0.003433,True,False,success,success,1209.458618,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,validity,success
DEBY_LOD2_4906966,both_success,yes,no,,1437.016,yes,yes,yes,success,success,20.264151,0.004349,True,True,success,success,1200.340210,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906967,both_fail,yes,no,,2568.094,yes,yes,yes,failure,val3dity_invalid,17.352858,0.042267,True,False,failure,val3dity_invalid,776.231262,0.001169,True,False,0.30,20.0,yes,yes,yes,no,,yes,validity,validity
DEBY_LOD2_4906968,both_success,yes,no,,1781.398,yes,yes,yes,success,success,18.106655,0.002666,True,True,success,success,412.579346,0.017541,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906969,both_success,yes,no,,173.375,yes,yes,yes,success,success,18.301449,0.004329,True,True,success,success,272.958160,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906970,both_success,yes,no,,154.490,yes,yes,yes,success,success,19.582491,0.041935,True,True,success,success,759.716125,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906972,both_success,yes,no,,371.016,yes,yes,yes,success,success,20.596491,0.000674,True,True,success,success,1013.904236,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906973,both_success,yes,no,,55.297,yes,yes,yes,success,success,15.321101,0.018018,True,True,success,success,189.297302,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906974,both_success,yes,no,,315.332,yes,yes,yes,success,success,18.601265,0.000000,True,True,success,success,299.604431,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906975,both_fail,yes,no,,1805.656,yes,yes,yes,failure,val3dity_invalid,18.616667,0.003598,True,False,failure,val3dity_invalid,231.658966,0.000138,True,False,0.30,20.0,yes,yes,yes,no,,yes,validity,validity
DEBY_LOD2_4906976,both_success,yes,no,,273.078,yes,yes,yes,success,success,20.007313,0.001825,True,True,success,success,582.748169,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906977,both_success,yes,no,,530.766,yes,yes,yes,success,success,18.820198,0.001414,True,True,success,success,253.257309,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906980,both_success,yes,no,,44.926,yes,yes,yes,success,success,16.896969,0.083333,True,True,success,success,224.295456,0.022222,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
