setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.955224,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,13.333333,0.875000,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.210526,0.926923,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1306.062134,0.000000,2.634577,34,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,104.166664,0.590062,4.102606,19,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,40.520000,0.851632,5.139669,5,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,40.109589,0.890060,0.913809,3,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690802, 5.33612e+06, 560.525)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690797, 5.3361e+06, 560.525)""}]"
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,9.863013,0.914219,3.404220,2,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,61.838863,0.702817,2.494938,14,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,48.737289,0.671766,4.660551,23,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,48.000000,0.773537,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,206.350281,0.447738,5.849302,8,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908168,success,success,True,standard,False,slanted,176.647064,0.403509,1.552143,4,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908178,success,success,True,standard,False,horizontal,127.121948,0.458150,5.973219,1,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.000000,0.957806,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,27.511450,0.832908,0.570521,7,True,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,9.882353,0.923077,,0,False,True,[]
base,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,18.857143,0.708333,,0,False,True,[]
