setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937500,,0,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.957692,,0,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1395.517334,0.000740,0.922659,32,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690860, 5.33611e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690860, 5.33611e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690850, 5.33608e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690848, 5.33608e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690845, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690841, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690837, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690838, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690837, 5.33609e+06, 577.849)""}]"
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907185,failure,missing_lod22_geometry,True,standard,False,slanted,42.795181,0.871118,0.000000,4,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907186,failure,roofer_skip_no_3d_geometry,True,skip,False,unknown,0.000000,1.000000,,None,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907188,failure,roofer_skip_no_3d_geometry,True,skip,False,unknown,0.000000,1.000000,,None,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907195,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.952113,,0,False,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,6.446602,0.928373,3.326182,2,True,True,[]
voxel02,gs_e5_C001_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-voxel02,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,8.933333,0.923664,,0,False,True,[]
