setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937500,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.988462,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1384.106567,0.000000,1.098426,45,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690841, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690860, 5.33611e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690848, 5.33608e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690851, 5.33608e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690845, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690837, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690837, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690838, 5.33609e+06, 577.849)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location hole: (690860, 5.33611e+06, 577.849)""}]"
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907185,failure,missing_lod22_geometry,True,standard,False,slanted,28.136364,0.863354,0.000000,5,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907186,failure,roofer_skip_no_3d_geometry,True,skip,False,unknown,0.000000,1.000000,,None,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907188,failure,roofer_skip_no_3d_geometry,True,skip,False,unknown,0.000000,1.000000,,None,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907195,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.956338,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907198,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,5.254902,0.929068,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.949109,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4907202,failure,val3dity_invalid,True,standard,False,slanted,43.916084,0.776911,0.932177,5,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690798, 5.33603e+06, 560.59)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690791, 5.33604e+06, 560.59)""}]"
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4908168,success,success,True,standard,False,horizontal,12.857142,0.877193,0.345592,1,True,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4908178,success,success,True,standard,False,slanted,15.452055,0.839207,0.052928,1,True,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_60098,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937500,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
voxel02,gs_e5_C001_s1_dense_r1,dense,r1,run_1,GS-dense-r1-voxel02,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
