setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.957711,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,19.200001,0.895833,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,16.933332,0.884615,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1200.538452,0.000000,2.220231,32,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,108.507042,0.669255,1.028157,18,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,43.482758,0.827893,2.034881,5,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,50.777779,0.891566,3.306217,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 577.674)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.674)""}]"
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,7.771429,0.917744,0.465972,2,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,70.702126,0.735211,1.767129,12,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,48.247421,0.662726,0.826148,20,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,64.800003,0.809160,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,77.216217,0.769111,5.920084,6,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908168,failure,val3dity_invalid,True,standard,False,slanted,51.636364,0.903509,0.029535,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908168-0|geom=0|shell=0|face="",""info"":""Location hole: (690840, 5.33611e+06, 566.825)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908168-0|geom=0|shell=0|face="",""info"":""Location hole: (690837, 5.33611e+06, 566.825)""}]"
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908178,success,success,True,standard,False,slanted,46.370369,0.762115,8.079892,5,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,10.428572,0.940928,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,34.390804,0.889031,1.943491,7,True,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.936652,,0,False,True,[]
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
