setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.942786,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,10.285714,0.854167,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,12.769231,0.900000,1.016564,1,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1212.964478,0.000000,1.280276,37,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=46"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=47"",""info"":""""}]"
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,96.787399,0.605590,0.918052,15,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,38.476189,0.875371,4.539992,4,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,37.766235,0.884036,0.595397,3,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 577.224)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.224)""}]"
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,8.123077,0.923619,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,67.514450,0.756338,0.974105,10,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,56.052219,0.733658,1.855619,23,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,71.148933,0.880407,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,22.153847,0.939158,4.763907,2,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.938596,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908178,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.936123,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.964135,,0,False,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,32.715446,0.843112,0.776091,8,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568391,success,success,True,standard,False,slanted,23.666666,0.891403,2.637138,1,True,True,[]
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,60.444443,0.625000,,0,False,True,[]
