setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.957711,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,17.333334,0.937500,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,13.454545,0.915385,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1224.130127,0.000000,2.395454,32,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,116.603775,0.670807,1.342342,14,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,42.000000,0.839763,1.654745,4,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,45.126762,0.893072,1.275723,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 577.625)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.625)""}]"
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,10.157895,0.910693,7.395403,1,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,71.285713,0.763380,1.772109,6,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,49.333332,0.662031,1.277150,17,True,True,[]
