setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.960199,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247350,success,success,True,standard,False,slanted,18.222221,0.812500,0.078052,1,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,19.272728,0.873077,1.393261,2,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1197.841553,0.000740,1.478186,36,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,83.325844,0.585404,3.054577,15,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,41.389473,0.859050,3.509757,3,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,41.333332,0.900602,1.756009,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 577.525)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.525)""}]"
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,8.761905,0.925969,0.445915,2,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,69.721214,0.767606,1.864993,11,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,56.549763,0.706537,1.096725,23,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,22.352942,0.913486,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907202,failure,val3dity_invalid,True,standard,False,slanted,145.512192,0.744150,2.367684,6,True,False,"[{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690800, 5.33603e+06, 566.375)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690804, 5.33603e+06, 566.375)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690804, 5.33603e+06, 567.025)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690804, 5.33603e+06, 567.019)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690804, 5.33603e+06, 566.395)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location close to: (690804, 5.33603e+06, 566.402)""}]"
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908168,success,success,True,standard,False,multiple horizontal,69.583336,0.578947,0.374136,3,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908178,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,29.368422,0.916300,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.964135,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,23.455999,0.840561,1.280874,6,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,8.500000,0.927602,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
