setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.957711,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.666667,0.937500,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,25.161291,0.880769,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1220.287231,0.000740,2.147475,31,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,114.114540,0.647516,1.115748,17,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,44.065041,0.817507,1.389011,9,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,42.136986,0.890060,0.604079,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 577.474)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.474)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,8.507042,0.916569,0.745772,2,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,64.193237,0.708451,1.558925,10,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,54.518250,0.618915,0.809505,22,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907199,success,success,True,standard,False,slanted,73.432838,0.829517,8.407442,1,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4907202,failure,val3dity_invalid,True,standard,False,slanted,138.755249,0.553822,3.610788,8,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690809, 5.33602e+06, 605.224)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690807, 5.33603e+06, 605.224)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908168,success,success,True,standard,False,multiple horizontal,61.629631,0.763158,1.283439,2,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908178,failure,val3dity_invalid,True,standard,False,slanted,32.588234,0.850220,17.718370,4,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908178-0|geom=0|shell=0|face="",""info"":""Location hole: (690803, 5.33603e+06, 605.025)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908178-0|geom=0|shell=0|face="",""info"":""Location hole: (690795, 5.33604e+06, 605.025)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.964135,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,acmp,r1,run_1,GS-acmp-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,22.446043,0.822704,0.996648,5,True,True,[]
