setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.955224,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,7.500000,0.833333,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247351,failure,val3dity_invalid,True,standard,False,slanted,27.222221,0.861538,0.985083,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_108247351-0|geom=0|shell=0|face="",""info"":""Location hole: (690793, 5.33606e+06, 574.275)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_108247351-0|geom=0|shell=0|face="",""info"":""Location hole: (690797, 5.33607e+06, 574.275)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1194.266235,0.000000,1.453437,37,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,87.734375,0.602484,1.731549,14,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,39.238094,0.844214,3.477304,4,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,37.759998,0.887048,0.633246,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690785, 5.33611e+06, 577.775)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 577.775)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,8.000000,0.927145,0.944835,1,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,77.477707,0.778873,0.867927,7,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,55.912621,0.713491,1.516774,28,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,26.210526,0.903308,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907202,failure,val3dity_invalid,True,standard,False,slanted,138.213593,0.839314,1.384990,3,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690811, 5.33603e+06, 605.174)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33603e+06, 605.174)""}]"
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.938596,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908178,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.936123,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.964135,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,25.312500,0.836735,1.098028,6,True,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,9.250000,0.927602,,0,False,True,[]
base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
