setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.967662,,0,False,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247351,failure,missing_lod22_geometry,True,standard,False,slanted,18.117647,0.934615,0.000000,1,False,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1098.190430,0.059911,0.360608,33,True,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,118.650002,0.751553,0.514657,9,True,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907186,failure,val3dity_invalid,True,standard,False,slanted,35.756096,0.878338,0.504964,3,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907186-0|geom=0|shell=0|face="",""info"":""Location hole: (690814, 5.33611e+06, 578.875)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907186-0|geom=0|shell=0|face="",""info"":""Location hole: (690812, 5.3361e+06, 578.875)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907186-0|geom=0|shell=0|face="",""info"":""Location hole: (690809, 5.3361e+06, 578.875)""}]"
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,30.245613,0.914157,0.912348,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690785, 5.33611e+06, 579.025)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 579.025)""}]"
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907194,failure,val3dity_invalid,True,standard,False,slanted,33.706665,0.911868,0.269908,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690781, 5.3361e+06, 578.224)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690782, 5.33608e+06, 578.224)""}]"
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,17.333334,0.923944,0.297593,2,True,True,[]
base,gs_e5_C001_s1fac_w240_p005_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_4907198,failure,val3dity_invalid,True,standard,False,slanted,47.189541,0.893602,0.365369,6,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907198-0|geom=0|shell=0|face="",""info"":""Location hole: (690795, 5.33606e+06, 578.075)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907198-0|geom=0|shell=0|face="",""info"":""Location hole: (690802, 5.33606e+06, 578.075)""}]"
