input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
raw-ACMP,DEBY_LOD2_104583447,success,success,True,standard,False,slanted,57.272728,0.083333,10.040690,1,True,True,[]
raw-ACMP,DEBY_LOD2_104583794,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.960000,,0,False,True,[]
raw-ACMP,DEBY_LOD2_104586480,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,388.068970,0.000000,,0,False,True,[]
raw-ACMP,DEBY_LOD2_107802038,success,success,True,standard,False,horizontal,4.056338,0.954282,24.492111,1,True,True,[]
raw-ACMP,DEBY_LOD2_107807336,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,4.181818,0.945409,,0,False,True,[]
raw-ACMP,DEBY_LOD2_108246888,success,success,True,standard,False,slanted,179.642853,0.000000,0.633849,3,True,True,[]
raw-ACMP,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.600000,0.987562,,0,False,True,[]
raw-ACMP,DEBY_LOD2_108247350,success,success,True,standard,False,slanted,10.947369,0.208333,8.714822,4,True,True,[]
raw-ACMP,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,12.232558,0.669231,9.899546,2,True,True,[]
raw-ACMP,DEBY_LOD2_108247714,success,success,True,standard,False,horizontal,136.116791,0.000000,0.520925,1,True,True,[]
raw-ACMP,DEBY_LOD2_108250120,success,success,True,standard,False,slanted,38.438095,0.441489,11.289665,7,True,True,[]
raw-ACMP,DEBY_LOD2_108580335,failure,val3dity_invalid,True,standard,False,slanted,182.324768,0.000000,3.230677,31,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_108580335-0|geom=0|shell=0|face=77"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_108580335-0|geom=0|shell=0|face=79"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_108580335-0|geom=0|shell=0|face=80"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_108580336,failure,val3dity_invalid,True,standard,False,slanted,323.416870,0.000000,3.147405,162,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_108580336-0|geom=0|shell=0|face=29"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_108580336-0|geom=0|shell=0|face=97"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_42364607,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.000000,0.977839,,0,False,True,[]
raw-ACMP,DEBY_LOD2_42364609,failure,pointcloud_unusable_no_points,True,skip,True,no points,90.730156,0.059701,,0,False,True,[]
raw-ACMP,DEBY_LOD2_42364657,failure,missing_lod22_geometry,True,standard,False,multiple horizontal,129.240097,0.000000,0.000000,3,False,True,[]
raw-ACMP,DEBY_LOD2_42364659,success,success,True,standard,False,slanted,190.515152,0.000000,7.242553,3,True,True,[]
raw-ACMP,DEBY_LOD2_42364661,success,success,True,standard,False,horizontal,79.854919,0.182203,2.309404,1,True,True,[]
raw-ACMP,DEBY_LOD2_42364663,success,success,True,standard,False,slanted,2177.207031,0.000000,15.713025,4,True,True,[]
raw-ACMP,DEBY_LOD2_42364665,success,success,True,standard,False,slanted,461.676758,0.000000,5.439349,7,True,True,[]
raw-ACMP,DEBY_LOD2_42364667,success,success,True,standard,False,slanted,516.655762,0.000000,5.375359,11,True,True,[]
raw-ACMP,DEBY_LOD2_4906965,success,success,True,standard,False,slanted,533.331909,0.000000,2.999501,84,True,True,[]
raw-ACMP,DEBY_LOD2_4906966,success,success,True,standard,False,slanted,464.709686,0.000000,3.690376,22,True,True,[]
raw-ACMP,DEBY_LOD2_4906967,failure,val3dity_invalid,True,standard,False,slanted,386.079071,0.000000,2.184961,68,True,False,"[{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906967-1|geom=0|shell=0|face=68"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906967-1|geom=0|shell=0|face=69"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906967-1|geom=0|shell=0|face=109"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_4906968,failure,val3dity_invalid,True,standard,False,slanted,472.527069,0.000000,5.065708,94,True,False,"[{""code"":104,""description"":""RING_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4906968-0|geom=0|shell=0|face=244"",""info"":""ring self-intersects or is collapsed to a line""}]"
raw-ACMP,DEBY_LOD2_4906969,success,success,True,standard,False,slanted,398.995667,0.000000,1.224470,19,True,True,[]
raw-ACMP,DEBY_LOD2_4906970,success,success,True,standard,False,slanted,582.477417,0.000000,3.945735,11,True,True,[]
raw-ACMP,DEBY_LOD2_4906972,success,success,True,standard,False,slanted,476.747131,0.000000,2.771305,3,True,True,[]
raw-ACMP,DEBY_LOD2_4906973,success,success,True,standard,False,slanted,301.819824,0.000000,1.758366,4,True,True,[]
raw-ACMP,DEBY_LOD2_4906974,success,success,True,standard,False,slanted,335.879761,0.000000,1.943164,9,True,True,[]
raw-ACMP,DEBY_LOD2_4906975,failure,val3dity_invalid,True,standard,False,slanted,308.169403,0.000138,2.272537,90,True,False,"[{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906975-0|geom=0|shell=0|face=163"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906975-0|geom=0|shell=0|face=177"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906975-0|geom=0|shell=0|face=227"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4906975-0|geom=0|shell=0|face=227"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_4906976,success,success,True,standard,False,slanted,348.010956,0.000000,2.990165,10,True,True,[]
raw-ACMP,DEBY_LOD2_4906977,success,success,True,standard,False,slanted,285.253540,0.000000,2.133186,16,True,True,[]
raw-ACMP,DEBY_LOD2_4906980,success,success,True,standard,False,slanted,406.288879,0.000000,2.082753,8,True,True,[]
raw-ACMP,DEBY_LOD2_4906981,success,success,True,standard,False,slanted,335.486633,0.000000,3.222875,23,True,True,[]
raw-ACMP,DEBY_LOD2_4906982,success,success,True,standard,False,slanted,217.872208,0.000000,7.645386,21,True,True,[]
raw-ACMP,DEBY_LOD2_4906983,success,success,True,standard,False,slanted,137.009918,0.000000,4.222236,3,True,True,[]
raw-ACMP,DEBY_LOD2_4906984,success,success,True,standard,False,slanted,137.691681,0.000000,2.948616,5,True,True,[]
raw-ACMP,DEBY_LOD2_4906985,success,success,True,standard,False,slanted,226.898087,0.000000,3.257792,24,True,True,[]
raw-ACMP,DEBY_LOD2_4906986,success,success,True,standard,False,slanted,170.661011,0.000000,1.592468,10,True,True,[]
raw-ACMP,DEBY_LOD2_4906987,success,success,True,standard,False,slanted,167.149948,0.000000,3.229475,7,True,True,[]
raw-ACMP,DEBY_LOD2_4906988,success,success,True,standard,False,slanted,117.038170,0.000000,1.852586,10,True,True,[]
raw-ACMP,DEBY_LOD2_4906989,success,success,True,standard,False,slanted,156.975433,0.111458,2.250082,10,True,True,[]
raw-ACMP,DEBY_LOD2_4906990,success,success,True,standard,False,slanted,112.947556,0.526946,7.620833,2,True,True,[]
raw-ACMP,DEBY_LOD2_4906991,success,success,True,standard,False,slanted,105.194649,0.000000,1.443488,5,True,True,[]
raw-ACMP,DEBY_LOD2_4906997,success,success,True,standard,False,slanted,10.018182,0.716495,26.624264,3,True,True,[]
raw-ACMP,DEBY_LOD2_4906998,success,success,True,standard,False,slanted,120.921623,0.190985,5.763780,19,True,True,[]
raw-ACMP,DEBY_LOD2_4906999,success,success,True,standard,False,slanted,5.678161,0.802944,21.961153,2,True,True,[]
