run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247349,0,15033,15033,15033,56,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247349_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247350,0,8797,8797,8797,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247350_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247351,0,12397,12397,12397,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247351_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907184,0,3988278,3988278,3988278,382573,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907184_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907185,0,1050968,1050968,1050968,3920,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907185_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907186,0,6354,6354,6354,517,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907186_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907188,0,1407,1407,1407,374,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907188_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907194,0,6643,6643,6643,16,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907194_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907195,0,10390,10390,10390,1091,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907195_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907198,0,739854,739854,739854,3299,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907198_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907199,0,49390,49390,49390,1033,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907199_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907202,0,668012,668012,668012,1607,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907202_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908168,0,803480,803480,803480,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908168_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908178,0,356290,356290,356290,191,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908178_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908179,0,18231,18231,18231,64,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908179_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_60098,0,216721,216721,216721,316,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_60098_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_8568391,0,195911,195911,195911,109,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_8568391_run_1_classified.las
gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_8568392,0,168579,168579,168579,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_8568392_run_1_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_108247349,0,15033,15033,15033,56,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_108247349_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_108247350,0,8797,8797,8797,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_108247350_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_108247351,0,12397,12397,12397,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_108247351_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907184,0,3988278,3988278,3988278,382573,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907184_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907185,0,1050968,1050968,1050968,3920,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907185_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907186,0,6354,6354,6354,517,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907186_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907188,0,1407,1407,1407,374,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907188_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907194,0,6643,6643,6643,16,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907194_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907195,0,10390,10390,10390,1091,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907195_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907198,0,739854,739854,739854,3299,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907198_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907199,0,49390,49390,49390,1033,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907199_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4907202,0,668012,668012,668012,1607,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4907202_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4908168,0,803480,803480,803480,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4908168_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4908178,0,356290,356290,356290,191,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4908178_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_4908179,0,18231,18231,18231,64,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_4908179_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_60098,0,216721,216721,216721,316,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_60098_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_8568391,0,195911,195911,195911,109,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_8568391_run_2_classified.las
gs_e5_C001_sparse_r1,run_2,DEBY_LOD2_8568392,0,168579,168579,168579,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_2/DEBY_LOD2_8568392_run_2_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_108247349,0,15033,15033,15033,56,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_108247349_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_108247350,0,8797,8797,8797,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_108247350_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_108247351,0,12397,12397,12397,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_108247351_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907184,0,3988278,3988278,3988278,382573,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907184_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907185,0,1050968,1050968,1050968,3920,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907185_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907186,0,6354,6354,6354,517,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907186_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907188,0,1407,1407,1407,374,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907188_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907194,0,6643,6643,6643,16,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907194_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907195,0,10390,10390,10390,1091,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907195_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907198,0,739854,739854,739854,3299,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907198_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907199,0,49390,49390,49390,1033,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907199_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4907202,0,668012,668012,668012,1607,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4907202_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4908168,0,803480,803480,803480,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4908168_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4908178,0,356290,356290,356290,191,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4908178_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_4908179,0,18231,18231,18231,64,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_4908179_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_60098,0,216721,216721,216721,316,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_60098_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_8568391,0,195911,195911,195911,109,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_8568391_run_3_classified.las
gs_e5_C001_sparse_r1,run_3,DEBY_LOD2_8568392,0,168579,168579,168579,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_3/DEBY_LOD2_8568392_run_3_classified.las
