input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
GS-acmp-r1,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,8.923077,0.935323,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.000000,0.916667,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.000000,0.923077,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1212.477051,0.001479,1.154652,43,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=22"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=65"",""info"":""""}]"
GS-acmp-r1,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,77.558441,0.641304,5.094716,16,True,True,[]
GS-acmp-r1,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,36.303799,0.882789,3.305059,4,True,True,[]
GS-acmp-r1,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,18.736841,0.914157,0.384272,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690794, 5.33611e+06, 563.375)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690802, 5.33612e+06, 563.375)""}]"
GS-acmp-r1,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,5.200000,0.929495,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,50.782608,0.838028,2.125094,6,True,True,[]
GS-acmp-r1,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,44.222221,0.812239,3.834062,14,True,True,[]
GS-acmp-r1,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,39.476189,0.786260,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_4907202,failure,val3dity_invalid,True,standard,False,slanted,45.875000,0.900156,35.565422,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690791, 5.33604e+06, 562.724)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907202-0|geom=0|shell=0|face="",""info"":""Location hole: (690798, 5.33603e+06, 562.724)""}]"
GS-acmp-r1,DEBY_LOD2_4908168,success,success,True,standard,False,slanted,225.500000,0.649123,0.012238,1,True,True,[]
GS-acmp-r1,DEBY_LOD2_4908178,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,54.162163,0.837004,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,6.941176,0.928270,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_60098,success,success,True,standard,False,slanted,15.826087,0.882653,15.222431,2,True,True,[]
GS-acmp-r1,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,7.733333,0.932127,,0,False,True,[]
GS-acmp-r1,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.916667,,0,False,True,[]
