input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
GS-dense-r1,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.800000,0.937811,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,16.173914,0.911538,1.122709,1,True,True,[]
GS-dense-r1,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1194.492920,0.000740,1.586049,42,True,False,"[{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 572.561)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 565.945)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 565.925)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 572.522)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690850, 5.3361e+06, 559.924)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690847, 5.3361e+06, 559.924)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690851, 5.3361e+06, 559.924)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 565.901)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690854, 5.3361e+06, 572.323)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690855, 5.3361e+06, 572.282)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690855, 5.3361e+06, 565.893)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690855, 5.3361e+06, 559.924)""}]"
GS-dense-r1,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,68.857140,0.695652,1.702653,10,True,True,[]
GS-dense-r1,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,32.533333,0.910979,2.347814,2,True,True,[]
GS-dense-r1,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,19.636364,0.900602,1.750910,2,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 562.375)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690797, 5.3361e+06, 562.375)""}]"
GS-dense-r1,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,5.448276,0.931845,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,39.175259,0.863380,1.072473,3,True,True,[]
GS-dense-r1,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,45.423729,0.794854,3.898746,16,True,True,[]
GS-dense-r1,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,63.487179,0.801527,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_4907202,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,32.611763,0.867395,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.947368,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_4908178,failure,val3dity_invalid,True,standard,False,horizontal,19.280001,0.889868,36.842022,1,True,False,"[{""code"":405,""description"":""WRONG_ORIENTATION_SHELL"",""id"":""Geometry (Solid) #coid=DEBY_LOD2_4908178-0|geom=0"",""info"":""Shell #0""}]"
GS-dense-r1,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.936709,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_60098,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,19.230770,0.900510,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,8.000000,0.927602,,0,False,True,[]
GS-dense-r1,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.916667,,0,False,True,[]
