setting,run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,16.588236,0.915423,,0,False,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.684210,0.926923,,0,False,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907184,success,success,True,standard,False,slanted,1118.727783,0.000000,1.904587,58,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,70.968750,0.602484,8.095223,17,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,35.045456,0.869436,0.551209,4,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907188,failure,val3dity_invalid,True,standard,False,slanted,32.281689,0.893072,8.337988,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690788, 5.33611e+06, 578.575)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907188-0|geom=0|shell=0|face="",""info"":""Location hole: (690789, 5.33612e+06, 578.575)""}]"
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,14.256411,0.908343,4.829216,2,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,46.052910,0.733803,1.907919,6,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,56.619354,0.784423,5.792900,12,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907199,success,success,True,standard,False,slanted,60.552845,0.687023,8.914948,1,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,45.450291,0.733229,24.749371,5,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.929825,,0,False,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908178,failure,val3dity_invalid,True,standard,False,multiple horizontal,33.479450,0.839207,45.606354,2,True,False,"[{""code"":301,""description"":""TOO_FEW_POLYGONS"",""id"":""coid=DEBY_LOD2_4908178-0|geom=0|shell=0|face="",""info"":""""}]"
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_4908179,success,success,True,standard,False,slanted,15.428572,0.926160,0.255421,1,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,26.432989,0.876276,5.506659,2,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568391,success,success,True,standard,False,multiple horizontal,18.700001,0.819005,11.151482,2,True,True,[]
base,gs_e5_C001_sparse_r1,sparse,r1,run_1,GS-sparse-r1-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937811,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_108247350,success,success,True,standard,False,slanted,39.384617,0.729167,0.470414,1,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,33.723076,0.750000,3.578240,2,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1124.606567,0.000000,0.782892,52,True,False,"[{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=63"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=98"",""info"":""""},{""code"":303,""description"":""NON_MANIFOLD_CASE"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=101"",""info"":""""}]"
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,77.327866,0.621118,6.137323,12,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,29.492537,0.900593,0.588986,1,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907188,success,success,True,standard,False,slanted,9.016949,0.911145,2.090082,1,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907194,success,success,True,standard,False,slanted,16.478260,0.891892,4.251304,3,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,39.980953,0.704225,1.146386,12,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,51.189472,0.735744,4.022355,20,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,54.486488,0.811705,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,94.012901,0.516381,0.952530,2,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.947368,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4908178,success,success,True,standard,False,multiple horizontal,60.045456,0.612335,3.406939,2,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.968354,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_60098,success,success,True,standard,False,slanted,24.787401,0.838010,9.278447,5,True,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.941176,,0,False,True,[]
base,gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2-base,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.916667,,0,False,True,[]
base,gs_e5_C001_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.307693,0.935323,,0,False,True,[]
base,gs_e5_C001_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.400000,0.895833,,0,False,True,[]
base,gs_e5_C001_dense_r1,dense,r1,run_1,GS-dense-r1-base,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,23.263159,0.853846,2.000318,1,True,True,[]
