setting,run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247349,0,14185,14185,14185,116,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247350,0,10501,10501,10501,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_108247351,0,11510,11510,11510,12,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907184,0,596842,596842,596842,383722,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907184_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907185,0,598347,598347,598347,4622,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907186,0,7510,7510,7510,734,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907188,0,1933,1933,1933,533,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907194,0,10755,10755,10755,232,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907194_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907195,0,13988,13988,13988,2267,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907195_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907198,0,99670,99670,99670,4396,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907198_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907199,0,15530,15530,15530,1859,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907199_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4907202,0,8274,8274,8274,1930,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4907202_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908168,0,473800,473800,473800,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908168_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908178,0,11567,11567,11567,600,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908178_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_4908179,0,12819,12819,12819,108,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_4908179_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_60098,0,170155,170155,170155,597,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_60098_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_8568391,0,6926,6926,6926,199,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_8568391_run_1_classified.las
base,gs_e5_C001_sparse_r1,run_1,DEBY_LOD2_8568392,0,5853,5853,5853,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r1/run_1/DEBY_LOD2_8568392_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_108247349,0,19436,19436,19436,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_108247350,0,13882,13882,13882,142,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_108247351,0,16341,16341,16341,565,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4907184,0,625899,625899,625899,385055,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4907184_run_1_classified.las
