arm,replicate,building_id,raw_source,gs_source,raw_has_lod22,gs_has_lod22,delta_has_lod22,raw_completeness,gs_completeness,delta_completeness,raw_correctness,gs_correctness,delta_correctness,raw_ref_rms_m,gs_ref_rms_m,ref_rms_gain_m
sparse,r1,DEBY_LOD2_108247349,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_108247350,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_108247351,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_4907184,raw_sparse,gs_sparse_r1,true,true,0,0.5000,1.0000,0.5000,1.0000,0.2857,-0.7143,2.1443,1.5591,0.5852
sparse,r1,DEBY_LOD2_4907185,raw_sparse,gs_sparse_r1,false,true,1,0.0000,1.0000,1.0000,,1.0000,,,3.4967,
sparse,r1,DEBY_LOD2_4907186,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,6.8284,
sparse,r1,DEBY_LOD2_4907188,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.5000,0.5000,,1.0000,,,6.1254,
sparse,r1,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.2500,0.2500,,1.0000,,,1.7088,
sparse,r1,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r1,true,true,0,0.5000,0.0000,-0.5000,1.0000,0.0000,-1.0000,1.5667,13.8300,-12.2633
sparse,r1,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,11.2439,
sparse,r1,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r1,DEBY_LOD2_60098,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,14.0441,
sparse,r1,DEBY_LOD2_8568391,raw_sparse,gs_sparse_r1,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,9.9430,
sparse,r1,DEBY_LOD2_8568392,raw_sparse,gs_sparse_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_108247349,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_108247350,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,15.3897,
sparse,r2,DEBY_LOD2_108247351,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,15.0751,
sparse,r2,DEBY_LOD2_4907184,raw_sparse,gs_sparse_r2,true,true,0,0.5000,1.0000,0.5000,1.0000,0.2353,-0.7647,2.1443,2.5692,-0.4249
sparse,r2,DEBY_LOD2_4907185,raw_sparse,gs_sparse_r2,false,true,1,0.0000,1.0000,1.0000,,1.0000,,,3.5820,
sparse,r2,DEBY_LOD2_4907186,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,14.6121,
sparse,r2,DEBY_LOD2_4907188,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,12.6847,
sparse,r2,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.5000,0.5000,,1.0000,,,6.8449,
sparse,r2,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.2500,0.2500,,1.0000,,,3.6231,
sparse,r2,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r2,true,true,0,0.5000,0.5000,0.0000,1.0000,1.0000,0.0000,1.5667,1.1202,0.4465
sparse,r2,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.5000,0.5000,,1.0000,,,2.4746,
sparse,r2,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_60098,raw_sparse,gs_sparse_r2,false,true,1,0.0000,0.5000,0.5000,,1.0000,,,7.3460,
sparse,r2,DEBY_LOD2_8568391,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
sparse,r2,DEBY_LOD2_8568392,raw_sparse,gs_sparse_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_108247349,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_108247350,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_108247351,raw_dense,gs_dense_r1,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,14.7778,
dense,r1,DEBY_LOD2_4907184,raw_dense,gs_dense_r1,true,true,0,1.0000,1.0000,0.0000,0.6667,0.4000,-0.2667,0.3547,1.0413,-0.6866
dense,r1,DEBY_LOD2_4907185,raw_dense,gs_dense_r1,true,true,0,1.0000,0.5000,-0.5000,0.6667,1.0000,0.3333,2.6140,3.4092,-0.7952
dense,r1,DEBY_LOD2_4907186,raw_dense,gs_dense_r1,true,true,0,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000,3.5440,9.4128,-5.8688
dense,r1,DEBY_LOD2_4907188,raw_dense,gs_dense_r1,true,true,0,1.0000,0.0000,-1.0000,0.6667,0.0000,-0.6667,1.3542,9.7745,-8.4203
dense,r1,DEBY_LOD2_4907194,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_4907195,raw_dense,gs_dense_r1,true,true,0,0.5000,0.5000,0.0000,0.5000,1.0000,0.5000,0.2698,4.8325,-4.5627
dense,r1,DEBY_LOD2_4907198,raw_dense,gs_dense_r1,true,true,0,0.2500,0.2500,0.0000,1.0000,1.0000,0.0000,2.1275,2.8936,-0.7661
dense,r1,DEBY_LOD2_4907199,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_4907202,raw_dense,gs_dense_r1,true,false,-1,1.0000,0.0000,-1.0000,0.6667,,,0.5637,,
dense,r1,DEBY_LOD2_4908168,raw_dense,gs_dense_r1,true,false,-1,1.0000,0.0000,-1.0000,1.0000,,,0.1789,,
dense,r1,DEBY_LOD2_4908178,raw_dense,gs_dense_r1,true,true,0,0.5000,0.0000,-0.5000,1.0000,0.0000,-1.0000,0.6249,12.1585,-11.5336
dense,r1,DEBY_LOD2_4908179,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_60098,raw_dense,gs_dense_r1,true,false,-1,1.0000,0.0000,-1.0000,0.6667,,,2.9920,,
dense,r1,DEBY_LOD2_8568391,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r1,DEBY_LOD2_8568392,raw_dense,gs_dense_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_108247349,raw_dense,gs_dense_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_108247350,raw_dense,gs_dense_r2,false,true,1,0.0000,0.0000,0.0000,,0.0000,,,18.7447,
dense,r2,DEBY_LOD2_108247351,raw_dense,gs_dense_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_4907184,raw_dense,gs_dense_r2,true,true,0,1.0000,1.0000,0.0000,0.6667,0.5714,-0.0953,0.3547,1.0658,-0.7111
dense,r2,DEBY_LOD2_4907185,raw_dense,gs_dense_r2,true,true,0,1.0000,0.5000,-0.5000,0.6667,1.0000,0.3333,2.6140,3.9967,-1.3827
dense,r2,DEBY_LOD2_4907186,raw_dense,gs_dense_r2,true,true,0,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000,3.5440,9.2420,-5.6980
dense,r2,DEBY_LOD2_4907188,raw_dense,gs_dense_r2,true,true,0,1.0000,0.0000,-1.0000,0.6667,0.0000,-0.6667,1.3542,11.0503,-9.6961
dense,r2,DEBY_LOD2_4907194,raw_dense,gs_dense_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_4907195,raw_dense,gs_dense_r2,true,true,0,0.5000,0.0000,-0.5000,0.5000,0.0000,-0.5000,0.2698,10.6694,-10.3996
dense,r2,DEBY_LOD2_4907198,raw_dense,gs_dense_r2,true,true,0,0.2500,0.2500,0.0000,1.0000,1.0000,0.0000,2.1275,4.4363,-2.3088
dense,r2,DEBY_LOD2_4907199,raw_dense,gs_dense_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_4907202,raw_dense,gs_dense_r2,true,true,0,1.0000,0.5000,-0.5000,0.6667,0.5000,-0.1667,0.5637,2.1741,-1.6104
dense,r2,DEBY_LOD2_4908168,raw_dense,gs_dense_r2,true,true,0,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.1789,0.9377,-0.7588
dense,r2,DEBY_LOD2_4908178,raw_dense,gs_dense_r2,true,true,0,0.5000,0.5000,0.0000,1.0000,1.0000,0.0000,0.6249,0.3627,0.2622
dense,r2,DEBY_LOD2_4908179,raw_dense,gs_dense_r2,false,false,0,0.0000,0.0000,0.0000,,,,,,
dense,r2,DEBY_LOD2_60098,raw_dense,gs_dense_r2,true,true,0,1.0000,0.5000,-0.5000,0.6667,1.0000,0.3333,2.9920,6.7123,-3.7203
dense,r2,DEBY_LOD2_8568391,raw_dense,gs_dense_r2,false,true,1,0.0000,1.0000,1.0000,,1.0000,,,1.3660,
dense,r2,DEBY_LOD2_8568392,raw_dense,gs_dense_r2,false,true,1,0.0000,1.0000,1.0000,,1.0000,,,1.3020,
acmp,r1,DEBY_LOD2_108247349,raw_acmp,gs_acmp_r1,false,false,0,0.0000,0.0000,0.0000,,,,,,
acmp,r1,DEBY_LOD2_108247350,raw_acmp,gs_acmp_r1,true,false,-1,0.0000,0.0000,0.0000,0.0000,,,13.3698,,
acmp,r1,DEBY_LOD2_108247351,raw_acmp,gs_acmp_r1,true,false,-1,0.0000,0.0000,0.0000,0.0000,,,10.8289,,
acmp,r1,DEBY_LOD2_4907184,raw_acmp,gs_acmp_r1,true,true,0,1.0000,1.0000,0.0000,0.8000,0.2857,-0.5143,2.1372,1.4341,0.7031
acmp,r1,DEBY_LOD2_4907185,raw_acmp,gs_acmp_r1,true,true,0,1.0000,1.0000,0.0000,0.3333,0.6667,0.3334,1.7903,3.5828,-1.7925
