arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
sparse,r1,DEBY_LOD2_108247349,raw_sparse,gs_sparse_r1,0.0099,0.5539,0.5440,0.0025,0.0124,0.0099,26.6052,0.6309,25.9743,too_few_points,single_slope,1.0000,false,false,미조립,미조립,improved_more_axes
sparse,r1,DEBY_LOD2_108247350,raw_sparse,gs_sparse_r1,0.0824,0.0000,-0.0824,0.0208,0.0000,-0.0208,13.2000,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
sparse,r1,DEBY_LOD2_108247351,raw_sparse,gs_sparse_r1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
sparse,r1,DEBY_LOD2_4907184,raw_sparse,gs_sparse_r1,5.6236,1132.3299,1126.7063,0.4911,1.0000,0.5089,2.0772,2.4139,-0.3367,multi_slope,multi_slope,0.0000,true,true,조립,무효·붕괴,improved_more_axes
sparse,r1,DEBY_LOD2_4907185,raw_sparse,gs_sparse_r1,0.2174,24.3506,24.1332,0.0450,0.2919,0.2469,12.9852,5.1974,7.7878,multi_slope,multi_slope,2.0000,false,true,미조립,조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907186,raw_sparse,gs_sparse_r1,0.1490,3.0805,2.9315,0.0312,0.0446,0.0134,0.6938,3.2579,-2.5641,multi_slope,single_slope,-1.0000,false,true,미조립,조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907188,raw_sparse,gs_sparse_r1,0.1206,2.2546,2.1340,0.0256,0.0331,0.0075,1.3195,4.8590,-3.5395,multi_slope,single_slope,-1.0000,false,false,미조립,미조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r1,0.0282,0.0752,0.0470,0.0071,0.0047,-0.0024,1.2622,7.0579,-5.7957,too_few_points,single_slope,0.0000,false,false,미조립,미조립,worsened_more_axes
sparse,r1,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r1,0.2530,6.1348,5.8818,0.0451,0.0817,0.0366,25.4019,0.7456,24.6563,multi_slope,multi_slope,1.0000,false,true,미조립,조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r1,0.1529,9.1690,9.0161,0.0313,0.1252,0.0939,3.1295,2.6754,0.4541,multi_slope,multi_slope,-2.0000,false,true,미조립,조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r1,0.0203,10.5037,10.4834,0.0051,0.1552,0.1501,6.0660,5.4346,0.6314,too_few_points,single_slope,1.0000,false,false,미조립,미조립,improved_more_axes
sparse,r1,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r1,0.4113,10.0150,9.6037,0.0764,0.1622,0.0858,0.7135,18.1962,-17.4827,multi_slope,weak_structure,-3.0000,true,true,조립,무효·붕괴,improved_more_axes
sparse,r1,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r1,0.0347,0.0000,-0.0347,0.0088,0.0000,-0.0088,0.0413,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
sparse,r1,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r1,0.0265,1.6841,1.6576,0.0066,0.0507,0.0441,0.2784,34.3275,-34.0491,too_few_points,single_slope,1.0000,false,true,미조립,무효·붕괴,improved_more_axes
sparse,r1,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r1,0.0000,0.5412,0.5412,0.0000,0.0084,0.0084,,40.4455,,too_few_points,multi_slope,2.0000,false,false,미조립,미조립,improved_more_axes
