building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_108247349,raw_sparse,raw_sparse,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,raw_sparse,raw_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247351,raw_sparse,raw_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907184,raw_sparse,raw_sparse,2,4,2,4,34.8103,41.8280,3.9718,multi_plane,true,조립,0.5000,1.0000,2.1443,observed
DEBY_LOD2_4907185,raw_sparse,raw_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907186,raw_sparse,raw_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907188,raw_sparse,raw_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907194,raw_sparse,raw_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907195,raw_sparse,raw_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907198,raw_sparse,raw_sparse,0,4,0,3,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907199,raw_sparse,raw_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907202,raw_sparse,raw_sparse,1,2,1,1,12.0283,12.0283,2.2832,flat_or_single_plane,true,조립,0.5000,1.0000,1.5667,flat_relative_to_reference
