source_run,category,buildings_with_category,error_instances
raw_sparse,valid,18,0
raw_dense,valid,15,0
raw_acmp,duplicate_degenerate,1,2
raw_acmp,valid,17,0
gs_sparse_r1,face_orientation,3,3
gs_sparse_r1,self_intersection,1,15
gs_sparse_r1,valid,14,0
gs_sparse_r2,duplicate_degenerate,1,2
gs_sparse_r2,non_closed_shell,1,2
gs_sparse_r2,valid,16,0
gs_dense_r1,face_orientation,1,1
gs_dense_r1,non_closed_shell,1,2
gs_dense_r1,self_intersection,1,12
gs_dense_r1,valid,15,0
gs_dense_r2,face_orientation,1,1
gs_dense_r2,non_closed_shell,1,2
gs_dense_r2,valid,16,0
gs_acmp_r1,duplicate_degenerate,1,2
gs_acmp_r1,non_closed_shell,2,4
gs_acmp_r1,valid,15,0
gs_acmp_r2,non_closed_shell,4,8
gs_acmp_r2,valid,14,0
lidar,non_closed_shell,1,1
lidar,valid,14,0
