setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_acmp_r1,acmp,r1,0.9948,0.3160,0.1774,0.6788,0.1385,0.8174
base,gs_e5_C001_acmp_r2,acmp,r2,0.9916,0.3601,0.2013,0.6315,0.1587,0.7903
base,gs_e5_C001_dense_r1,dense,r1,0.9970,0.2644,0.1452,0.7326,0.1191,0.8518
base,gs_e5_C001_dense_r2,dense,r2,0.9956,0.3482,0.2274,0.6473,0.1209,0.7682
base,gs_e5_C001_sparse_r1,sparse,r1,0.9951,0.2828,0.1556,0.7123,0.1271,0.8394
base,gs_e5_C001_sparse_r2,sparse,r2,0.9979,0.2774,0.1894,0.7205,0.0881,0.8086
minobs2,gs_e5_C001_acmp_r1,acmp,r1,0.9948,0.6318,0.4243,0.3630,0.2075,0.5704
minobs2,gs_e5_C001_acmp_r2,acmp,r2,0.9916,0.7235,0.5171,0.2681,0.2064,0.4745
minobs2,gs_e5_C001_dense_r1,dense,r1,0.9970,0.5906,0.3962,0.4064,0.1944,0.6008
minobs2,gs_e5_C001_dense_r2,dense,r2,0.9956,0.6074,0.4684,0.3882,0.1389,0.5272
minobs2,gs_e5_C001_sparse_r1,sparse,r1,0.9951,0.7220,0.4622,0.2730,0.2598,0.5328
minobs2,gs_e5_C001_sparse_r2,sparse,r2,0.9979,0.5629,0.3782,0.4350,0.1847,0.6197
minobs1,gs_e5_C001_acmp_r1,acmp,r1,0.9948,0.9948,0.9414,0.0000,0.0534,0.0534
minobs1,gs_e5_C001_acmp_r2,acmp,r2,0.9916,0.9916,0.9291,0.0000,0.0625,0.0625
minobs1,gs_e5_C001_dense_r1,dense,r1,0.9970,0.9970,0.9711,0.0000,0.0259,0.0259
minobs1,gs_e5_C001_dense_r2,dense,r2,0.9956,0.9956,0.9376,0.0000,0.0580,0.0580
minobs1,gs_e5_C001_sparse_r1,sparse,r1,0.9951,0.9951,0.9583,0.0000,0.0368,0.0368
minobs1,gs_e5_C001_sparse_r2,sparse,r2,0.9979,0.9979,0.9766,0.0000,0.0213,0.0213
sor_weak,gs_e5_C001_acmp_r1,acmp,r1,0.9948,0.3160,0.2330,0.6788,0.0830,0.7618
sor_weak,gs_e5_C001_acmp_r2,acmp,r2,0.9916,0.3601,0.2768,0.6315,0.0832,0.7148
sor_weak,gs_e5_C001_dense_r1,dense,r1,0.9970,0.2644,0.1935,0.7326,0.0709,0.8035
sor_weak,gs_e5_C001_dense_r2,dense,r2,0.9956,0.3482,0.2962,0.6473,0.0521,0.6994
sor_weak,gs_e5_C001_sparse_r1,sparse,r1,0.9951,0.2828,0.1959,0.7123,0.0868,0.7992
sor_weak,gs_e5_C001_sparse_r2,sparse,r2,0.9979,0.2774,0.2323,0.7205,0.0451,0.7656
sor_off,gs_e5_C001_acmp_r1,acmp,r1,0.9948,0.3160,0.3160,0.6788,0.0000,0.6788
sor_off,gs_e5_C001_acmp_r2,acmp,r2,0.9916,0.3601,0.3601,0.6315,0.0000,0.6315
sor_off,gs_e5_C001_dense_r1,dense,r1,0.9970,0.2644,0.2644,0.7326,0.0000,0.7326
sor_off,gs_e5_C001_dense_r2,dense,r2,0.9956,0.3482,0.3482,0.6473,0.0000,0.6473
sor_off,gs_e5_C001_sparse_r1,sparse,r1,0.9951,0.2828,0.2828,0.7123,0.0000,0.7123
sor_off,gs_e5_C001_sparse_r2,sparse,r2,0.9979,0.2774,0.2774,0.7205,0.0000,0.7205
voxel03,gs_e5_C001_acmp_r1,acmp,r1,0.9945,0.1705,0.0896,0.8241,0.0809,0.9050
voxel03,gs_e5_C001_acmp_r2,acmp,r2,0.9915,0.1746,0.0880,0.8169,0.0866,0.9035
voxel03,gs_e5_C001_dense_r1,dense,r1,0.9970,0.1350,0.0695,0.8619,0.0655,0.9275
voxel03,gs_e5_C001_dense_r2,dense,r2,0.9954,0.1756,0.0838,0.8197,0.0919,0.9116
voxel03,gs_e5_C001_sparse_r1,sparse,r1,0.9949,0.1382,0.0785,0.8568,0.0597,0.9164
voxel03,gs_e5_C001_sparse_r2,sparse,r2,0.9982,0.1555,0.0857,0.8426,0.0698,0.9124
voxel02,gs_e5_C001_acmp_r1,acmp,r1,0.9949,0.0876,0.0567,0.9073,0.0309,0.9382
voxel02,gs_e5_C001_acmp_r2,acmp,r2,0.9917,0.0897,0.0589,0.9020,0.0308,0.9328
voxel02,gs_e5_C001_dense_r1,dense,r1,0.9971,0.0868,0.0550,0.9103,0.0318,0.9421
voxel02,gs_e5_C001_dense_r2,dense,r2,0.9957,0.0919,0.0634,0.9038,0.0285,0.9324
voxel02,gs_e5_C001_sparse_r1,sparse,r1,0.9950,0.0847,0.0609,0.9103,0.0238,0.9341
voxel02,gs_e5_C001_sparse_r2,sparse,r2,0.9980,0.0958,0.0578,0.9023,0.0380,0.9402
relaxed,gs_e5_C001_acmp_r1,acmp,r1,0.9945,0.9945,0.9945,0.0000,0.0000,0.0000
relaxed,gs_e5_C001_acmp_r2,acmp,r2,0.9915,0.9915,0.9915,0.0000,0.0000,0.0000
