arm,threshold,threshold_value,source_run,out_run,source_ckpt,out_ckpt,source_sha256,out_sha256,n_before,n_after,removed_count,keep_frac,opacity_p01,opacity_p05,opacity_p50,opacity_lt_001_count,opacity_lt_002_count,opacity_lt_005_count,note
sparse,keepall,0.0,gs_e5_C001_corrected_s1_preprune_sparse_r1,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,3b234bdc71e22b0d19955c1c6bb5ef32643c2fe01beff62b631bb75576d2df09,3b234bdc71e22b0d19955c1c6bb5ef32643c2fe01beff62b631bb75576d2df09,503028,503028,0,1.0000,0.0035,0.0039,0.8040,50511,65676,92907,
sparse,opa001,0.01,gs_e5_C001_corrected_s1_preprune_sparse_r1,gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1/ckpt/final.pt,3b234bdc71e22b0d19955c1c6bb5ef32643c2fe01beff62b631bb75576d2df09,edc958aa90838c1abd06cd40ae800890eaa674a613b32d55180acee4438ce3d6,503028,452517,50511,0.8996,0.0035,0.0039,0.8040,50511,65676,92907,
sparse,opa002,0.02,gs_e5_C001_corrected_s1_preprune_sparse_r1,gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1/ckpt/final.pt,3b234bdc71e22b0d19955c1c6bb5ef32643c2fe01beff62b631bb75576d2df09,07a9aa5df1bab2d8e63cf60e19d16570c926a9bb6a1531cd5720febac825b2bb,503028,437352,65676,0.8694,0.0035,0.0039,0.8040,50511,65676,92907,
sparse,opa005,0.05,gs_e5_C001_corrected_s1_preprune_sparse_r1,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,3b234bdc71e22b0d19955c1c6bb5ef32643c2fe01beff62b631bb75576d2df09,bf6a67f19567c88f3ac7d6494bff537263378a581b2880cca1340e5571e6c80b,503028,410121,92907,0.8153,0.0035,0.0039,0.8040,50511,65676,92907,
sparse,mid20k,,gs_e5_C001_corrected_s1_preprune_sparse_r1,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_020000.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1/ckpt/final.pt,c0e80ea1a0705cb18c5196bf40b3b83f8f406614a402513128db475ed1ee6f73,c0e80ea1a0705cb18c5196bf40b3b83f8f406614a402513128db475ed1ee6f73,503028,503028,0,1.0000,0.0447,0.0714,0.5729,181,758,7099,mid-training 20k snapshot copied for Step 1-B; not a final threshold sweep row
dense,keepall,0.0,gs_e5_C001_corrected_s1_preprune_dense_r1,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,9550c772c4f6f41215cfcbb4b968dd15adc29de90b9ceafcd62590beb31ab5c4,9550c772c4f6f41215cfcbb4b968dd15adc29de90b9ceafcd62590beb31ab5c4,526809,526809,0,1.0000,0.0033,0.0039,0.8665,54324,68338,92880,
dense,opa001,0.01,gs_e5_C001_corrected_s1_preprune_dense_r1,gs_e5_C001_corrected_s1_preprune_opa001_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa001_dense_r1/ckpt/final.pt,9550c772c4f6f41215cfcbb4b968dd15adc29de90b9ceafcd62590beb31ab5c4,ab3899d5bccecf3fb90706f4441032ecee5831637e3aafd3c0c54669f4b7477f,526809,472485,54324,0.8969,0.0033,0.0039,0.8665,54324,68338,92880,
dense,opa002,0.02,gs_e5_C001_corrected_s1_preprune_dense_r1,gs_e5_C001_corrected_s1_preprune_opa002_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa002_dense_r1/ckpt/final.pt,9550c772c4f6f41215cfcbb4b968dd15adc29de90b9ceafcd62590beb31ab5c4,8e6797e39b059c86e4534cee8015db317df17645820f3e09acf77693548e5815,526809,458471,68338,0.8703,0.0033,0.0039,0.8665,54324,68338,92880,
dense,opa005,0.05,gs_e5_C001_corrected_s1_preprune_dense_r1,gs_e5_C001_corrected_s1_preprune_opa005_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,9550c772c4f6f41215cfcbb4b968dd15adc29de90b9ceafcd62590beb31ab5c4,8bde6adb46a2a11bd17de4aebf77a3e2d5be0d17957c654528a073259a0200a1,526809,433929,92880,0.8237,0.0033,0.0039,0.8665,54324,68338,92880,
dense,mid20k,,gs_e5_C001_corrected_s1_preprune_dense_r1,gs_e5_C001_corrected_s1_preprune_mid20k_dense_r1,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_020000.pt,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_mid20k_dense_r1/ckpt/final.pt,c361bf0eff84e5c546a57af4a5e27e6c703d7d174d16dd467eaf17508d882085,c361bf0eff84e5c546a57af4a5e27e6c703d7d174d16dd467eaf17508d882085,526809,526809,0,1.0000,0.0462,0.0760,0.6043,212,853,6633,mid-training 20k snapshot copied for Step 1-B; not a final threshold sweep row
